source_id	target_id	frequency	source_name	target_name	source_raw	target_raw
3	1	0.001	ENSG00000105443.14_AC	ENSG00000160818.16_AC	ENSG00000105443.14_AC	ENSG00000160818.16_AC
4	1	0.029	ENSG00000106263.17_AC	ENSG00000160818.16_AC	ENSG00000106263.17_AC	ENSG00000160818.16_AC
5	1	0.028	ENSG00000167112.9_AC	ENSG00000160818.16_AC	ENSG00000167112.9_AC	ENSG00000160818.16_AC
6	1	0.001	ENSG00000175166.16_AC	ENSG00000160818.16_AC	ENSG00000175166.16_AC	ENSG00000160818.16_AC
7	1	0.002	ENSG00000141759.14_AC	ENSG00000160818.16_AC	ENSG00000141759.14_AC	ENSG00000160818.16_AC
8	1	0.032	ENSG00000176473.13_AC	ENSG00000160818.16_AC	ENSG00000176473.13_AC	ENSG00000160818.16_AC
9	1	0.414	ENSG00000160214.12_AC	ENSG00000160818.16_AC	ENSG00000160214.12_AC	ENSG00000160818.16_AC
10	1	0.01	ENSG00000149930.17_AC	ENSG00000160818.16_AC	ENSG00000149930.17_AC	ENSG00000160818.16_AC
11	1	0.035	ENSG00000143420.18_AC	ENSG00000160818.16_AC	ENSG00000143420.18_AC	ENSG00000160818.16_AC
12	1	0.41	ENSG00000159210.9_AC	ENSG00000160818.16_AC	ENSG00000159210.9_AC	ENSG00000160818.16_AC
13	1	0.011	ENSG00000156170.12_AC	ENSG00000160818.16_AC	ENSG00000156170.12_AC	ENSG00000160818.16_AC
14	1	0.413	ENSG00000161914.9_AC	ENSG00000160818.16_AC	ENSG00000161914.9_AC	ENSG00000160818.16_AC
15	1	0.692	ENSG00000114999.7_AC	ENSG00000160818.16_AC	ENSG00000114999.7_AC	ENSG00000160818.16_AC
16	1	0.009	ENSG00000144567.10_AC	ENSG00000160818.16_AC	ENSG00000144567.10_AC	ENSG00000160818.16_AC
17	1	0.148	ENSG00000125741.4_AC	ENSG00000160818.16_AC	ENSG00000125741.4_AC	ENSG00000160818.16_AC
18	1	0.006	ENSG00000160799.11_AC	ENSG00000160818.16_AC	ENSG00000160799.11_AC	ENSG00000160818.16_AC
20	1	0.006	ENSG00000156990.14_AC	ENSG00000160818.16_AC	ENSG00000156990.14_AC	ENSG00000160818.16_AC
1	2	0.02	ENSG00000160818.16_AC	ENSG00000090263.15_AC	ENSG00000160818.16_AC	ENSG00000090263.15_AC
4	2	0.001	ENSG00000106263.17_AC	ENSG00000090263.15_AC	ENSG00000106263.17_AC	ENSG00000090263.15_AC
5	2	0.004	ENSG00000167112.9_AC	ENSG00000090263.15_AC	ENSG00000167112.9_AC	ENSG00000090263.15_AC
7	2	0.169	ENSG00000141759.14_AC	ENSG00000090263.15_AC	ENSG00000141759.14_AC	ENSG00000090263.15_AC
8	2	0.005	ENSG00000176473.13_AC	ENSG00000090263.15_AC	ENSG00000176473.13_AC	ENSG00000090263.15_AC
9	2	0.045	ENSG00000160214.12_AC	ENSG00000090263.15_AC	ENSG00000160214.12_AC	ENSG00000090263.15_AC
11	2	0.631	ENSG00000143420.18_AC	ENSG00000090263.15_AC	ENSG00000143420.18_AC	ENSG00000090263.15_AC
12	2	0.017	ENSG00000159210.9_AC	ENSG00000090263.15_AC	ENSG00000159210.9_AC	ENSG00000090263.15_AC
13	2	0.001	ENSG00000156170.12_AC	ENSG00000090263.15_AC	ENSG00000156170.12_AC	ENSG00000090263.15_AC
14	2	0.038	ENSG00000161914.9_AC	ENSG00000090263.15_AC	ENSG00000161914.9_AC	ENSG00000090263.15_AC
15	2	0.258	ENSG00000114999.7_AC	ENSG00000090263.15_AC	ENSG00000114999.7_AC	ENSG00000090263.15_AC
17	2	0.002	ENSG00000125741.4_AC	ENSG00000090263.15_AC	ENSG00000125741.4_AC	ENSG00000090263.15_AC
18	2	0.001	ENSG00000160799.11_AC	ENSG00000090263.15_AC	ENSG00000160799.11_AC	ENSG00000090263.15_AC
19	2	0.808	ENSG00000182512.4_AC	ENSG00000090263.15_AC	ENSG00000182512.4_AC	ENSG00000090263.15_AC
20	2	1.0	ENSG00000156990.14_AC	ENSG00000090263.15_AC	ENSG00000156990.14_AC	ENSG00000090263.15_AC
1	3	0.001	ENSG00000160818.16_AC	ENSG00000105443.14_AC	ENSG00000160818.16_AC	ENSG00000105443.14_AC
