gene_id	tissue	gene_tissue	kME	abs_kME	kME_pval
ENSG00000160818.16	AC	ENSG00000160818.16_AC	0.5262684355845336	0.5262684355845336	2.417460672070786e-34
ENSG00000090263.15	AC	ENSG00000090263.15_AC	0.4196794859161431	0.4196794859161431	3.531635666394045e-21
ENSG00000105443.14	AC	ENSG00000105443.14_AC	0.416382301713575	0.416382301713575	7.686179299249271e-21
ENSG00000106263.17	AC	ENSG00000106263.17_AC	0.40925028548320214	0.40925028548320214	4.014179474204338e-20
ENSG00000167112.9	AC	ENSG00000167112.9_AC	0.4088060947410027	0.4088060947410027	4.443659350170981e-20
ENSG00000175166.16	AC	ENSG00000175166.16_AC	0.4025474279046431	0.4025474279046431	1.831272080724442e-19
ENSG00000141759.14	AC	ENSG00000141759.14_AC	0.4012491641082667	0.4012491641082667	2.447413248829445e-19
ENSG00000176473.13	AC	ENSG00000176473.13_AC	0.3968112537945332	0.3968112537945332	6.532854507078886e-19
ENSG00000160214.12	AC	ENSG00000160214.12_AC	0.3954170947622201	0.3954170947622201	8.866125832009482e-19
ENSG00000149930.17	AC	ENSG00000149930.17_AC	0.3948279683166067	0.3948279683166067	1.008302289740283e-18
ENSG00000143420.18	AC	ENSG00000143420.18_AC	0.39053331494829874	0.39053331494829874	2.5551217814765136e-18
ENSG00000159210.9	AC	ENSG00000159210.9_AC	0.3904775985973897	0.3904775985973897	2.5859003426956763e-18
ENSG00000156170.12	AC	ENSG00000156170.12_AC	0.3872242957462998	0.3872242957462998	5.182537221261315e-18
ENSG00000161914.9	AC	ENSG00000161914.9_AC	0.38482211875363387	0.38482211875363387	8.616573178199573e-18
ENSG00000114999.7	AC	ENSG00000114999.7_AC	0.380854295574657	0.380854295574657	1.977276278181967e-17
ENSG00000144567.10	AC	ENSG00000144567.10_AC	0.37362405138588184	0.37362405138588184	8.726700785872975e-17
ENSG00000125741.4	AC	ENSG00000125741.4_AC	0.37213969190738105	0.37213969190738105	1.178253663950294e-16
ENSG00000160799.11	AC	ENSG00000160799.11_AC	0.37213637811089384	0.37213637811089384	1.1790416250181982e-16
ENSG00000182512.4	AC	ENSG00000182512.4_AC	0.3708135555911031	0.3708135555911031	1.5387280961772864e-16
ENSG00000156990.14	AC	ENSG00000156990.14_AC	0.3707739672052824	0.3707739672052824	1.5510088025377232e-16
