node_id	raw_name	pretty_name	is_phenotype
1	ENSG00000160818.16_AC	ENSG00000160818.16_AC	0
2	ENSG00000090263.15_AC	ENSG00000090263.15_AC	0
3	ENSG00000105443.14_AC	ENSG00000105443.14_AC	0
4	ENSG00000106263.17_AC	ENSG00000106263.17_AC	0
5	ENSG00000167112.9_AC	ENSG00000167112.9_AC	0
6	ENSG00000175166.16_AC	ENSG00000175166.16_AC	0
7	ENSG00000141759.14_AC	ENSG00000141759.14_AC	0
8	ENSG00000176473.13_AC	ENSG00000176473.13_AC	0
9	ENSG00000160214.12_AC	ENSG00000160214.12_AC	0
10	ENSG00000149930.17_AC	ENSG00000149930.17_AC	0
11	ENSG00000143420.18_AC	ENSG00000143420.18_AC	0
12	ENSG00000159210.9_AC	ENSG00000159210.9_AC	0
13	ENSG00000156170.12_AC	ENSG00000156170.12_AC	0
14	ENSG00000161914.9_AC	ENSG00000161914.9_AC	0
15	ENSG00000114999.7_AC	ENSG00000114999.7_AC	0
16	ENSG00000144567.10_AC	ENSG00000144567.10_AC	0
17	ENSG00000125741.4_AC	ENSG00000125741.4_AC	0
18	ENSG00000160799.11_AC	ENSG00000160799.11_AC	0
19	ENSG00000182512.4_AC	ENSG00000182512.4_AC	0
20	ENSG00000156990.14_AC	ENSG00000156990.14_AC	0
21	PHENO_cogng_demog_slope	PHENO_cogng_demog_slope	1
