node_id	raw_name	pretty_name	is_phenotype
1	ENSG00000050165.17_PCGBA23	ENSG00000050165.17_PCGBA23	0
2	ENSG00000169181.12_PCGBA23	ENSG00000169181.12_PCGBA23	0
3	ENSG00000147202.17_PCGBA23	ENSG00000147202.17_PCGBA23	0
4	ENSG00000187416.11_PCGBA23	ENSG00000187416.11_PCGBA23	0
5	ENSG00000125355.15_PCGBA23	ENSG00000125355.15_PCGBA23	0
6	ENSG00000171451.13_PCGBA23	ENSG00000171451.13_PCGBA23	0
7	ENSG00000215483.10_PCGBA23	ENSG00000215483.10_PCGBA23	0
8	ENSG00000153048.10_PCGBA23	ENSG00000153048.10_PCGBA23	0
9	ENSG00000143845.14_PCGBA23	ENSG00000143845.14_PCGBA23	0
10	ENSG00000100030.14_PCGBA23	ENSG00000100030.14_PCGBA23	0
11	ENSG00000116786.11_MFBA9BA46	ENSG00000116786.11_MFBA9BA46	0
12	ENSG00000109906.13_AC	ENSG00000109906.13_AC	0
13	ENSG00000053524.12_PCGBA23	ENSG00000053524.12_PCGBA23	0
14	ENSG00000175115.11_PCGBA23	ENSG00000175115.11_PCGBA23	0
15	ENSG00000139289.13_PCGBA23	ENSG00000139289.13_PCGBA23	0
16	ENSG00000185950.8_AC	ENSG00000185950.8_AC	0
17	ENSG00000152953.12_PCGBA23	ENSG00000152953.12_PCGBA23	0
18	ENSG00000116985.11_PCGBA23	ENSG00000116985.11_PCGBA23	0
19	ENSG00000053524.12_MFBA9BA46	ENSG00000053524.12_MFBA9BA46	0
20	ENSG00000162813.17_PCGBA23	ENSG00000162813.17_PCGBA23	0
21	PHENO_pseudotime	PHENO_pseudotime	1
