gene_id	tissue	gene_tissue	kME	abs_kME	kME_pval
ENSG00000141873.10	PCGBA23	ENSG00000141873.10_PCGBA23	-0.707700744643514	0.707700744643514	1.4563773782509742e-71
ENSG00000130204.12	PCGBA23	ENSG00000130204.12_PCGBA23	-0.6965080557446018	0.6965080557446018	1.8771596153069556e-68
ENSG00000154127.9	PCGBA23	ENSG00000154127.9_PCGBA23	-0.6948559463825786	0.6948559463825786	5.253524273559151e-68
ENSG00000109917.10	PCGBA23	ENSG00000109917.10_PCGBA23	-0.6730339617638542	0.6730339617638542	2.245938129945756e-62
ENSG00000128564.6	PCGBA23	ENSG00000128564.6_PCGBA23	-0.6588319603954156	0.6588319603954156	5.8012170627512015e-59
ENSG00000188766.12	MFBA9BA46	ENSG00000188766.12_MFBA9BA46	-0.6578472867782165	0.6578472867782165	9.845275450470935e-59
ENSG00000070882.12	PCGBA23	ENSG00000070882.12_PCGBA23	-0.6496423696706709	0.6496423696706709	7.484680069047831e-57
ENSG00000128564.6	MFBA9BA46	ENSG00000128564.6_MFBA9BA46	-0.6422102336764478	0.6422102336764478	3.3760802497036216e-55
ENSG00000196305.17	MFBA9BA46	ENSG00000196305.17_MFBA9BA46	-0.639976329264532	0.639976329264532	1.0392468088421458e-54
ENSG00000239382.10	PCGBA23	ENSG00000239382.10_PCGBA23	-0.6398442746003828	0.6398442746003828	1.1103440450481792e-54
ENSG00000213626.11	PCGBA23	ENSG00000213626.11_PCGBA23	-0.6379640389242277	0.6379640389242277	2.838747552399449e-54
ENSG00000154127.9	MFBA9BA46	ENSG00000154127.9_MFBA9BA46	-0.6377062370135957	0.6377062370135957	3.2270210245653496e-54
ENSG00000142149.8	MFBA9BA46	ENSG00000142149.8_MFBA9BA46	-0.6332884989134845	0.6332884989134845	2.8488292631540554e-53
ENSG00000141433.12	PCGBA23	ENSG00000141433.12_PCGBA23	-0.6322076420041239	0.6322076420041239	4.827814859709197e-53
ENSG00000181773.6	PCGBA23	ENSG00000181773.6_PCGBA23	-0.6292000231062267	0.6292000231062267	2.0722731389250742e-52
ENSG00000109917.10	MFBA9BA46	ENSG00000109917.10_MFBA9BA46	-0.6290836545768146	0.6290836545768146	2.191730363029464e-52
ENSG00000175906.4	MFBA9BA46	ENSG00000175906.4_MFBA9BA46	-0.6268281122427973	0.6268281122427973	6.464407271712963e-52
ENSG00000168081.8	PCGBA23	ENSG00000168081.8_PCGBA23	-0.6244157688692054	0.6244157688692054	2.0355071650862086e-51
ENSG00000141873.10	MFBA9BA46	ENSG00000141873.10_MFBA9BA46	-0.6228847463391328	0.6228847463391328	4.193424406977468e-51
ENSG00000169271.2	PCGBA23	ENSG00000169271.2_PCGBA23	-0.6168254880889444	0.6168254880889444	7.046154843182326e-50
ENSG00000144136.10	MFBA9BA46	ENSG00000144136.10_MFBA9BA46	-0.6117767051691401	0.6117767051691401	7.059714517896687e-49
ENSG00000178860.8	PCGBA23	ENSG00000178860.8_PCGBA23	-0.6079637901788023	0.6079637901788023	3.915208784076273e-48
ENSG00000173227.13	MFBA9BA46	ENSG00000173227.13_MFBA9BA46	-0.6065540901909257	0.6065540901909257	7.332748704766048e-48
ENSG00000151789.10	PCGBA23	ENSG00000151789.10_PCGBA23	-0.6019020904271555	0.6019020904271555	5.687931745349503e-47
ENSG00000151247.12	PCGBA23	ENSG00000151247.12_PCGBA23	-0.600993480154174	0.600993480154174	8.453243730465434e-47
