source_id	target_id	frequency	source_name	target_name	source_raw	target_raw
2	1	0.1565	ENSG00000055070.16_PCGBA23	ENSG00000159658.10_PCGBA23	ENSG00000055070.16_PCGBA23	ENSG00000159658.10_PCGBA23
3	1	0.4155	ENSG00000112531.16_PCGBA23	ENSG00000159658.10_PCGBA23	ENSG00000112531.16_PCGBA23	ENSG00000159658.10_PCGBA23
4	1	0.02	ENSG00000180370.10_PCGBA23	ENSG00000159658.10_PCGBA23	ENSG00000180370.10_PCGBA23	ENSG00000159658.10_PCGBA23
5	1	0.003	ENSG00000137076.20_PCGBA23	ENSG00000159658.10_PCGBA23	ENSG00000137076.20_PCGBA23	ENSG00000159658.10_PCGBA23
6	1	0.0125	ENSG00000185591.9_PCGBA23	ENSG00000159658.10_PCGBA23	ENSG00000185591.9_PCGBA23	ENSG00000159658.10_PCGBA23
7	1	0.0065	ENSG00000101972.18_PCGBA23	ENSG00000159658.10_PCGBA23	ENSG00000101972.18_PCGBA23	ENSG00000159658.10_PCGBA23
8	1	0.253	ENSG00000183255.11_PCGBA23	ENSG00000159658.10_PCGBA23	ENSG00000183255.11_PCGBA23	ENSG00000159658.10_PCGBA23
9	1	0.0015	ENSG00000115825.9_PCGBA23	ENSG00000159658.10_PCGBA23	ENSG00000115825.9_PCGBA23	ENSG00000159658.10_PCGBA23
10	1	0.3775	ENSG00000134352.19_PCGBA23	ENSG00000159658.10_PCGBA23	ENSG00000134352.19_PCGBA23	ENSG00000159658.10_PCGBA23
11	1	0.171	ENSG00000187735.13_PCGBA23	ENSG00000159658.10_PCGBA23	ENSG00000187735.13_PCGBA23	ENSG00000159658.10_PCGBA23
12	1	0.0575	ENSG00000197324.8_PCGBA23	ENSG00000159658.10_PCGBA23	ENSG00000197324.8_PCGBA23	ENSG00000159658.10_PCGBA23
13	1	0.2405	ENSG00000084093.16_PCGBA23	ENSG00000159658.10_PCGBA23	ENSG00000084093.16_PCGBA23	ENSG00000159658.10_PCGBA23
14	1	0.0085	ENSG00000137693.13_PCGBA23	ENSG00000159658.10_PCGBA23	ENSG00000137693.13_PCGBA23	ENSG00000159658.10_PCGBA23
15	1	0.019	ENSG00000158195.10_PCGBA23	ENSG00000159658.10_PCGBA23	ENSG00000158195.10_PCGBA23	ENSG00000159658.10_PCGBA23
16	1	0.2105	ENSG00000078061.12_PCGBA23	ENSG00000159658.10_PCGBA23	ENSG00000078061.12_PCGBA23	ENSG00000159658.10_PCGBA23
