gene_id	tissue	gene_tissue	kME	abs_kME	kME_pval
ENSG00000198830.10	AC	ENSG00000198830.10_AC	0.7349028383286155	0.7349028383286155	8.925309134666457e-80
ENSG00000125520.13	AC	ENSG00000125520.13_AC	0.6876272394403892	0.6876272394403892	4.3738426212252984e-66
ENSG00000198830.10	MFBA9BA46	ENSG00000198830.10_MFBA9BA46	0.6797050188985598	0.6797050188985598	4.808004839815435e-64
ENSG00000125534.9	AC	ENSG00000125534.9_AC	0.6628983816483353	0.6628983816483353	6.392018068088205e-60
ENSG00000198830.10	PCGBA23	ENSG00000198830.10_PCGBA23	0.6576380503134186	0.6576380503134186	1.1013567811575671e-58
ENSG00000132475.10	AC	ENSG00000132475.10_AC	0.6455629037611611	0.6455629037611611	6.135934835241198e-56
ENSG00000178035.11	AC	ENSG00000178035.11_AC	0.6386213890036398	0.6386213890036398	2.0460881184177473e-54
ENSG00000108424.9	AC	ENSG00000108424.9_AC	0.6228906060110394	0.6228906060110394	4.181872279625936e-51
ENSG00000125534.9	PCGBA23	ENSG00000125534.9_PCGBA23	0.620544927306129	0.620544927306129	1.2558484514494938e-50
ENSG00000137285.9	PCGBA23	ENSG00000137285.9_PCGBA23	0.6180848546631879	0.6180848546631879	3.9397236888831857e-50
ENSG00000205352.10	AC	ENSG00000205352.10_AC	0.6156284329768723	0.6156284329768723	1.2214867630248903e-49
ENSG00000048828.16	AC	ENSG00000048828.16_AC	0.6130888205374609	0.6130888205374609	3.894219089364209e-49
ENSG00000169189.16	AC	ENSG00000169189.16_AC	0.6042369559691121	0.6042369559691121	2.042894924940476e-47
ENSG00000115758.12	AC	ENSG00000115758.12_AC	0.6027103160764838	0.6027103160764838	3.994214448200572e-47
ENSG00000205352.10	PCGBA23	ENSG00000205352.10_PCGBA23	0.6001389746090967	0.6001389746090967	1.2255866571727113e-46
ENSG00000104812.14	PCGBA23	ENSG00000104812.14_PCGBA23	0.5977997799921088	0.5977997799921088	3.3688515663375073e-46
ENSG00000198342.9	AC	ENSG00000198342.9_AC	0.5976443487031331	0.5976443487031331	3.601913430358585e-46
ENSG00000188643.10	AC	ENSG00000188643.10_AC	0.5950916675646071	0.5950916675646071	1.0749543276531491e-45
ENSG00000102119.10	AC	ENSG00000102119.10_AC	0.5947174987865608	0.5947174987865608	1.2607747364021592e-45
ENSG00000205352.10	MFBA9BA46	ENSG00000205352.10_MFBA9BA46	0.5917617017601823	0.5917617017601823	4.4105490848068494e-45
ENSG00000174851.15	AC	ENSG00000174851.15_AC	0.5917601356580587	0.5917601356580587	4.4134613737924394e-45
ENSG00000139410.14	AC	ENSG00000139410.14_AC	0.5908772176470247	0.5908772176470247	6.399494824515386e-45
ENSG00000161533.11	AC	ENSG00000161533.11_AC	0.5894874775858486	0.5894874775858486	1.1458744402932553e-44
ENSG00000100243.20	AC	ENSG00000100243.20_AC	0.582761295832787	0.582761295832787	1.846971861874859e-43
ENSG00000125534.9	MFBA9BA46	ENSG00000125534.9_MFBA9BA46	0.580946000567766	0.580946000567766	3.86817034099912e-43
