source_id	target_id	frequency	source_name	target_name	source_raw	target_raw
2	1	0.498	ENSG00000135094.10_MFBA9BA46	ENSG00000135094.10_AC	ENSG00000135094.10_MFBA9BA46	ENSG00000135094.10_AC
3	1	0.5365	ENSG00000135094.10_PCGBA23	ENSG00000135094.10_AC	ENSG00000135094.10_PCGBA23	ENSG00000135094.10_AC
4	1	0.0085	ENSG00000157184.6_MFBA9BA46	ENSG00000135094.10_AC	ENSG00000157184.6_MFBA9BA46	ENSG00000135094.10_AC
5	1	0.08	ENSG00000109099.13_AC	ENSG00000135094.10_AC	ENSG00000109099.13_AC	ENSG00000135094.10_AC
6	1	0.303	ENSG00000164104.11_MFBA9BA46	ENSG00000135094.10_AC	ENSG00000164104.11_MFBA9BA46	ENSG00000135094.10_AC
7	1	0.0595	ENSG00000128928.8_MFBA9BA46	ENSG00000135094.10_AC	ENSG00000128928.8_MFBA9BA46	ENSG00000135094.10_AC
8	1	0.1	ENSG00000132953.16_AC	ENSG00000135094.10_AC	ENSG00000132953.16_AC	ENSG00000135094.10_AC
9	1	0.5055	ENSG00000157184.6_AC	ENSG00000135094.10_AC	ENSG00000157184.6_AC	ENSG00000135094.10_AC
10	1	0.0105	ENSG00000172992.11_MFBA9BA46	ENSG00000135094.10_AC	ENSG00000172992.11_MFBA9BA46	ENSG00000135094.10_AC
11	1	0.0025	ENSG00000213390.10_AC	ENSG00000135094.10_AC	ENSG00000213390.10_AC	ENSG00000135094.10_AC
12	1	0.016	ENSG00000157184.6_PCGBA23	ENSG00000135094.10_AC	ENSG00000157184.6_PCGBA23	ENSG00000135094.10_AC
13	1	0.0005	ENSG00000231528.2_AC	ENSG00000135094.10_AC	ENSG00000231528.2_AC	ENSG00000135094.10_AC
14	1	0.0785	ENSG00000079332.14_AC	ENSG00000135094.10_AC	ENSG00000079332.14_AC	ENSG00000135094.10_AC
15	1	0.0025	ENSG00000131153.8_MFBA9BA46	ENSG00000135094.10_AC	ENSG00000131153.8_MFBA9BA46	ENSG00000135094.10_AC
16	1	0.019	ENSG00000164104.11_AC	ENSG00000135094.10_AC	ENSG00000164104.11_AC	ENSG00000135094.10_AC
17	1	0.1995	ENSG00000187068.2_AC	ENSG00000135094.10_AC	ENSG00000187068.2_AC	ENSG00000135094.10_AC
19	1	0.003	ENSG00000258708.1_AC	ENSG00000135094.10_AC	ENSG00000258708.1_AC	ENSG00000135094.10_AC
20	1	0.003	ENSG00000111481.9_MFBA9BA46	ENSG00000135094.10_AC	ENSG00000111481.9_MFBA9BA46	ENSG00000135094.10_AC
