node_id	raw_name	pretty_name	is_phenotype
1	ENSG00000134250.19_MFBA9BA46	ENSG00000134250.19_MFBA9BA46	0
2	ENSG00000147027.3_MFBA9BA46	ENSG00000147027.3_MFBA9BA46	0
3	ENSG00000165730.14_MFBA9BA46	ENSG00000165730.14_MFBA9BA46	0
4	ENSG00000083857.13_MFBA9BA46	ENSG00000083857.13_MFBA9BA46	0
5	ENSG00000164188.8_MFBA9BA46	ENSG00000164188.8_MFBA9BA46	0
6	ENSG00000180537.12_MFBA9BA46	ENSG00000180537.12_MFBA9BA46	0
7	ENSG00000146648.17_MFBA9BA46	ENSG00000146648.17_MFBA9BA46	0
8	ENSG00000152990.13_MFBA9BA46	ENSG00000152990.13_MFBA9BA46	0
9	ENSG00000158467.16_MFBA9BA46	ENSG00000158467.16_MFBA9BA46	0
10	ENSG00000152661.7_MFBA9BA46	ENSG00000152661.7_MFBA9BA46	0
11	ENSG00000164050.12_MFBA9BA46	ENSG00000164050.12_MFBA9BA46	0
12	ENSG00000163406.10_MFBA9BA46	ENSG00000163406.10_MFBA9BA46	0
13	ENSG00000185432.11_MFBA9BA46	ENSG00000185432.11_MFBA9BA46	0
14	ENSG00000170370.11_MFBA9BA46	ENSG00000170370.11_MFBA9BA46	0
15	ENSG00000181449.3_MFBA9BA46	ENSG00000181449.3_MFBA9BA46	0
16	ENSG00000186951.16_MFBA9BA46	ENSG00000186951.16_MFBA9BA46	0
17	ENSG00000182902.13_MFBA9BA46	ENSG00000182902.13_MFBA9BA46	0
18	ENSG00000178075.19_MFBA9BA46	ENSG00000178075.19_MFBA9BA46	0
19	ENSG00000078114.18_MFBA9BA46	ENSG00000078114.18_MFBA9BA46	0
20	ENSG00000092820.17_MFBA9BA46	ENSG00000092820.17_MFBA9BA46	0
21	ENSG00000106689.10_MFBA9BA46	ENSG00000106689.10_MFBA9BA46	0
22	ENSG00000146409.10_MFBA9BA46	ENSG00000146409.10_MFBA9BA46	0
23	ENSG00000134569.9_MFBA9BA46	ENSG00000134569.9_MFBA9BA46	0
24	ENSG00000143416.20_MFBA9BA46	ENSG00000143416.20_MFBA9BA46	0
25	ENSG00000079691.17_MFBA9BA46	ENSG00000079691.17_MFBA9BA46	0
26	PHENO_cogn_global	PHENO_cogn_global	1
