source_id	target_id	frequency	source_name	target_name	source_raw	target_raw
2	1	0.82	M1046	M1024	ME_M1046	ME_M1024
3	1	0.007	M1115	M1024	ME_M1115	ME_M1024
4	1	0.1005	M1158	M1024	ME_M1158	ME_M1024
5	1	0.042	M1196	M1024	ME_M1196	ME_M1024
6	1	0.0195	M1198	M1024	ME_M1198	ME_M1024
7	1	0.021	M1206	M1024	ME_M1206	ME_M1024
8	1	0.0045	M1263	M1024	ME_M1263	ME_M1024
9	1	0.0075	M1304	M1024	ME_M1304	ME_M1024
10	1	0.0025	M1308	M1024	ME_M1308	ME_M1024
11	1	0.002	M1313	M1024	ME_M1313	ME_M1024
13	1	0.017	M1317	M1024	ME_M1317	ME_M1024
14	1	0.004	M1403	M1024	ME_M1403	ME_M1024
15	1	0.006	M1405	M1024	ME_M1405	ME_M1024
16	1	0.0035	M144	M1024	ME_M144	ME_M1024
17	1	0.003	M1460	M1024	ME_M1460	ME_M1024
18	1	0.002	M1464	M1024	ME_M1464	ME_M1024
19	1	0.004	M1477	M1024	ME_M1477	ME_M1024
20	1	0.0025	M1505	M1024	ME_M1505	ME_M1024
21	1	0.005	M1506	M1024	ME_M1506	ME_M1024
22	1	0.0035	M1508	M1024	ME_M1508	ME_M1024
23	1	0.003	M1509	M1024	ME_M1509	ME_M1024
24	1	0.003	M1510	M1024	ME_M1510	ME_M1024
25	1	0.0035	M1537	M1024	ME_M1537	ME_M1024
26	1	0.0045	M154	M1024	ME_M154	ME_M1024
27	1	0.005	M1543	M1024	ME_M1543	ME_M1024
28	1	0.0005	M1547	M1024	ME_M1547	ME_M1024
29	1	0.0375	M1548	M1024	ME_M1548	ME_M1024
30	1	0.0275	M1556	M1024	ME_M1556	ME_M1024
31	1	0.0105	M1557	M1024	ME_M1557	ME_M1024
32	1	0.009	M1564	M1024	ME_M1564	ME_M1024
34	1	0.005	M158	M1024	ME_M158	ME_M1024
35	1	0.011	M1582	M1024	ME_M1582	ME_M1024
36	1	0.0015	M1592	M1024	ME_M1592	ME_M1024
37	1	0.0055	M1599	M1024	ME_M1599	ME_M1024
38	1	0.2635	M1640	M1024	ME_M1640	ME_M1024
39	1	0.005	M1643	M1024	ME_M1643	ME_M1024
40	1	0.018	M1644	M1024	ME_M1644	ME_M1024
41	1	0.008	M1649	M1024	ME_M1649	ME_M1024
42	1	0.015	M1650	M1024	ME_M1650	ME_M1024
43	1	0.021	M1654	M1024	ME_M1654	ME_M1024
44	1	0.0365	M1710	M1024	ME_M1710	ME_M1024
45	1	0.0055	M1823	M1024	ME_M1823	ME_M1024
46	1	0.006	M1849	M1024	ME_M1849	ME_M1024
47	1	0.2275	M1861	M1024	ME_M1861	ME_M1024
48	1	0.007	M187	M1024	ME_M187	ME_M1024
49	1	0.015	M188	M1024	ME_M188	ME_M1024
50	1	0.001	M189	M1024	ME_M189	ME_M1024
52	1	0.022	M1904	M1024	ME_M1904	ME_M1024
