node_id	raw_name	pretty_name	is_phenotype
1	ME_M1024	M1024	0
2	ME_M1046	M1046	0
3	ME_M1115	M1115	0
4	ME_M1158	M1158	0
5	ME_M1196	M1196	0
6	ME_M1198	M1198	0
7	ME_M1206	M1206	0
8	ME_M1263	M1263	0
9	ME_M1304	M1304	0
10	ME_M1308	M1308	0
11	ME_M1313	M1313	0
12	ME_M1314	M1314	0
13	ME_M1317	M1317	0
14	ME_M1403	M1403	0
15	ME_M1405	M1405	0
16	ME_M144	M144	0
17	ME_M1460	M1460	0
18	ME_M1464	M1464	0
19	ME_M1477	M1477	0
20	ME_M1505	M1505	0
21	ME_M1506	M1506	0
22	ME_M1508	M1508	0
23	ME_M1509	M1509	0
24	ME_M1510	M1510	0
25	ME_M1537	M1537	0
26	ME_M154	M154	0
27	ME_M1543	M1543	0
28	ME_M1547	M1547	0
29	ME_M1548	M1548	0
30	ME_M1556	M1556	0
31	ME_M1557	M1557	0
32	ME_M1564	M1564	0
33	ME_M1572	M1572	0
34	ME_M158	M158	0
35	ME_M1582	M1582	0
36	ME_M1592	M1592	0
37	ME_M1599	M1599	0
38	ME_M1640	M1640	0
39	ME_M1643	M1643	0
40	ME_M1644	M1644	0
41	ME_M1649	M1649	0
42	ME_M1650	M1650	0
43	ME_M1654	M1654	0
44	ME_M1710	M1710	0
45	ME_M1823	M1823	0
46	ME_M1849	M1849	0
47	ME_M1861	M1861	0
48	ME_M187	M187	0
49	ME_M188	M188	0
50	ME_M189	M189	0
51	ME_M1903	M1903	0
52	ME_M1904	M1904	0
53	ME_M191	M191	0
54	ME_M1918	M1918	0
55	ME_M192	M192	0
56	ME_M193	M193	0
57	ME_M1969	M1969	0
58	ME_M2198	M2198	0
59	ME_M229	M229	0
60	ME_M34	M34	0
61	ME_M376	M376	0
62	ME_M38	M38	0
63	ME_M396	M396	0
64	ME_M56	M56	0
65	ME_M59	M59	0
66	ME_M635	M635	0
67	ME_M637	M637	0
68	ME_M644	M644	0
69	ME_M65	M65	0
70	ME_M660	M660	0
71	ME_M68	M68	0
72	ME_M736	M736	0
73	ME_M737	M737	0
74	ME_M742	M742	0
75	ME_M744	M744	0
76	ME_M883	M883	0
77	ME_M91	M91	0
78	ME_M92	M92	0
79	ME_M93	M93	0
80	ME_M936	M936	0
81	PHENO_pseudotime	PHENO_pseudotime	1
