gene_symbol	ensembl_id	tissue	source_module	phenotype	edge_frequency	run_type
EZR	ENSG00000092820.17	MFBA9BA46	M93	cogn_global	0.996	per_module
LRP4	ENSG00000134569.9	MFBA9BA46	M93	cogn_global	0.68	per_module
DKK3	ENSG00000050165.17	PCGBA23	cross	cogn_global	0.41	cross_module
SZRD1	ENSG00000055070.16	PCGBA23	cross	cogn_global	0.3215	cross_module
PPDPF	ENSG00000125534.9	AC	cross	cogn_global	0.282	cross_module
HMGN2	ENSG00000198830.10	AC	cross	cogn_global	0.236	cross_module
HMGN2	ENSG00000198830.10	MFBA9BA46	cross	cogn_global	0.1765	cross_module
QKI	ENSG00000112531.16	PCGBA23	cross	cogn_global	0.1565	cross_module
GJA1	ENSG00000152661.7	MFBA9BA46	M93	cogn_global	0.1545	per_module
NOTCH2	ENSG00000134250.19	PCGBA23	cross	cogn_global	0.1495	cross_module
SLC25A18	ENSG00000182902.13	MFBA9BA46	M93	cogn_global	0.144	per_module
GRAMD1C	ENSG00000178075.19	MFBA9BA46	M93	cogn_global	0.12	per_module
EFCAB14	ENSG00000159658.10	PCGBA23	cross	cogn_global	0.12	cross_module
ZPR1	ENSG00000109917.10	PCGBA23	cross	cogn_global	0.1115	cross_module
PPARA	ENSG00000186951.16	MFBA9BA46	M93	cogn_global	0.0885	per_module
HMGN2	ENSG00000198830.10	PCGBA23	cross	cogn_global	0.0875	cross_module
BMI1	ENSG00000168283.13	PCGBA23	cross	cogn_global	0.084	cross_module
SLC2A4RG	ENSG00000125520.13	AC	cross	cogn_global	0.0815	cross_module
NEBL	ENSG00000078114.18	PCGBA23	cross	cogn_global	0.074	cross_module
PAK2	ENSG00000180370.10	PCGBA23	cross	cogn_global	0.068	cross_module
SLC38A2	ENSG00000134294.13	PCGBA23	cross	cogn_global	0.067	cross_module
TMT1A	ENSG00000185432.11	MFBA9BA46	M93	cogn_global	0.0655	per_module
GJA1	ENSG00000152661.7	PCGBA23	cross	cogn_global	0.06	cross_module
PLXNB1	ENSG00000164050.12	MFBA9BA46	M93	cogn_global	0.0575	per_module
NOTCH2	ENSG00000134250.19	MFBA9BA46	M93	cogn_global	0.0375	per_module
SLC18B1	ENSG00000146409.10	MFBA9BA46	M93	cogn_global	0.037	per_module
TOMM40	ENSG00000130204.12	PCGBA23	cross	cogn_global	0.036	cross_module
LHX2	ENSG00000106689.10	MFBA9BA46	M93	cogn_global	0.0325	per_module
NEBL	ENSG00000078114.18	MFBA9BA46	M93	cogn_global	0.032	per_module
TMEM47	ENSG00000147027.3	MFBA9BA46	M93	cogn_global	0.0285	per_module
MRPS33	ENSG00000090263.15	AC	cross	cogn_global	0.0285	cross_module
FAT1	ENSG00000083857.13	MFBA9BA46	cross	cogn_global	0.0265	cross_module
IDH3A	ENSG00000166411.13	MFBA9BA46	cross	cogn_global	0.026	cross_module
CARMIL1	ENSG00000079691.17	MFBA9BA46	M93	cogn_global	0.0245	per_module
CTBP1	ENSG00000159692.15	MFBA9BA46	cross	cogn_global	0.0245	cross_module
EGFR	ENSG00000146648.17	MFBA9BA46	M93	cogn_global	0.024	per_module
MMEL1	ENSG00000142606.15	AC	cross	cogn_global	0.024	cross_module
VGF	ENSG00000128564.6	PCGBA23	cross	cogn_global	0.023	cross_module
RANBP3L	ENSG00000164188.8	MFBA9BA46	cross	cogn_global	0.0225	cross_module
TLN1	ENSG00000137076.20	PCGBA23	cross	cogn_global	0.022	cross_module
PTS	ENSG00000150787.7	MFBA9BA46	cross	cogn_global	0.0215	cross_module
SLC39A3	ENSG00000141873.10	PCGBA23	cross	cogn_global	0.0215	cross_module
ENSG00000125733.17	ENSG00000125733.17	AC	cross	cogn_global	0.021	cross_module
RANBP3L	ENSG00000164188.8	MFBA9BA46	M93	cogn_global	0.0205	per_module
AHCYL2	ENSG00000158467.16	MFBA9BA46	M93	cogn_global	0.0205	per_module
ENSA	ENSG00000143420.18	AC	M1543	cogng_demog_slope	0.9825	per_module
UBE2V2	ENSG00000169139.11	MFBA9BA46	M1308	cogng_demog_slope	0.965	per_module
IRS1	ENSG00000169047.5	AC	M1537	cogng_demog_slope	0.947	per_module
TOMM40	ENSG00000130204.12	PCGBA23	M1317	cogng_demog_slope	0.89	per_module
RNASEH2C	ENSG00000172922.8	AC	M660	cogng_demog_slope	0.848	per_module
PTS	ENSG00000150787.7	MFBA9BA46	M1308	cogng_demog_slope	0.644	per_module
SLC2A4RG	ENSG00000125520.13	AC	M1918	cogng_demog_slope	0.631	per_module
PREP	ENSG00000085377.13	PCGBA23	M1460	cogng_demog_slope	0.6215	per_module
SAR1A	ENSG00000079332.14	AC	M1969	cogng_demog_slope	0.5295	per_module
IDH3A	ENSG00000166411.13	MFBA9BA46	M1308	cogng_demog_slope	0.5085	per_module
SCN1A	ENSG00000144285.18	PCGBA23	M1460	cogng_demog_slope	0.4875	per_module
TTC39B	ENSG00000155158.20	PCGBA23	M1460	cogng_demog_slope	0.483	per_module
FAM120A	ENSG00000048828.16	AC	M1918	cogng_demog_slope	0.4255	per_module
CTDP1	ENSG00000060069.16	AC	M1537	cogng_demog_slope	0.3705	per_module
VAMP1	ENSG00000139190.16	PCGBA23	M1460	cogng_demog_slope	0.3655	per_module
RET	ENSG00000165731.18	PCGBA23	M1460	cogng_demog_slope	0.358	per_module
SLC2A4RG	ENSG00000125520.13	AC	cross	cogng_demog_slope	0.3265	cross_module
WAC	ENSG00000095787.21	PCGBA23	M660	cogng_demog_slope	0.309	per_module
NCALD	ENSG00000104490.17	PCGBA23	M1460	cogng_demog_slope	0.307	per_module
FANCC	ENSG00000158169.12	PCGBA23	M660	cogng_demog_slope	0.302	per_module
HSPB3	ENSG00000169271.2	PCGBA23	M1317	cogng_demog_slope	0.3	per_module
SZRD1	ENSG00000055070.16	PCGBA23	cross	cogng_demog_slope	0.2995	cross_module
SLC5A3	ENSG00000198743.6	MFBA9BA46	M660	cogng_demog_slope	0.2975	per_module
SYT12	ENSG00000173227.13	MFBA9BA46	M1317	cogng_demog_slope	0.2925	per_module
CPT2	ENSG00000157184.6	MFBA9BA46	M1969	cogng_demog_slope	0.267	per_module
PPDPF	ENSG00000125534.9	MFBA9BA46	M1918	cogng_demog_slope	0.2495	per_module
KPNB1	ENSG00000108424.9	AC	M1918	cogng_demog_slope	0.247	per_module
XPO4	ENSG00000132953.16	AC	M1969	cogng_demog_slope	0.225	per_module
SLC38A2	ENSG00000134294.13	MFBA9BA46	M660	cogng_demog_slope	0.2185	per_module
BMI1	ENSG00000168283.13	PCGBA23	M660	cogng_demog_slope	0.217	per_module
MMEL1	ENSG00000142606.15	AC	M1308	cogng_demog_slope	0.203	per_module
TOMM40	ENSG00000130204.12	PCGBA23	cross	cogng_demog_slope	0.183	cross_module
CPT2	ENSG00000157184.6	MFBA9BA46	cross	cogng_demog_slope	0.1825	cross_module
LRRC51	ENSG00000184154.13	MFBA9BA46	M1969	cogng_demog_slope	0.1685	per_module
PAK2	ENSG00000180370.10	PCGBA23	cross	cogng_demog_slope	0.1685	cross_module
VGF	ENSG00000128564.6	PCGBA23	M1317	cogng_demog_slope	0.168	per_module
SDSL	ENSG00000139410.14	AC	M1918	cogng_demog_slope	0.163	per_module
HUNK	ENSG00000142149.8	MFBA9BA46	M1317	cogng_demog_slope	0.16	per_module
BCAR1	ENSG00000050820.16	AC	M1537	cogng_demog_slope	0.1585	per_module
HECA	ENSG00000112406.4	PCGBA23	M660	cogng_demog_slope	0.1545	per_module
HMGN2	ENSG00000198830.10	AC	cross	cogng_demog_slope	0.1535	cross_module
MMEL1	ENSG00000142606.15	AC	cross	cogng_demog_slope	0.152	cross_module
QKI	ENSG00000112531.16	PCGBA23	cross	cogng_demog_slope	0.144	cross_module
GPR3	ENSG00000181773.6	PCGBA23	M1317	cogng_demog_slope	0.1385	per_module
PTS	ENSG00000150787.7	MFBA9BA46	cross	cogng_demog_slope	0.137	cross_module
NDUFAF5	ENSG00000101247.17	MFBA9BA46	M1308	cogng_demog_slope	0.1305	per_module
PPDPF	ENSG00000125534.9	AC	cross	cogng_demog_slope	0.1275	cross_module
HMGN2	ENSG00000198830.10	MFBA9BA46	cross	cogng_demog_slope	0.111	cross_module
BCAR1	ENSG00000050820.16	AC	cross	cogng_demog_slope	0.1095	cross_module
NDUFA4	ENSG00000189043.9	MFBA9BA46	M1308	cogng_demog_slope	0.1075	per_module
SLC5A3	ENSG00000198743.6	PCGBA23	M660	cogng_demog_slope	0.1075	per_module
EFCAB14	ENSG00000159658.10	PCGBA23	cross	cogng_demog_slope	0.103	cross_module
SLC25A21-AS1	ENSG00000258708.1	AC	M1969	cogng_demog_slope	0.1015	per_module
ADCYAP1	ENSG00000141433.12	PCGBA23	M1317	cogng_demog_slope	0.0945	per_module
C3orf70	ENSG00000187068.2	AC	M1969	cogng_demog_slope	0.0935	per_module
CTBP1	ENSG00000159692.15	MFBA9BA46	M1308	cogng_demog_slope	0.0895	per_module
PRR13	ENSG00000205352.10	MFBA9BA46	M1918	cogng_demog_slope	0.0875	per_module
HMGN2	ENSG00000198830.10	PCGBA23	M1918	cogng_demog_slope	0.084	per_module
ORC4	ENSG00000115947.13	MFBA9BA46	M1308	cogng_demog_slope	0.082	per_module
HMGN2	ENSG00000198830.10	AC	M1918	cogng_demog_slope	0.08	per_module
COPZ1	ENSG00000111481.9	MFBA9BA46	M1969	cogng_demog_slope	0.079	per_module
HMOX2	ENSG00000103415.11	MFBA9BA46	M1308	cogng_demog_slope	0.077	per_module
UBE2Q1	ENSG00000160714.9	AC	M1537	cogng_demog_slope	0.0745	per_module
TTBK2	ENSG00000128881.16	PCGBA23	M1460	cogng_demog_slope	0.0735	per_module
SNF8	ENSG00000159210.9	AC	M1543	cogng_demog_slope	0.0735	per_module
MRPS6	ENSG00000243927.5	PCGBA23	M660	cogng_demog_slope	0.073	per_module
UBE2Q1	ENSG00000160714.9	AC	cross	cogng_demog_slope	0.0725	cross_module
SLC38A2	ENSG00000134294.13	AC	M660	cogng_demog_slope	0.0715	per_module
VGF	ENSG00000128564.6	PCGBA23	cross	cogng_demog_slope	0.0705	cross_module
TUT1	ENSG00000149016.15	MFBA9BA46	M1969	cogng_demog_slope	0.07	per_module
POGK	ENSG00000143157.11	PCGBA23	M660	cogng_demog_slope	0.068	per_module
SLC16A7	ENSG00000118596.11	PCGBA23	M1460	cogng_demog_slope	0.067	per_module
ENSG00000269814.1	ENSG00000269814.1	AC	M1537	cogng_demog_slope	0.067	per_module
TUBB2B	ENSG00000137285.9	PCGBA23	M1918	cogng_demog_slope	0.067	per_module
HMGB2	ENSG00000164104.11	MFBA9BA46	M1969	cogng_demog_slope	0.0665	per_module
HMGB2	ENSG00000164104.11	AC	M1969	cogng_demog_slope	0.0635	per_module
OPA3	ENSG00000125741.4	AC	M1543	cogng_demog_slope	0.062	per_module
CPT2	ENSG00000157184.6	PCGBA23	M1969	cogng_demog_slope	0.062	per_module
OSBPL3	ENSG00000070882.12	PCGBA23	M1317	cogng_demog_slope	0.0605	per_module
POU6F1	ENSG00000184271.16	AC	M1537	cogng_demog_slope	0.0595	per_module
DDX1	ENSG00000079785.14	MFBA9BA46	M1308	cogng_demog_slope	0.058	per_module
ALKBH6	ENSG00000239382.10	PCGBA23	M1317	cogng_demog_slope	0.057	per_module
ZBTB17	ENSG00000116809.11	AC	M1537	cogng_demog_slope	0.0565	per_module
TMCO1	ENSG00000143183.16	MFBA9BA46	M1969	cogng_demog_slope	0.0565	per_module
SPAG16	ENSG00000144451.18	MFBA9BA46	M1969	cogng_demog_slope	0.056	per_module
GLRX5	ENSG00000182512.4	AC	M1543	cogng_demog_slope	0.0545	per_module
ACOX1	ENSG00000161533.11	AC	M1918	cogng_demog_slope	0.0535	per_module
EMD	ENSG00000102119.10	AC	M1918	cogng_demog_slope	0.0525	per_module
IVD	ENSG00000128928.8	MFBA9BA46	M1969	cogng_demog_slope	0.0505	per_module
HMGN2	ENSG00000198830.10	MFBA9BA46	M1918	cogng_demog_slope	0.0495	per_module
AXIN1	ENSG00000103126.14	AC	M1537	cogng_demog_slope	0.048	per_module
BMI1	ENSG00000168283.13	PCGBA23	cross	cogng_demog_slope	0.048	cross_module
PPDPF	ENSG00000125534.9	AC	M1918	cogng_demog_slope	0.047	per_module
MRPS33	ENSG00000090263.15	AC	M1543	cogng_demog_slope	0.0465	per_module
UBASH3B	ENSG00000154127.9	MFBA9BA46	M1317	cogng_demog_slope	0.0455	per_module
GPATCH4	ENSG00000160818.16	AC	cross	cogng_demog_slope	0.045	cross_module
