source_id	target_id	frequency	source_name	target_name	source_raw	target_raw
2	1	0.001	ENSG00000125520.13_AC	ENSG00000198830.10_AC	ENSG00000125520.13_AC	ENSG00000198830.10_AC
3	1	0.122	ENSG00000198830.10_MFBA9BA46	ENSG00000198830.10_AC	ENSG00000198830.10_MFBA9BA46	ENSG00000198830.10_AC
4	1	0.088	ENSG00000125534.9_AC	ENSG00000198830.10_AC	ENSG00000125534.9_AC	ENSG00000198830.10_AC
5	1	0.942	ENSG00000198830.10_PCGBA23	ENSG00000198830.10_AC	ENSG00000198830.10_PCGBA23	ENSG00000198830.10_AC
6	1	0.041	ENSG00000159658.10_PCGBA23	ENSG00000198830.10_AC	ENSG00000159658.10_PCGBA23	ENSG00000198830.10_AC
7	1	0.808	ENSG00000055070.16_PCGBA23	ENSG00000198830.10_AC	ENSG00000055070.16_PCGBA23	ENSG00000198830.10_AC
8	1	0.002	ENSG00000112531.16_PCGBA23	ENSG00000198830.10_AC	ENSG00000112531.16_PCGBA23	ENSG00000198830.10_AC
9	1	0.006	ENSG00000180370.10_PCGBA23	ENSG00000198830.10_AC	ENSG00000180370.10_PCGBA23	ENSG00000198830.10_AC
10	1	0.054	ENSG00000137076.20_PCGBA23	ENSG00000198830.10_AC	ENSG00000137076.20_PCGBA23	ENSG00000198830.10_AC
11	1	0.012	ENSG00000185432.11_PCGBA23	ENSG00000198830.10_AC	ENSG00000185432.11_PCGBA23	ENSG00000198830.10_AC
12	1	0.021	ENSG00000186951.16_PCGBA23	ENSG00000198830.10_AC	ENSG00000186951.16_PCGBA23	ENSG00000198830.10_AC
13	1	0.002	ENSG00000152661.7_PCGBA23	ENSG00000198830.10_AC	ENSG00000152661.7_PCGBA23	ENSG00000198830.10_AC
14	1	0.087	ENSG00000078114.18_PCGBA23	ENSG00000198830.10_AC	ENSG00000078114.18_PCGBA23	ENSG00000198830.10_AC
15	1	0.031	ENSG00000134250.19_PCGBA23	ENSG00000198830.10_AC	ENSG00000134250.19_PCGBA23	ENSG00000198830.10_AC
16	1	0.008	ENSG00000065609.14_PCGBA23	ENSG00000198830.10_AC	ENSG00000065609.14_PCGBA23	ENSG00000198830.10_AC
17	1	0.037	ENSG00000106976.20_PCGBA23	ENSG00000198830.10_AC	ENSG00000106976.20_PCGBA23	ENSG00000198830.10_AC
18	1	0.081	ENSG00000132872.11_PCGBA23	ENSG00000198830.10_AC	ENSG00000132872.11_PCGBA23	ENSG00000198830.10_AC
19	1	0.088	ENSG00000075340.22_PCGBA23	ENSG00000198830.10_AC	ENSG00000075340.22_PCGBA23	ENSG00000198830.10_AC
20	1	0.463	ENSG00000184672.11_PCGBA23	ENSG00000198830.10_AC	ENSG00000184672.11_PCGBA23	ENSG00000198830.10_AC
1	2	0.999	ENSG00000198830.10_AC	ENSG00000125520.13_AC	ENSG00000198830.10_AC	ENSG00000125520.13_AC
4	2	0.999	ENSG00000125534.9_AC	ENSG00000125520.13_AC	ENSG00000125534.9_AC	ENSG00000125520.13_AC
6	2	0.004	ENSG00000159658.10_PCGBA23	ENSG00000125520.13_AC	ENSG00000159658.10_PCGBA23	ENSG00000125520.13_AC
7	2	0.004	ENSG00000055070.16_PCGBA23	ENSG00000125520.13_AC	ENSG00000055070.16_PCGBA23	ENSG00000125520.13_AC
9	2	0.009	ENSG00000180370.10_PCGBA23	ENSG00000125520.13_AC	ENSG00000180370.10_PCGBA23	ENSG00000125520.13_AC
10	2	0.001	ENSG00000137076.20_PCGBA23	ENSG00000125520.13_AC	ENSG00000137076.20_PCGBA23	ENSG00000125520.13_AC
12	2	0.001	ENSG00000186951.16_PCGBA23	ENSG00000125520.13_AC	ENSG00000186951.16_PCGBA23	ENSG00000125520.13_AC
16	2	0.429	ENSG00000065609.14_PCGBA23	ENSG00000125520.13_AC	ENSG00000065609.14_PCGBA23	ENSG00000125520.13_AC
17	2	0.371	ENSG00000106976.20_PCGBA23	ENSG00000125520.13_AC	ENSG00000106976.20_PCGBA23	ENSG00000125520.13_AC
18	2	0.08	ENSG00000132872.11_PCGBA23	ENSG00000125520.13_AC	ENSG00000132872.11_PCGBA23	ENSG00000125520.13_AC
19	2	0.087	ENSG00000075340.22_PCGBA23	ENSG00000125520.13_AC	ENSG00000075340.22_PCGBA23	ENSG00000125520.13_AC
20	2	0.014	ENSG00000184672.11_PCGBA23	ENSG00000125520.13_AC	ENSG00000184672.11_PCGBA23	ENSG00000125520.13_AC
1	3	0.859	ENSG00000198830.10_AC	ENSG00000198830.10_MFBA9BA46	ENSG00000198830.10_AC	ENSG00000198830.10_MFBA9BA46
2	3	0.032	ENSG00000125520.13_AC	ENSG00000198830.10_MFBA9BA46	ENSG00000125520.13_AC	ENSG00000198830.10_MFBA9BA46
4	3	0.043	ENSG00000125534.9_AC	ENSG00000198830.10_MFBA9BA46	ENSG00000125534.9_AC	ENSG00000198830.10_MFBA9BA46
5	3	0.941	ENSG00000198830.10_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000198830.10_PCGBA23	ENSG00000198830.10_MFBA9BA46
6	3	0.416	ENSG00000159658.10_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000159658.10_PCGBA23	ENSG00000198830.10_MFBA9BA46
7	3	0.041	ENSG00000055070.16_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000055070.16_PCGBA23	ENSG00000198830.10_MFBA9BA46
8	3	0.177	ENSG00000112531.16_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000112531.16_PCGBA23	ENSG00000198830.10_MFBA9BA46
9	3	0.056	ENSG00000180370.10_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000180370.10_PCGBA23	ENSG00000198830.10_MFBA9BA46
10	3	0.041	ENSG00000137076.20_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000137076.20_PCGBA23	ENSG00000198830.10_MFBA9BA46
11	3	0.016	ENSG00000185432.11_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000185432.11_PCGBA23	ENSG00000198830.10_MFBA9BA46
12	3	0.028	ENSG00000186951.16_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000186951.16_PCGBA23	ENSG00000198830.10_MFBA9BA46
13	3	0.013	ENSG00000152661.7_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000152661.7_PCGBA23	ENSG00000198830.10_MFBA9BA46
14	3	0.022	ENSG00000078114.18_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000078114.18_PCGBA23	ENSG00000198830.10_MFBA9BA46
15	3	0.039	ENSG00000134250.19_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000134250.19_PCGBA23	ENSG00000198830.10_MFBA9BA46
16	3	0.014	ENSG00000065609.14_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000065609.14_PCGBA23	ENSG00000198830.10_MFBA9BA46
17	3	0.01	ENSG00000106976.20_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000106976.20_PCGBA23	ENSG00000198830.10_MFBA9BA46
18	3	0.029	ENSG00000132872.11_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000132872.11_PCGBA23	ENSG00000198830.10_MFBA9BA46
19	3	0.012	ENSG00000075340.22_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000075340.22_PCGBA23	ENSG00000198830.10_MFBA9BA46
20	3	0.015	ENSG00000184672.11_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000184672.11_PCGBA23	ENSG00000198830.10_MFBA9BA46
1	4	0.912	ENSG00000198830.10_AC	ENSG00000125534.9_AC	ENSG00000198830.10_AC	ENSG00000125534.9_AC
2	4	0.001	ENSG00000125520.13_AC	ENSG00000125534.9_AC	ENSG00000125520.13_AC	ENSG00000125534.9_AC
3	4	0.005	ENSG00000198830.10_MFBA9BA46	ENSG00000125534.9_AC	ENSG00000198830.10_MFBA9BA46	ENSG00000125534.9_AC
5	4	0.971	ENSG00000198830.10_PCGBA23	ENSG00000125534.9_AC	ENSG00000198830.10_PCGBA23	ENSG00000125534.9_AC
6	4	0.03	ENSG00000159658.10_PCGBA23	ENSG00000125534.9_AC	ENSG00000159658.10_PCGBA23	ENSG00000125534.9_AC
7	4	0.022	ENSG00000055070.16_PCGBA23	ENSG00000125534.9_AC	ENSG00000055070.16_PCGBA23	ENSG00000125534.9_AC
8	4	0.911	ENSG00000112531.16_PCGBA23	ENSG00000125534.9_AC	ENSG00000112531.16_PCGBA23	ENSG00000125534.9_AC
9	4	0.006	ENSG00000180370.10_PCGBA23	ENSG00000125534.9_AC	ENSG00000180370.10_PCGBA23	ENSG00000125534.9_AC
10	4	0.005	ENSG00000137076.20_PCGBA23	ENSG00000125534.9_AC	ENSG00000137076.20_PCGBA23	ENSG00000125534.9_AC
11	4	0.013	ENSG00000185432.11_PCGBA23	ENSG00000125534.9_AC	ENSG00000185432.11_PCGBA23	ENSG00000125534.9_AC
12	4	0.002	ENSG00000186951.16_PCGBA23	ENSG00000125534.9_AC	ENSG00000186951.16_PCGBA23	ENSG00000125534.9_AC
13	4	0.002	ENSG00000152661.7_PCGBA23	ENSG00000125534.9_AC	ENSG00000152661.7_PCGBA23	ENSG00000125534.9_AC
14	4	0.007	ENSG00000078114.18_PCGBA23	ENSG00000125534.9_AC	ENSG00000078114.18_PCGBA23	ENSG00000125534.9_AC
15	4	0.012	ENSG00000134250.19_PCGBA23	ENSG00000125534.9_AC	ENSG00000134250.19_PCGBA23	ENSG00000125534.9_AC
16	4	0.002	ENSG00000065609.14_PCGBA23	ENSG00000125534.9_AC	ENSG00000065609.14_PCGBA23	ENSG00000125534.9_AC
17	4	0.005	ENSG00000106976.20_PCGBA23	ENSG00000125534.9_AC	ENSG00000106976.20_PCGBA23	ENSG00000125534.9_AC
18	4	0.007	ENSG00000132872.11_PCGBA23	ENSG00000125534.9_AC	ENSG00000132872.11_PCGBA23	ENSG00000125534.9_AC
19	4	0.002	ENSG00000075340.22_PCGBA23	ENSG00000125534.9_AC	ENSG00000075340.22_PCGBA23	ENSG00000125534.9_AC
20	4	0.002	ENSG00000184672.11_PCGBA23	ENSG00000125534.9_AC	ENSG00000184672.11_PCGBA23	ENSG00000125534.9_AC
1	5	0.058	ENSG00000198830.10_AC	ENSG00000198830.10_PCGBA23	ENSG00000198830.10_AC	ENSG00000198830.10_PCGBA23
3	5	0.059	ENSG00000198830.10_MFBA9BA46	ENSG00000198830.10_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000198830.10_PCGBA23
4	5	0.023	ENSG00000125534.9_AC	ENSG00000198830.10_PCGBA23	ENSG00000125534.9_AC	ENSG00000198830.10_PCGBA23
6	5	0.881	ENSG00000159658.10_PCGBA23	ENSG00000198830.10_PCGBA23	ENSG00000159658.10_PCGBA23	ENSG00000198830.10_PCGBA23
7	5	0.004	ENSG00000055070.16_PCGBA23	ENSG00000198830.10_PCGBA23	ENSG00000055070.16_PCGBA23	ENSG00000198830.10_PCGBA23
8	5	0.035	ENSG00000112531.16_PCGBA23	ENSG00000198830.10_PCGBA23	ENSG00000112531.16_PCGBA23	ENSG00000198830.10_PCGBA23
9	5	0.303	ENSG00000180370.10_PCGBA23	ENSG00000198830.10_PCGBA23	ENSG00000180370.10_PCGBA23	ENSG00000198830.10_PCGBA23
10	5	0.287	ENSG00000137076.20_PCGBA23	ENSG00000198830.10_PCGBA23	ENSG00000137076.20_PCGBA23	ENSG00000198830.10_PCGBA23
11	5	0.029	ENSG00000185432.11_PCGBA23	ENSG00000198830.10_PCGBA23	ENSG00000185432.11_PCGBA23	ENSG00000198830.10_PCGBA23
12	5	0.439	ENSG00000186951.16_PCGBA23	ENSG00000198830.10_PCGBA23	ENSG00000186951.16_PCGBA23	ENSG00000198830.10_PCGBA23
13	5	0.003	ENSG00000152661.7_PCGBA23	ENSG00000198830.10_PCGBA23	ENSG00000152661.7_PCGBA23	ENSG00000198830.10_PCGBA23
14	5	0.513	ENSG00000078114.18_PCGBA23	ENSG00000198830.10_PCGBA23	ENSG00000078114.18_PCGBA23	ENSG00000198830.10_PCGBA23
15	5	0.011	ENSG00000134250.19_PCGBA23	ENSG00000198830.10_PCGBA23	ENSG00000134250.19_PCGBA23	ENSG00000198830.10_PCGBA23
17	5	0.002	ENSG00000106976.20_PCGBA23	ENSG00000198830.10_PCGBA23	ENSG00000106976.20_PCGBA23	ENSG00000198830.10_PCGBA23
18	5	0.002	ENSG00000132872.11_PCGBA23	ENSG00000198830.10_PCGBA23	ENSG00000132872.11_PCGBA23	ENSG00000198830.10_PCGBA23
19	5	0.001	ENSG00000075340.22_PCGBA23	ENSG00000198830.10_PCGBA23	ENSG00000075340.22_PCGBA23	ENSG00000198830.10_PCGBA23
1	6	0.012	ENSG00000198830.10_AC	ENSG00000159658.10_PCGBA23	ENSG00000198830.10_AC	ENSG00000159658.10_PCGBA23
3	6	0.004	ENSG00000198830.10_MFBA9BA46	ENSG00000159658.10_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000159658.10_PCGBA23
4	6	0.001	ENSG00000125534.9_AC	ENSG00000159658.10_PCGBA23	ENSG00000125534.9_AC	ENSG00000159658.10_PCGBA23
5	6	0.076	ENSG00000198830.10_PCGBA23	ENSG00000159658.10_PCGBA23	ENSG00000198830.10_PCGBA23	ENSG00000159658.10_PCGBA23
7	6	0.21	ENSG00000055070.16_PCGBA23	ENSG00000159658.10_PCGBA23	ENSG00000055070.16_PCGBA23	ENSG00000159658.10_PCGBA23
8	6	0.335	ENSG00000112531.16_PCGBA23	ENSG00000159658.10_PCGBA23	ENSG00000112531.16_PCGBA23	ENSG00000159658.10_PCGBA23
9	6	0.301	ENSG00000180370.10_PCGBA23	ENSG00000159658.10_PCGBA23	ENSG00000180370.10_PCGBA23	ENSG00000159658.10_PCGBA23
10	6	0.08	ENSG00000137076.20_PCGBA23	ENSG00000159658.10_PCGBA23	ENSG00000137076.20_PCGBA23	ENSG00000159658.10_PCGBA23
11	6	0.194	ENSG00000185432.11_PCGBA23	ENSG00000159658.10_PCGBA23	ENSG00000185432.11_PCGBA23	ENSG00000159658.10_PCGBA23
12	6	0.047	ENSG00000186951.16_PCGBA23	ENSG00000159658.10_PCGBA23	ENSG00000186951.16_PCGBA23	ENSG00000159658.10_PCGBA23
13	6	0.113	ENSG00000152661.7_PCGBA23	ENSG00000159658.10_PCGBA23	ENSG00000152661.7_PCGBA23	ENSG00000159658.10_PCGBA23
14	6	0.082	ENSG00000078114.18_PCGBA23	ENSG00000159658.10_PCGBA23	ENSG00000078114.18_PCGBA23	ENSG00000159658.10_PCGBA23
15	6	0.322	ENSG00000134250.19_PCGBA23	ENSG00000159658.10_PCGBA23	ENSG00000134250.19_PCGBA23	ENSG00000159658.10_PCGBA23
16	6	0.001	ENSG00000065609.14_PCGBA23	ENSG00000159658.10_PCGBA23	ENSG00000065609.14_PCGBA23	ENSG00000159658.10_PCGBA23
17	6	0.133	ENSG00000106976.20_PCGBA23	ENSG00000159658.10_PCGBA23	ENSG00000106976.20_PCGBA23	ENSG00000159658.10_PCGBA23
18	6	0.085	ENSG00000132872.11_PCGBA23	ENSG00000159658.10_PCGBA23	ENSG00000132872.11_PCGBA23	ENSG00000159658.10_PCGBA23
19	6	0.006	ENSG00000075340.22_PCGBA23	ENSG00000159658.10_PCGBA23	ENSG00000075340.22_PCGBA23	ENSG00000159658.10_PCGBA23
20	6	0.04	ENSG00000184672.11_PCGBA23	ENSG00000159658.10_PCGBA23	ENSG00000184672.11_PCGBA23	ENSG00000159658.10_PCGBA23
1	7	0.001	ENSG00000198830.10_AC	ENSG00000055070.16_PCGBA23	ENSG00000198830.10_AC	ENSG00000055070.16_PCGBA23
4	7	0.001	ENSG00000125534.9_AC	ENSG00000055070.16_PCGBA23	ENSG00000125534.9_AC	ENSG00000055070.16_PCGBA23
6	7	0.783	ENSG00000159658.10_PCGBA23	ENSG00000055070.16_PCGBA23	ENSG00000159658.10_PCGBA23	ENSG00000055070.16_PCGBA23
8	7	0.02	ENSG00000112531.16_PCGBA23	ENSG00000055070.16_PCGBA23	ENSG00000112531.16_PCGBA23	ENSG00000055070.16_PCGBA23
9	7	0.205	ENSG00000180370.10_PCGBA23	ENSG00000055070.16_PCGBA23	ENSG00000180370.10_PCGBA23	ENSG00000055070.16_PCGBA23
10	7	0.656	ENSG00000137076.20_PCGBA23	ENSG00000055070.16_PCGBA23	ENSG00000137076.20_PCGBA23	ENSG00000055070.16_PCGBA23
11	7	0.032	ENSG00000185432.11_PCGBA23	ENSG00000055070.16_PCGBA23	ENSG00000185432.11_PCGBA23	ENSG00000055070.16_PCGBA23
12	7	0.039	ENSG00000186951.16_PCGBA23	ENSG00000055070.16_PCGBA23	ENSG00000186951.16_PCGBA23	ENSG00000055070.16_PCGBA23
14	7	0.01	ENSG00000078114.18_PCGBA23	ENSG00000055070.16_PCGBA23	ENSG00000078114.18_PCGBA23	ENSG00000055070.16_PCGBA23
15	7	0.144	ENSG00000134250.19_PCGBA23	ENSG00000055070.16_PCGBA23	ENSG00000134250.19_PCGBA23	ENSG00000055070.16_PCGBA23
16	7	0.537	ENSG00000065609.14_PCGBA23	ENSG00000055070.16_PCGBA23	ENSG00000065609.14_PCGBA23	ENSG00000055070.16_PCGBA23
17	7	0.06	ENSG00000106976.20_PCGBA23	ENSG00000055070.16_PCGBA23	ENSG00000106976.20_PCGBA23	ENSG00000055070.16_PCGBA23
18	7	0.025	ENSG00000132872.11_PCGBA23	ENSG00000055070.16_PCGBA23	ENSG00000132872.11_PCGBA23	ENSG00000055070.16_PCGBA23
19	7	0.015	ENSG00000075340.22_PCGBA23	ENSG00000055070.16_PCGBA23	ENSG00000075340.22_PCGBA23	ENSG00000055070.16_PCGBA23
20	7	0.038	ENSG00000184672.11_PCGBA23	ENSG00000055070.16_PCGBA23	ENSG00000184672.11_PCGBA23	ENSG00000055070.16_PCGBA23
1	8	0.002	ENSG00000198830.10_AC	ENSG00000112531.16_PCGBA23	ENSG00000198830.10_AC	ENSG00000112531.16_PCGBA23
3	8	0.001	ENSG00000198830.10_MFBA9BA46	ENSG00000112531.16_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000112531.16_PCGBA23
4	8	0.006	ENSG00000125534.9_AC	ENSG00000112531.16_PCGBA23	ENSG00000125534.9_AC	ENSG00000112531.16_PCGBA23
5	8	0.015	ENSG00000198830.10_PCGBA23	ENSG00000112531.16_PCGBA23	ENSG00000198830.10_PCGBA23	ENSG00000112531.16_PCGBA23
6	8	0.665	ENSG00000159658.10_PCGBA23	ENSG00000112531.16_PCGBA23	ENSG00000159658.10_PCGBA23	ENSG00000112531.16_PCGBA23
7	8	0.027	ENSG00000055070.16_PCGBA23	ENSG00000112531.16_PCGBA23	ENSG00000055070.16_PCGBA23	ENSG00000112531.16_PCGBA23
9	8	0.232	ENSG00000180370.10_PCGBA23	ENSG00000112531.16_PCGBA23	ENSG00000180370.10_PCGBA23	ENSG00000112531.16_PCGBA23
10	8	0.231	ENSG00000137076.20_PCGBA23	ENSG00000112531.16_PCGBA23	ENSG00000137076.20_PCGBA23	ENSG00000112531.16_PCGBA23
11	8	0.116	ENSG00000185432.11_PCGBA23	ENSG00000112531.16_PCGBA23	ENSG00000185432.11_PCGBA23	ENSG00000112531.16_PCGBA23
12	8	0.115	ENSG00000186951.16_PCGBA23	ENSG00000112531.16_PCGBA23	ENSG00000186951.16_PCGBA23	ENSG00000112531.16_PCGBA23
13	8	0.007	ENSG00000152661.7_PCGBA23	ENSG00000112531.16_PCGBA23	ENSG00000152661.7_PCGBA23	ENSG00000112531.16_PCGBA23
14	8	0.388	ENSG00000078114.18_PCGBA23	ENSG00000112531.16_PCGBA23	ENSG00000078114.18_PCGBA23	ENSG00000112531.16_PCGBA23
