source_id	target_id	frequency	source_name	target_name	source_raw	target_raw
2	1	0.003	ENSG00000125520.13_AC	ENSG00000198830.10_AC	ENSG00000125520.13_AC	ENSG00000198830.10_AC
3	1	0.039	ENSG00000198830.10_MFBA9BA46	ENSG00000198830.10_AC	ENSG00000198830.10_MFBA9BA46	ENSG00000198830.10_AC
4	1	0.089	ENSG00000125534.9_AC	ENSG00000198830.10_AC	ENSG00000125534.9_AC	ENSG00000198830.10_AC
5	1	0.953	ENSG00000198830.10_PCGBA23	ENSG00000198830.10_AC	ENSG00000198830.10_PCGBA23	ENSG00000198830.10_AC
6	1	0.009	ENSG00000159658.10_PCGBA23	ENSG00000198830.10_AC	ENSG00000159658.10_PCGBA23	ENSG00000198830.10_AC
7	1	0.855	ENSG00000055070.16_PCGBA23	ENSG00000198830.10_AC	ENSG00000055070.16_PCGBA23	ENSG00000198830.10_AC
8	1	0.007	ENSG00000112531.16_PCGBA23	ENSG00000198830.10_AC	ENSG00000112531.16_PCGBA23	ENSG00000198830.10_AC
9	1	0.01	ENSG00000180370.10_PCGBA23	ENSG00000198830.10_AC	ENSG00000180370.10_PCGBA23	ENSG00000198830.10_AC
10	1	0.031	ENSG00000137076.20_PCGBA23	ENSG00000198830.10_AC	ENSG00000137076.20_PCGBA23	ENSG00000198830.10_AC
11	1	0.006	ENSG00000065609.14_PCGBA23	ENSG00000198830.10_AC	ENSG00000065609.14_PCGBA23	ENSG00000198830.10_AC
12	1	0.017	ENSG00000106976.20_PCGBA23	ENSG00000198830.10_AC	ENSG00000106976.20_PCGBA23	ENSG00000198830.10_AC
13	1	0.323	ENSG00000132872.11_PCGBA23	ENSG00000198830.10_AC	ENSG00000132872.11_PCGBA23	ENSG00000198830.10_AC
14	1	0.181	ENSG00000075340.22_PCGBA23	ENSG00000198830.10_AC	ENSG00000075340.22_PCGBA23	ENSG00000198830.10_AC
15	1	0.285	ENSG00000184672.11_PCGBA23	ENSG00000198830.10_AC	ENSG00000184672.11_PCGBA23	ENSG00000198830.10_AC
16	1	0.003	ENSG00000185432.11_PCGBA23	ENSG00000198830.10_AC	ENSG00000185432.11_PCGBA23	ENSG00000198830.10_AC
17	1	0.003	ENSG00000186951.16_PCGBA23	ENSG00000198830.10_AC	ENSG00000186951.16_PCGBA23	ENSG00000198830.10_AC
19	1	0.049	ENSG00000078114.18_PCGBA23	ENSG00000198830.10_AC	ENSG00000078114.18_PCGBA23	ENSG00000198830.10_AC
20	1	0.011	ENSG00000134250.19_PCGBA23	ENSG00000198830.10_AC	ENSG00000134250.19_PCGBA23	ENSG00000198830.10_AC
21	1	0.003	ENSG00000196876.15_PCGBA23	ENSG00000198830.10_AC	ENSG00000196876.15_PCGBA23	ENSG00000198830.10_AC
22	1	0.009	ENSG00000183454.16_PCGBA23	ENSG00000198830.10_AC	ENSG00000183454.16_PCGBA23	ENSG00000198830.10_AC
23	1	0.007	ENSG00000022355.16_PCGBA23	ENSG00000198830.10_AC	ENSG00000022355.16_PCGBA23	ENSG00000198830.10_AC
24	1	0.005	ENSG00000099365.10_PCGBA23	ENSG00000198830.10_AC	ENSG00000099365.10_PCGBA23	ENSG00000198830.10_AC
25	1	0.001	ENSG00000164588.6_PCGBA23	ENSG00000198830.10_AC	ENSG00000164588.6_PCGBA23	ENSG00000198830.10_AC
26	1	0.003	ENSG00000198743.6_PCGBA23	ENSG00000198830.10_AC	ENSG00000198743.6_PCGBA23	ENSG00000198830.10_AC
27	1	0.014	ENSG00000134294.13_PCGBA23	ENSG00000198830.10_AC	ENSG00000134294.13_PCGBA23	ENSG00000198830.10_AC
29	1	0.006	ENSG00000243927.5_PCGBA23	ENSG00000198830.10_AC	ENSG00000243927.5_PCGBA23	ENSG00000198830.10_AC
30	1	0.001	ENSG00000168283.13_PCGBA23	ENSG00000198830.10_AC	ENSG00000168283.13_PCGBA23	ENSG00000198830.10_AC
1	2	0.996	ENSG00000198830.10_AC	ENSG00000125520.13_AC	ENSG00000198830.10_AC	ENSG00000125520.13_AC
4	2	0.995	ENSG00000125534.9_AC	ENSG00000125520.13_AC	ENSG00000125534.9_AC	ENSG00000125520.13_AC
6	2	0.003	ENSG00000159658.10_PCGBA23	ENSG00000125520.13_AC	ENSG00000159658.10_PCGBA23	ENSG00000125520.13_AC
7	2	0.005	ENSG00000055070.16_PCGBA23	ENSG00000125520.13_AC	ENSG00000055070.16_PCGBA23	ENSG00000125520.13_AC
8	2	0.007	ENSG00000112531.16_PCGBA23	ENSG00000125520.13_AC	ENSG00000112531.16_PCGBA23	ENSG00000125520.13_AC
9	2	0.023	ENSG00000180370.10_PCGBA23	ENSG00000125520.13_AC	ENSG00000180370.10_PCGBA23	ENSG00000125520.13_AC
11	2	0.252	ENSG00000065609.14_PCGBA23	ENSG00000125520.13_AC	ENSG00000065609.14_PCGBA23	ENSG00000125520.13_AC
12	2	0.223	ENSG00000106976.20_PCGBA23	ENSG00000125520.13_AC	ENSG00000106976.20_PCGBA23	ENSG00000125520.13_AC
13	2	0.024	ENSG00000132872.11_PCGBA23	ENSG00000125520.13_AC	ENSG00000132872.11_PCGBA23	ENSG00000125520.13_AC
14	2	0.209	ENSG00000075340.22_PCGBA23	ENSG00000125520.13_AC	ENSG00000075340.22_PCGBA23	ENSG00000125520.13_AC
15	2	0.006	ENSG00000184672.11_PCGBA23	ENSG00000125520.13_AC	ENSG00000184672.11_PCGBA23	ENSG00000125520.13_AC
21	2	0.032	ENSG00000196876.15_PCGBA23	ENSG00000125520.13_AC	ENSG00000196876.15_PCGBA23	ENSG00000125520.13_AC
22	2	0.022	ENSG00000183454.16_PCGBA23	ENSG00000125520.13_AC	ENSG00000183454.16_PCGBA23	ENSG00000125520.13_AC
23	2	0.162	ENSG00000022355.16_PCGBA23	ENSG00000125520.13_AC	ENSG00000022355.16_PCGBA23	ENSG00000125520.13_AC
24	2	0.016	ENSG00000099365.10_PCGBA23	ENSG00000125520.13_AC	ENSG00000099365.10_PCGBA23	ENSG00000125520.13_AC
25	2	0.017	ENSG00000164588.6_PCGBA23	ENSG00000125520.13_AC	ENSG00000164588.6_PCGBA23	ENSG00000125520.13_AC
26	2	0.002	ENSG00000198743.6_PCGBA23	ENSG00000125520.13_AC	ENSG00000198743.6_PCGBA23	ENSG00000125520.13_AC
28	2	0.001	ENSG00000163605.14_PCGBA23	ENSG00000125520.13_AC	ENSG00000163605.14_PCGBA23	ENSG00000125520.13_AC
1	3	0.868	ENSG00000198830.10_AC	ENSG00000198830.10_MFBA9BA46	ENSG00000198830.10_AC	ENSG00000198830.10_MFBA9BA46
2	3	0.004	ENSG00000125520.13_AC	ENSG00000198830.10_MFBA9BA46	ENSG00000125520.13_AC	ENSG00000198830.10_MFBA9BA46
4	3	0.075	ENSG00000125534.9_AC	ENSG00000198830.10_MFBA9BA46	ENSG00000125534.9_AC	ENSG00000198830.10_MFBA9BA46
5	3	0.986	ENSG00000198830.10_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000198830.10_PCGBA23	ENSG00000198830.10_MFBA9BA46
6	3	0.007	ENSG00000159658.10_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000159658.10_PCGBA23	ENSG00000198830.10_MFBA9BA46
7	3	0.003	ENSG00000055070.16_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000055070.16_PCGBA23	ENSG00000198830.10_MFBA9BA46
8	3	0.006	ENSG00000112531.16_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000112531.16_PCGBA23	ENSG00000198830.10_MFBA9BA46
9	3	0.002	ENSG00000180370.10_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000180370.10_PCGBA23	ENSG00000198830.10_MFBA9BA46
10	3	0.001	ENSG00000137076.20_PCGBA23	ENSG00000198830.10_MFBA9BA46	ENSG00000137076.20_PCGBA23	ENSG00000198830.10_MFBA9BA46
