node_id	raw_name	pretty_name	is_phenotype
1	ENSG00000198830.10_AC	ENSG00000198830.10_AC	0
2	ENSG00000125520.13_AC	ENSG00000125520.13_AC	0
3	ENSG00000198830.10_MFBA9BA46	ENSG00000198830.10_MFBA9BA46	0
4	ENSG00000125534.9_AC	ENSG00000125534.9_AC	0
5	ENSG00000198830.10_PCGBA23	ENSG00000198830.10_PCGBA23	0
6	ENSG00000159658.10_PCGBA23	ENSG00000159658.10_PCGBA23	0
7	ENSG00000055070.16_PCGBA23	ENSG00000055070.16_PCGBA23	0
8	ENSG00000112531.16_PCGBA23	ENSG00000112531.16_PCGBA23	0
9	ENSG00000180370.10_PCGBA23	ENSG00000180370.10_PCGBA23	0
10	ENSG00000137076.20_PCGBA23	ENSG00000137076.20_PCGBA23	0
11	ENSG00000065609.14_PCGBA23	ENSG00000065609.14_PCGBA23	0
12	ENSG00000106976.20_PCGBA23	ENSG00000106976.20_PCGBA23	0
13	ENSG00000132872.11_PCGBA23	ENSG00000132872.11_PCGBA23	0
14	ENSG00000075340.22_PCGBA23	ENSG00000075340.22_PCGBA23	0
15	ENSG00000184672.11_PCGBA23	ENSG00000184672.11_PCGBA23	0
16	ENSG00000185432.11_PCGBA23	ENSG00000185432.11_PCGBA23	0
17	ENSG00000186951.16_PCGBA23	ENSG00000186951.16_PCGBA23	0
18	ENSG00000152661.7_PCGBA23	ENSG00000152661.7_PCGBA23	0
19	ENSG00000078114.18_PCGBA23	ENSG00000078114.18_PCGBA23	0
20	ENSG00000134250.19_PCGBA23	ENSG00000134250.19_PCGBA23	0
21	ENSG00000196876.15_PCGBA23	ENSG00000196876.15_PCGBA23	0
22	ENSG00000183454.16_PCGBA23	ENSG00000183454.16_PCGBA23	0
23	ENSG00000022355.16_PCGBA23	ENSG00000022355.16_PCGBA23	0
24	ENSG00000099365.10_PCGBA23	ENSG00000099365.10_PCGBA23	0
25	ENSG00000164588.6_PCGBA23	ENSG00000164588.6_PCGBA23	0
26	ENSG00000198743.6_PCGBA23	ENSG00000198743.6_PCGBA23	0
27	ENSG00000134294.13_PCGBA23	ENSG00000134294.13_PCGBA23	0
28	ENSG00000163605.14_PCGBA23	ENSG00000163605.14_PCGBA23	0
29	ENSG00000243927.5_PCGBA23	ENSG00000243927.5_PCGBA23	0
30	ENSG00000168283.13_PCGBA23	ENSG00000168283.13_PCGBA23	0
31	PHENO_cogng_demog_slope	PHENO_cogng_demog_slope	1
