source_id	target_id	frequency	source_name	target_name	source_raw	target_raw
2	1	0.327	ENSG00000134294.13_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000134294.13_PCGBA23	ENSG00000198743.6_PCGBA23
3	1	0.261	ENSG00000163605.14_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000163605.14_PCGBA23	ENSG00000198743.6_PCGBA23
4	1	0.142	ENSG00000243927.5_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000243927.5_PCGBA23	ENSG00000198743.6_PCGBA23
5	1	0.137	ENSG00000168283.13_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000168283.13_PCGBA23	ENSG00000198743.6_PCGBA23
6	1	0.063	ENSG00000185432.11_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000185432.11_PCGBA23	ENSG00000198743.6_PCGBA23
7	1	0.117	ENSG00000186951.16_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000186951.16_PCGBA23	ENSG00000198743.6_PCGBA23
8	1	0.058	ENSG00000152661.7_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000152661.7_PCGBA23	ENSG00000198743.6_PCGBA23
9	1	0.058	ENSG00000078114.18_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000078114.18_PCGBA23	ENSG00000198743.6_PCGBA23
10	1	0.025	ENSG00000134250.19_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000134250.19_PCGBA23	ENSG00000198743.6_PCGBA23
11	1	0.02	ENSG00000159658.10_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000159658.10_PCGBA23	ENSG00000198743.6_PCGBA23
12	1	0.143	ENSG00000055070.16_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000055070.16_PCGBA23	ENSG00000198743.6_PCGBA23
13	1	0.129	ENSG00000112531.16_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000112531.16_PCGBA23	ENSG00000198743.6_PCGBA23
14	1	0.08	ENSG00000180370.10_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000180370.10_PCGBA23	ENSG00000198743.6_PCGBA23
15	1	0.004	ENSG00000137076.20_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000137076.20_PCGBA23	ENSG00000198743.6_PCGBA23
16	1	0.106	ENSG00000119471.14_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000119471.14_PCGBA23	ENSG00000198743.6_PCGBA23
17	1	0.014	ENSG00000167315.17_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000167315.17_PCGBA23	ENSG00000198743.6_PCGBA23
18	1	0.176	ENSG00000151322.18_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000151322.18_PCGBA23	ENSG00000198743.6_PCGBA23
19	1	0.104	ENSG00000129353.14_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000129353.14_PCGBA23	ENSG00000198743.6_PCGBA23
20	1	0.104	ENSG00000167614.13_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000167614.13_PCGBA23	ENSG00000198743.6_PCGBA23
21	1	0.16	ENSG00000196876.15_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000196876.15_PCGBA23	ENSG00000198743.6_PCGBA23
22	1	0.015	ENSG00000183454.16_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000183454.16_PCGBA23	ENSG00000198743.6_PCGBA23
23	1	0.019	ENSG00000022355.16_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000022355.16_PCGBA23	ENSG00000198743.6_PCGBA23
24	1	0.037	ENSG00000099365.10_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000099365.10_PCGBA23	ENSG00000198743.6_PCGBA23
25	1	0.016	ENSG00000164588.6_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000164588.6_PCGBA23	ENSG00000198743.6_PCGBA23
26	1	0.001	ENSG00000072518.20_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000072518.20_PCGBA23	ENSG00000198743.6_PCGBA23
27	1	0.022	ENSG00000096070.19_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000096070.19_PCGBA23	ENSG00000198743.6_PCGBA23
28	1	0.005	ENSG00000078269.14_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000078269.14_PCGBA23	ENSG00000198743.6_PCGBA23
30	1	0.004	ENSG00000110851.11_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000110851.11_PCGBA23	ENSG00000198743.6_PCGBA23
1	2	0.368	ENSG00000198743.6_PCGBA23	ENSG00000134294.13_PCGBA23	ENSG00000198743.6_PCGBA23	ENSG00000134294.13_PCGBA23
3	2	0.292	ENSG00000163605.14_PCGBA23	ENSG00000134294.13_PCGBA23	ENSG00000163605.14_PCGBA23	ENSG00000134294.13_PCGBA23
