source_id	target_id	frequency	source_name	target_name	source_raw	target_raw
2	1	0.599	ENSG00000123374.10_MFBA9BA46	ENSG00000213719.8_MFBA9BA46	ENSG00000123374.10_MFBA9BA46	ENSG00000213719.8_MFBA9BA46
3	1	0.035	ENSG00000261371.5_MFBA9BA46	ENSG00000213719.8_MFBA9BA46	ENSG00000261371.5_MFBA9BA46	ENSG00000213719.8_MFBA9BA46
4	1	0.341	ENSG00000177464.4_MFBA9BA46	ENSG00000213719.8_MFBA9BA46	ENSG00000177464.4_MFBA9BA46	ENSG00000213719.8_MFBA9BA46
5	1	0.145	ENSG00000158710.14_MFBA9BA46	ENSG00000213719.8_MFBA9BA46	ENSG00000158710.14_MFBA9BA46	ENSG00000213719.8_MFBA9BA46
6	1	0.276	ENSG00000146112.11_AC	ENSG00000213719.8_MFBA9BA46	ENSG00000146112.11_AC	ENSG00000213719.8_MFBA9BA46
7	1	0.006	ENSG00000077150.18_AC	ENSG00000213719.8_MFBA9BA46	ENSG00000077150.18_AC	ENSG00000213719.8_MFBA9BA46
8	1	0.017	ENSG00000196843.15_AC	ENSG00000213719.8_MFBA9BA46	ENSG00000196843.15_AC	ENSG00000213719.8_MFBA9BA46
9	1	0.034	ENSG00000161638.10_AC	ENSG00000213719.8_MFBA9BA46	ENSG00000161638.10_AC	ENSG00000213719.8_MFBA9BA46
10	1	0.007	ENSG00000139083.10_AC	ENSG00000213719.8_MFBA9BA46	ENSG00000139083.10_AC	ENSG00000213719.8_MFBA9BA46
11	1	0.021	ENSG00000198743.6_PCGBA23	ENSG00000213719.8_MFBA9BA46	ENSG00000198743.6_PCGBA23	ENSG00000213719.8_MFBA9BA46
12	1	0.01	ENSG00000134294.13_PCGBA23	ENSG00000213719.8_MFBA9BA46	ENSG00000134294.13_PCGBA23	ENSG00000213719.8_MFBA9BA46
13	1	0.005	ENSG00000163605.14_PCGBA23	ENSG00000213719.8_MFBA9BA46	ENSG00000163605.14_PCGBA23	ENSG00000213719.8_MFBA9BA46
14	1	0.066	ENSG00000243927.5_PCGBA23	ENSG00000213719.8_MFBA9BA46	ENSG00000243927.5_PCGBA23	ENSG00000213719.8_MFBA9BA46
15	1	0.008	ENSG00000168283.13_PCGBA23	ENSG00000213719.8_MFBA9BA46	ENSG00000168283.13_PCGBA23	ENSG00000213719.8_MFBA9BA46
16	1	0.006	ENSG00000198830.10_AC	ENSG00000213719.8_MFBA9BA46	ENSG00000198830.10_AC	ENSG00000213719.8_MFBA9BA46
17	1	0.017	ENSG00000125520.13_AC	ENSG00000213719.8_MFBA9BA46	ENSG00000125520.13_AC	ENSG00000213719.8_MFBA9BA46
18	1	0.089	ENSG00000198830.10_MFBA9BA46	ENSG00000213719.8_MFBA9BA46	ENSG00000198830.10_MFBA9BA46	ENSG00000213719.8_MFBA9BA46
19	1	0.004	ENSG00000125534.9_AC	ENSG00000213719.8_MFBA9BA46	ENSG00000125534.9_AC	ENSG00000213719.8_MFBA9BA46
20	1	0.037	ENSG00000198830.10_PCGBA23	ENSG00000213719.8_MFBA9BA46	ENSG00000198830.10_PCGBA23	ENSG00000213719.8_MFBA9BA46
21	1	0.007	ENSG00000186111.9_PCGBA23	ENSG00000213719.8_MFBA9BA46	ENSG00000186111.9_PCGBA23	ENSG00000213719.8_MFBA9BA46
22	1	0.032	ENSG00000270885.1_PCGBA23	ENSG00000213719.8_MFBA9BA46	ENSG00000270885.1_PCGBA23	ENSG00000213719.8_MFBA9BA46
23	1	0.002	ENSG00000130758.7_PCGBA23	ENSG00000213719.8_MFBA9BA46	ENSG00000130758.7_PCGBA23	ENSG00000213719.8_MFBA9BA46
24	1	0.006	ENSG00000105642.15_PCGBA23	ENSG00000213719.8_MFBA9BA46	ENSG00000105642.15_PCGBA23	ENSG00000213719.8_MFBA9BA46
25	1	0.073	ENSG00000186111.9_MFBA9BA46	ENSG00000213719.8_MFBA9BA46	ENSG00000186111.9_MFBA9BA46	ENSG00000213719.8_MFBA9BA46
26	1	0.168	ENSG00000159658.10_PCGBA23	ENSG00000213719.8_MFBA9BA46	ENSG00000159658.10_PCGBA23	ENSG00000213719.8_MFBA9BA46
27	1	0.019	ENSG00000055070.16_PCGBA23	ENSG00000213719.8_MFBA9BA46	ENSG00000055070.16_PCGBA23	ENSG00000213719.8_MFBA9BA46
28	1	0.055	ENSG00000112531.16_PCGBA23	ENSG00000213719.8_MFBA9BA46	ENSG00000112531.16_PCGBA23	ENSG00000213719.8_MFBA9BA46
29	1	0.076	ENSG00000180370.10_PCGBA23	ENSG00000213719.8_MFBA9BA46	ENSG00000180370.10_PCGBA23	ENSG00000213719.8_MFBA9BA46
30	1	0.234	ENSG00000137076.20_PCGBA23	ENSG00000213719.8_MFBA9BA46	ENSG00000137076.20_PCGBA23	ENSG00000213719.8_MFBA9BA46
31	1	0.011	ENSG00000146267.11_AC	ENSG00000213719.8_MFBA9BA46	ENSG00000146267.11_AC	ENSG00000213719.8_MFBA9BA46
32	1	0.007	ENSG00000107758.15_AC	ENSG00000213719.8_MFBA9BA46	ENSG00000107758.15_AC	ENSG00000213719.8_MFBA9BA46
33	1	0.029	ENSG00000164885.12_AC	ENSG00000213719.8_MFBA9BA46	ENSG00000164885.12_AC	ENSG00000213719.8_MFBA9BA46
34	1	0.025	ENSG00000101152.10_AC	ENSG00000213719.8_MFBA9BA46	ENSG00000101152.10_AC	ENSG00000213719.8_MFBA9BA46
35	1	0.046	ENSG00000175182.14_AC	ENSG00000213719.8_MFBA9BA46	ENSG00000175182.14_AC	ENSG00000213719.8_MFBA9BA46
36	1	0.002	ENSG00000106689.10_AC	ENSG00000213719.8_MFBA9BA46	ENSG00000106689.10_AC	ENSG00000213719.8_MFBA9BA46
37	1	0.003	ENSG00000149212.11_MFBA9BA46	ENSG00000213719.8_MFBA9BA46	ENSG00000149212.11_MFBA9BA46	ENSG00000213719.8_MFBA9BA46
38	1	0.003	ENSG00000135974.9_AC	ENSG00000213719.8_MFBA9BA46	ENSG00000135974.9_AC	ENSG00000213719.8_MFBA9BA46
39	1	0.01	ENSG00000126062.3_AC	ENSG00000213719.8_MFBA9BA46	ENSG00000126062.3_AC	ENSG00000213719.8_MFBA9BA46
40	1	0.001	ENSG00000168118.11_AC	ENSG00000213719.8_MFBA9BA46	ENSG00000168118.11_AC	ENSG00000213719.8_MFBA9BA46
1	2	0.317	ENSG00000213719.8_MFBA9BA46	ENSG00000123374.10_MFBA9BA46	ENSG00000213719.8_MFBA9BA46	ENSG00000123374.10_MFBA9BA46
3	2	0.024	ENSG00000261371.5_MFBA9BA46	ENSG00000123374.10_MFBA9BA46	ENSG00000261371.5_MFBA9BA46	ENSG00000123374.10_MFBA9BA46
4	2	0.386	ENSG00000177464.4_MFBA9BA46	ENSG00000123374.10_MFBA9BA46	ENSG00000177464.4_MFBA9BA46	ENSG00000123374.10_MFBA9BA46
5	2	0.109	ENSG00000158710.14_MFBA9BA46	ENSG00000123374.10_MFBA9BA46	ENSG00000158710.14_MFBA9BA46	ENSG00000123374.10_MFBA9BA46
6	2	0.058	ENSG00000146112.11_AC	ENSG00000123374.10_MFBA9BA46	ENSG00000146112.11_AC	ENSG00000123374.10_MFBA9BA46
7	2	0.023	ENSG00000077150.18_AC	ENSG00000123374.10_MFBA9BA46	ENSG00000077150.18_AC	ENSG00000123374.10_MFBA9BA46
8	2	0.361	ENSG00000196843.15_AC	ENSG00000123374.10_MFBA9BA46	ENSG00000196843.15_AC	ENSG00000123374.10_MFBA9BA46
9	2	0.008	ENSG00000161638.10_AC	ENSG00000123374.10_MFBA9BA46	ENSG00000161638.10_AC	ENSG00000123374.10_MFBA9BA46
10	2	0.008	ENSG00000139083.10_AC	ENSG00000123374.10_MFBA9BA46	ENSG00000139083.10_AC	ENSG00000123374.10_MFBA9BA46
11	2	0.068	ENSG00000198743.6_PCGBA23	ENSG00000123374.10_MFBA9BA46	ENSG00000198743.6_PCGBA23	ENSG00000123374.10_MFBA9BA46
12	2	0.083	ENSG00000134294.13_PCGBA23	ENSG00000123374.10_MFBA9BA46	ENSG00000134294.13_PCGBA23	ENSG00000123374.10_MFBA9BA46
13	2	0.052	ENSG00000163605.14_PCGBA23	ENSG00000123374.10_MFBA9BA46	ENSG00000163605.14_PCGBA23	ENSG00000123374.10_MFBA9BA46
14	2	0.014	ENSG00000243927.5_PCGBA23	ENSG00000123374.10_MFBA9BA46	ENSG00000243927.5_PCGBA23	ENSG00000123374.10_MFBA9BA46
15	2	0.001	ENSG00000168283.13_PCGBA23	ENSG00000123374.10_MFBA9BA46	ENSG00000168283.13_PCGBA23	ENSG00000123374.10_MFBA9BA46
16	2	0.023	ENSG00000198830.10_AC	ENSG00000123374.10_MFBA9BA46	ENSG00000198830.10_AC	ENSG00000123374.10_MFBA9BA46
17	2	0.021	ENSG00000125520.13_AC	ENSG00000123374.10_MFBA9BA46	ENSG00000125520.13_AC	ENSG00000123374.10_MFBA9BA46
18	2	0.079	ENSG00000198830.10_MFBA9BA46	ENSG00000123374.10_MFBA9BA46	ENSG00000198830.10_MFBA9BA46	ENSG00000123374.10_MFBA9BA46
19	2	0.004	ENSG00000125534.9_AC	ENSG00000123374.10_MFBA9BA46	ENSG00000125534.9_AC	ENSG00000123374.10_MFBA9BA46
20	2	0.134	ENSG00000198830.10_PCGBA23	ENSG00000123374.10_MFBA9BA46	ENSG00000198830.10_PCGBA23	ENSG00000123374.10_MFBA9BA46
21	2	0.004	ENSG00000186111.9_PCGBA23	ENSG00000123374.10_MFBA9BA46	ENSG00000186111.9_PCGBA23	ENSG00000123374.10_MFBA9BA46
22	2	0.003	ENSG00000270885.1_PCGBA23	ENSG00000123374.10_MFBA9BA46	ENSG00000270885.1_PCGBA23	ENSG00000123374.10_MFBA9BA46
23	2	0.004	ENSG00000130758.7_PCGBA23	ENSG00000123374.10_MFBA9BA46	ENSG00000130758.7_PCGBA23	ENSG00000123374.10_MFBA9BA46
24	2	0.001	ENSG00000105642.15_PCGBA23	ENSG00000123374.10_MFBA9BA46	ENSG00000105642.15_PCGBA23	ENSG00000123374.10_MFBA9BA46
25	2	0.538	ENSG00000186111.9_MFBA9BA46	ENSG00000123374.10_MFBA9BA46	ENSG00000186111.9_MFBA9BA46	ENSG00000123374.10_MFBA9BA46
26	2	0.025	ENSG00000159658.10_PCGBA23	ENSG00000123374.10_MFBA9BA46	ENSG00000159658.10_PCGBA23	ENSG00000123374.10_MFBA9BA46
27	2	0.007	ENSG00000055070.16_PCGBA23	ENSG00000123374.10_MFBA9BA46	ENSG00000055070.16_PCGBA23	ENSG00000123374.10_MFBA9BA46
28	2	0.032	ENSG00000112531.16_PCGBA23	ENSG00000123374.10_MFBA9BA46	ENSG00000112531.16_PCGBA23	ENSG00000123374.10_MFBA9BA46
29	2	0.161	ENSG00000180370.10_PCGBA23	ENSG00000123374.10_MFBA9BA46	ENSG00000180370.10_PCGBA23	ENSG00000123374.10_MFBA9BA46
30	2	0.035	ENSG00000137076.20_PCGBA23	ENSG00000123374.10_MFBA9BA46	ENSG00000137076.20_PCGBA23	ENSG00000123374.10_MFBA9BA46
31	2	0.002	ENSG00000146267.11_AC	ENSG00000123374.10_MFBA9BA46	ENSG00000146267.11_AC	ENSG00000123374.10_MFBA9BA46
32	2	0.005	ENSG00000107758.15_AC	ENSG00000123374.10_MFBA9BA46	ENSG00000107758.15_AC	ENSG00000123374.10_MFBA9BA46
33	2	0.002	ENSG00000164885.12_AC	ENSG00000123374.10_MFBA9BA46	ENSG00000164885.12_AC	ENSG00000123374.10_MFBA9BA46
34	2	0.004	ENSG00000101152.10_AC	ENSG00000123374.10_MFBA9BA46	ENSG00000101152.10_AC	ENSG00000123374.10_MFBA9BA46
35	2	0.01	ENSG00000175182.14_AC	ENSG00000123374.10_MFBA9BA46	ENSG00000175182.14_AC	ENSG00000123374.10_MFBA9BA46
37	2	0.002	ENSG00000149212.11_MFBA9BA46	ENSG00000123374.10_MFBA9BA46	ENSG00000149212.11_MFBA9BA46	ENSG00000123374.10_MFBA9BA46
39	2	0.005	ENSG00000126062.3_AC	ENSG00000123374.10_MFBA9BA46	ENSG00000126062.3_AC	ENSG00000123374.10_MFBA9BA46
40	2	0.002	ENSG00000168118.11_AC	ENSG00000123374.10_MFBA9BA46	ENSG00000168118.11_AC	ENSG00000123374.10_MFBA9BA46
1	3	0.084	ENSG00000213719.8_MFBA9BA46	ENSG00000261371.5_MFBA9BA46	ENSG00000213719.8_MFBA9BA46	ENSG00000261371.5_MFBA9BA46
2	3	0.028	ENSG00000123374.10_MFBA9BA46	ENSG00000261371.5_MFBA9BA46	ENSG00000123374.10_MFBA9BA46	ENSG00000261371.5_MFBA9BA46
4	3	0.303	ENSG00000177464.4_MFBA9BA46	ENSG00000261371.5_MFBA9BA46	ENSG00000177464.4_MFBA9BA46	ENSG00000261371.5_MFBA9BA46
5	3	0.901	ENSG00000158710.14_MFBA9BA46	ENSG00000261371.5_MFBA9BA46	ENSG00000158710.14_MFBA9BA46	ENSG00000261371.5_MFBA9BA46
6	3	0.036	ENSG00000146112.11_AC	ENSG00000261371.5_MFBA9BA46	ENSG00000146112.11_AC	ENSG00000261371.5_MFBA9BA46
7	3	0.038	ENSG00000077150.18_AC	ENSG00000261371.5_MFBA9BA46	ENSG00000077150.18_AC	ENSG00000261371.5_MFBA9BA46
8	3	0.011	ENSG00000196843.15_AC	ENSG00000261371.5_MFBA9BA46	ENSG00000196843.15_AC	ENSG00000261371.5_MFBA9BA46
9	3	0.007	ENSG00000161638.10_AC	ENSG00000261371.5_MFBA9BA46	ENSG00000161638.10_AC	ENSG00000261371.5_MFBA9BA46
10	3	0.007	ENSG00000139083.10_AC	ENSG00000261371.5_MFBA9BA46	ENSG00000139083.10_AC	ENSG00000261371.5_MFBA9BA46
11	3	0.009	ENSG00000198743.6_PCGBA23	ENSG00000261371.5_MFBA9BA46	ENSG00000198743.6_PCGBA23	ENSG00000261371.5_MFBA9BA46
12	3	0.028	ENSG00000134294.13_PCGBA23	ENSG00000261371.5_MFBA9BA46	ENSG00000134294.13_PCGBA23	ENSG00000261371.5_MFBA9BA46
13	3	0.004	ENSG00000163605.14_PCGBA23	ENSG00000261371.5_MFBA9BA46	ENSG00000163605.14_PCGBA23	ENSG00000261371.5_MFBA9BA46
14	3	0.012	ENSG00000243927.5_PCGBA23	ENSG00000261371.5_MFBA9BA46	ENSG00000243927.5_PCGBA23	ENSG00000261371.5_MFBA9BA46
15	3	0.003	ENSG00000168283.13_PCGBA23	ENSG00000261371.5_MFBA9BA46	ENSG00000168283.13_PCGBA23	ENSG00000261371.5_MFBA9BA46
16	3	0.769	ENSG00000198830.10_AC	ENSG00000261371.5_MFBA9BA46	ENSG00000198830.10_AC	ENSG00000261371.5_MFBA9BA46
17	3	0.013	ENSG00000125520.13_AC	ENSG00000261371.5_MFBA9BA46	ENSG00000125520.13_AC	ENSG00000261371.5_MFBA9BA46
18	3	0.019	ENSG00000198830.10_MFBA9BA46	ENSG00000261371.5_MFBA9BA46	ENSG00000198830.10_MFBA9BA46	ENSG00000261371.5_MFBA9BA46
19	3	0.004	ENSG00000125534.9_AC	ENSG00000261371.5_MFBA9BA46	ENSG00000125534.9_AC	ENSG00000261371.5_MFBA9BA46
20	3	0.126	ENSG00000198830.10_PCGBA23	ENSG00000261371.5_MFBA9BA46	ENSG00000198830.10_PCGBA23	ENSG00000261371.5_MFBA9BA46
21	3	0.001	ENSG00000186111.9_PCGBA23	ENSG00000261371.5_MFBA9BA46	ENSG00000186111.9_PCGBA23	ENSG00000261371.5_MFBA9BA46
22	3	0.021	ENSG00000270885.1_PCGBA23	ENSG00000261371.5_MFBA9BA46	ENSG00000270885.1_PCGBA23	ENSG00000261371.5_MFBA9BA46
23	3	0.011	ENSG00000130758.7_PCGBA23	ENSG00000261371.5_MFBA9BA46	ENSG00000130758.7_PCGBA23	ENSG00000261371.5_MFBA9BA46
24	3	0.006	ENSG00000105642.15_PCGBA23	ENSG00000261371.5_MFBA9BA46	ENSG00000105642.15_PCGBA23	ENSG00000261371.5_MFBA9BA46
25	3	0.004	ENSG00000186111.9_MFBA9BA46	ENSG00000261371.5_MFBA9BA46	ENSG00000186111.9_MFBA9BA46	ENSG00000261371.5_MFBA9BA46
26	3	0.005	ENSG00000159658.10_PCGBA23	ENSG00000261371.5_MFBA9BA46	ENSG00000159658.10_PCGBA23	ENSG00000261371.5_MFBA9BA46
27	3	0.001	ENSG00000055070.16_PCGBA23	ENSG00000261371.5_MFBA9BA46	ENSG00000055070.16_PCGBA23	ENSG00000261371.5_MFBA9BA46
28	3	0.015	ENSG00000112531.16_PCGBA23	ENSG00000261371.5_MFBA9BA46	ENSG00000112531.16_PCGBA23	ENSG00000261371.5_MFBA9BA46
29	3	0.047	ENSG00000180370.10_PCGBA23	ENSG00000261371.5_MFBA9BA46	ENSG00000180370.10_PCGBA23	ENSG00000261371.5_MFBA9BA46
30	3	0.015	ENSG00000137076.20_PCGBA23	ENSG00000261371.5_MFBA9BA46	ENSG00000137076.20_PCGBA23	ENSG00000261371.5_MFBA9BA46
31	3	0.006	ENSG00000146267.11_AC	ENSG00000261371.5_MFBA9BA46	ENSG00000146267.11_AC	ENSG00000261371.5_MFBA9BA46
32	3	0.128	ENSG00000107758.15_AC	ENSG00000261371.5_MFBA9BA46	ENSG00000107758.15_AC	ENSG00000261371.5_MFBA9BA46
33	3	0.002	ENSG00000164885.12_AC	ENSG00000261371.5_MFBA9BA46	ENSG00000164885.12_AC	ENSG00000261371.5_MFBA9BA46
34	3	0.004	ENSG00000101152.10_AC	ENSG00000261371.5_MFBA9BA46	ENSG00000101152.10_AC	ENSG00000261371.5_MFBA9BA46
35	3	0.003	ENSG00000175182.14_AC	ENSG00000261371.5_MFBA9BA46	ENSG00000175182.14_AC	ENSG00000261371.5_MFBA9BA46
36	3	0.006	ENSG00000106689.10_AC	ENSG00000261371.5_MFBA9BA46	ENSG00000106689.10_AC	ENSG00000261371.5_MFBA9BA46
37	3	0.015	ENSG00000149212.11_MFBA9BA46	ENSG00000261371.5_MFBA9BA46	ENSG00000149212.11_MFBA9BA46	ENSG00000261371.5_MFBA9BA46
38	3	0.012	ENSG00000135974.9_AC	ENSG00000261371.5_MFBA9BA46	ENSG00000135974.9_AC	ENSG00000261371.5_MFBA9BA46
39	3	0.013	ENSG00000126062.3_AC	ENSG00000261371.5_MFBA9BA46	ENSG00000126062.3_AC	ENSG00000261371.5_MFBA9BA46
40	3	0.169	ENSG00000168118.11_AC	ENSG00000261371.5_MFBA9BA46	ENSG00000168118.11_AC	ENSG00000261371.5_MFBA9BA46
1	4	0.657	ENSG00000213719.8_MFBA9BA46	ENSG00000177464.4_MFBA9BA46	ENSG00000213719.8_MFBA9BA46	ENSG00000177464.4_MFBA9BA46
2	4	0.614	ENSG00000123374.10_MFBA9BA46	ENSG00000177464.4_MFBA9BA46	ENSG00000123374.10_MFBA9BA46	ENSG00000177464.4_MFBA9BA46
3	4	0.013	ENSG00000261371.5_MFBA9BA46	ENSG00000177464.4_MFBA9BA46	ENSG00000261371.5_MFBA9BA46	ENSG00000177464.4_MFBA9BA46
5	4	0.002	ENSG00000158710.14_MFBA9BA46	ENSG00000177464.4_MFBA9BA46	ENSG00000158710.14_MFBA9BA46	ENSG00000177464.4_MFBA9BA46
6	4	0.032	ENSG00000146112.11_AC	ENSG00000177464.4_MFBA9BA46	ENSG00000146112.11_AC	ENSG00000177464.4_MFBA9BA46
8	4	0.066	ENSG00000196843.15_AC	ENSG00000177464.4_MFBA9BA46	ENSG00000196843.15_AC	ENSG00000177464.4_MFBA9BA46
9	4	0.114	ENSG00000161638.10_AC	ENSG00000177464.4_MFBA9BA46	ENSG00000161638.10_AC	ENSG00000177464.4_MFBA9BA46
11	4	0.051	ENSG00000198743.6_PCGBA23	ENSG00000177464.4_MFBA9BA46	ENSG00000198743.6_PCGBA23	ENSG00000177464.4_MFBA9BA46
12	4	0.033	ENSG00000134294.13_PCGBA23	ENSG00000177464.4_MFBA9BA46	ENSG00000134294.13_PCGBA23	ENSG00000177464.4_MFBA9BA46
13	4	0.046	ENSG00000163605.14_PCGBA23	ENSG00000177464.4_MFBA9BA46	ENSG00000163605.14_PCGBA23	ENSG00000177464.4_MFBA9BA46
14	4	0.037	ENSG00000243927.5_PCGBA23	ENSG00000177464.4_MFBA9BA46	ENSG00000243927.5_PCGBA23	ENSG00000177464.4_MFBA9BA46
15	4	0.019	ENSG00000168283.13_PCGBA23	ENSG00000177464.4_MFBA9BA46	ENSG00000168283.13_PCGBA23	ENSG00000177464.4_MFBA9BA46
16	4	0.004	ENSG00000198830.10_AC	ENSG00000177464.4_MFBA9BA46	ENSG00000198830.10_AC	ENSG00000177464.4_MFBA9BA46
17	4	0.015	ENSG00000125520.13_AC	ENSG00000177464.4_MFBA9BA46	ENSG00000125520.13_AC	ENSG00000177464.4_MFBA9BA46
18	4	0.036	ENSG00000198830.10_MFBA9BA46	ENSG00000177464.4_MFBA9BA46	ENSG00000198830.10_MFBA9BA46	ENSG00000177464.4_MFBA9BA46
20	4	0.064	ENSG00000198830.10_PCGBA23	ENSG00000177464.4_MFBA9BA46	ENSG00000198830.10_PCGBA23	ENSG00000177464.4_MFBA9BA46
21	4	0.01	ENSG00000186111.9_PCGBA23	ENSG00000177464.4_MFBA9BA46	ENSG00000186111.9_PCGBA23	ENSG00000177464.4_MFBA9BA46
22	4	0.003	ENSG00000270885.1_PCGBA23	ENSG00000177464.4_MFBA9BA46	ENSG00000270885.1_PCGBA23	ENSG00000177464.4_MFBA9BA46
23	4	0.002	ENSG00000130758.7_PCGBA23	ENSG00000177464.4_MFBA9BA46	ENSG00000130758.7_PCGBA23	ENSG00000177464.4_MFBA9BA46
24	4	0.004	ENSG00000105642.15_PCGBA23	ENSG00000177464.4_MFBA9BA46	ENSG00000105642.15_PCGBA23	ENSG00000177464.4_MFBA9BA46
25	4	0.448	ENSG00000186111.9_MFBA9BA46	ENSG00000177464.4_MFBA9BA46	ENSG00000186111.9_MFBA9BA46	ENSG00000177464.4_MFBA9BA46
26	4	0.013	ENSG00000159658.10_PCGBA23	ENSG00000177464.4_MFBA9BA46	ENSG00000159658.10_PCGBA23	ENSG00000177464.4_MFBA9BA46
27	4	0.01	ENSG00000055070.16_PCGBA23	ENSG00000177464.4_MFBA9BA46	ENSG00000055070.16_PCGBA23	ENSG00000177464.4_MFBA9BA46
28	4	0.154	ENSG00000112531.16_PCGBA23	ENSG00000177464.4_MFBA9BA46	ENSG00000112531.16_PCGBA23	ENSG00000177464.4_MFBA9BA46
29	4	0.029	ENSG00000180370.10_PCGBA23	ENSG00000177464.4_MFBA9BA46	ENSG00000180370.10_PCGBA23	ENSG00000177464.4_MFBA9BA46
30	4	0.013	ENSG00000137076.20_PCGBA23	ENSG00000177464.4_MFBA9BA46	ENSG00000137076.20_PCGBA23	ENSG00000177464.4_MFBA9BA46
31	4	0.012	ENSG00000146267.11_AC	ENSG00000177464.4_MFBA9BA46	ENSG00000146267.11_AC	ENSG00000177464.4_MFBA9BA46
32	4	0.003	ENSG00000107758.15_AC	ENSG00000177464.4_MFBA9BA46	ENSG00000107758.15_AC	ENSG00000177464.4_MFBA9BA46
33	4	0.042	ENSG00000164885.12_AC	ENSG00000177464.4_MFBA9BA46	ENSG00000164885.12_AC	ENSG00000177464.4_MFBA9BA46
34	4	0.003	ENSG00000101152.10_AC	ENSG00000177464.4_MFBA9BA46	ENSG00000101152.10_AC	ENSG00000177464.4_MFBA9BA46
35	4	0.006	ENSG00000175182.14_AC	ENSG00000177464.4_MFBA9BA46	ENSG00000175182.14_AC	ENSG00000177464.4_MFBA9BA46
36	4	0.001	ENSG00000106689.10_AC	ENSG00000177464.4_MFBA9BA46	ENSG00000106689.10_AC	ENSG00000177464.4_MFBA9BA46
37	4	0.017	ENSG00000149212.11_MFBA9BA46	ENSG00000177464.4_MFBA9BA46	ENSG00000149212.11_MFBA9BA46	ENSG00000177464.4_MFBA9BA46
38	4	0.004	ENSG00000135974.9_AC	ENSG00000177464.4_MFBA9BA46	ENSG00000135974.9_AC	ENSG00000177464.4_MFBA9BA46
39	4	0.01	ENSG00000126062.3_AC	ENSG00000177464.4_MFBA9BA46	ENSG00000126062.3_AC	ENSG00000177464.4_MFBA9BA46
40	4	0.037	ENSG00000168118.11_AC	ENSG00000177464.4_MFBA9BA46	ENSG00000168118.11_AC	ENSG00000177464.4_MFBA9BA46
1	5	0.855	ENSG00000213719.8_MFBA9BA46	ENSG00000158710.14_MFBA9BA46	ENSG00000213719.8_MFBA9BA46	ENSG00000158710.14_MFBA9BA46
2	5	0.862	ENSG00000123374.10_MFBA9BA46	ENSG00000158710.14_MFBA9BA46	ENSG00000123374.10_MFBA9BA46	ENSG00000158710.14_MFBA9BA46
3	5	0.098	ENSG00000261371.5_MFBA9BA46	ENSG00000158710.14_MFBA9BA46	ENSG00000261371.5_MFBA9BA46	ENSG00000158710.14_MFBA9BA46
4	5	0.046	ENSG00000177464.4_MFBA9BA46	ENSG00000158710.14_MFBA9BA46	ENSG00000177464.4_MFBA9BA46	ENSG00000158710.14_MFBA9BA46
6	5	0.001	ENSG00000146112.11_AC	ENSG00000158710.14_MFBA9BA46	ENSG00000146112.11_AC	ENSG00000158710.14_MFBA9BA46
8	5	0.003	ENSG00000196843.15_AC	ENSG00000158710.14_MFBA9BA46	ENSG00000196843.15_AC	ENSG00000158710.14_MFBA9BA46
11	5	0.009	ENSG00000198743.6_PCGBA23	ENSG00000158710.14_MFBA9BA46	ENSG00000198743.6_PCGBA23	ENSG00000158710.14_MFBA9BA46
12	5	0.011	ENSG00000134294.13_PCGBA23	ENSG00000158710.14_MFBA9BA46	ENSG00000134294.13_PCGBA23	ENSG00000158710.14_MFBA9BA46
13	5	0.004	ENSG00000163605.14_PCGBA23	ENSG00000158710.14_MFBA9BA46	ENSG00000163605.14_PCGBA23	ENSG00000158710.14_MFBA9BA46
14	5	0.012	ENSG00000243927.5_PCGBA23	ENSG00000158710.14_MFBA9BA46	ENSG00000243927.5_PCGBA23	ENSG00000158710.14_MFBA9BA46
15	5	0.002	ENSG00000168283.13_PCGBA23	ENSG00000158710.14_MFBA9BA46	ENSG00000168283.13_PCGBA23	ENSG00000158710.14_MFBA9BA46
16	5	0.021	ENSG00000198830.10_AC	ENSG00000158710.14_MFBA9BA46	ENSG00000198830.10_AC	ENSG00000158710.14_MFBA9BA46
17	5	0.001	ENSG00000125520.13_AC	ENSG00000158710.14_MFBA9BA46	ENSG00000125520.13_AC	ENSG00000158710.14_MFBA9BA46
18	5	0.894	ENSG00000198830.10_MFBA9BA46	ENSG00000158710.14_MFBA9BA46	ENSG00000198830.10_MFBA9BA46	ENSG00000158710.14_MFBA9BA46
20	5	0.04	ENSG00000198830.10_PCGBA23	ENSG00000158710.14_MFBA9BA46	ENSG00000198830.10_PCGBA23	ENSG00000158710.14_MFBA9BA46
21	5	0.004	ENSG00000186111.9_PCGBA23	ENSG00000158710.14_MFBA9BA46	ENSG00000186111.9_PCGBA23	ENSG00000158710.14_MFBA9BA46
