gene_id	tissue	gene_tissue	kME	abs_kME	kME_pval
ENSG00000079156.16	PCGBA23	ENSG00000079156.16_PCGBA23	0.4283487855740606	0.4283487855740606	4.385332237179906e-22
ENSG00000110042.7	PCGBA23	ENSG00000110042.7_PCGBA23	0.42328513943335844	0.42328513943335844	1.4940132885076815e-21
ENSG00000198963.10	PCGBA23	ENSG00000198963.10_PCGBA23	0.41194589881546784	0.41194589881546784	2.1591610169898923e-20
ENSG00000163590.13	PCGBA23	ENSG00000163590.13_PCGBA23	0.3993537134217047	0.3993537134217047	3.7291339680076746e-19
ENSG00000183597.15	PCGBA23	ENSG00000183597.15_PCGBA23	0.3993464189087644	0.3993464189087644	3.735163351144923e-19
ENSG00000065150.18	PCGBA23	ENSG00000065150.18_PCGBA23	0.39895183412544094	0.39895183412544094	4.07602116396732e-19
ENSG00000204576.11	PCGBA23	ENSG00000204576.11_PCGBA23	0.3972165427629357	0.3972165427629357	5.976246708357272e-19
ENSG00000134986.13	PCGBA23	ENSG00000134986.13_PCGBA23	0.38236109726126005	0.38236109726126005	1.4442962043179272e-17
ENSG00000074211.13	PCGBA23	ENSG00000074211.13_PCGBA23	0.37202244201304535	0.37202244201304535	1.2064508544269005e-16
ENSG00000137642.12	PCGBA23	ENSG00000137642.12_PCGBA23	0.37046806289091816	0.37046806289091816	1.6492071058527688e-16
ENSG00000175161.13	PCGBA23	ENSG00000175161.13_PCGBA23	0.36998844030472733	0.36998844030472733	1.8155967231010348e-16
ENSG00000272343.1	PCGBA23	ENSG00000272343.1_PCGBA23	0.36938425511386636	0.36938425511386636	2.0488297637146498e-16
ENSG00000160145.15	MFBA9BA46	ENSG00000160145.15_MFBA9BA46	0.36432158044389007	0.36432158044389007	5.584557362008725e-16
ENSG00000163075.12	PCGBA23	ENSG00000163075.12_PCGBA23	0.36348637225316577	0.36348637225316577	6.578005327443093e-16
ENSG00000163818.16	PCGBA23	ENSG00000163818.16_PCGBA23	0.3557038703384226	0.3557038703384226	2.9561184015796296e-15
ENSG00000186687.15	PCGBA23	ENSG00000186687.15_PCGBA23	0.3532710405792065	0.3532710405792065	4.689051221915773e-15
ENSG00000118922.17	PCGBA23	ENSG00000118922.17_PCGBA23	0.34918456160607386	0.34918456160607386	1.0087191418680859e-14
ENSG00000101460.12	PCGBA23	ENSG00000101460.12_PCGBA23	0.34213310638644967	0.34213310638644967	3.685949675931377e-14
ENSG00000138411.10	MFBA9BA46	ENSG00000138411.10_MFBA9BA46	0.3372469374912885	0.3372469374912885	8.87633360634129e-14
ENSG00000256193.5	PCGBA23	ENSG00000256193.5_PCGBA23	0.33627401620999375	0.33627401620999375	1.0554360557309071e-13
