node_id	raw_name	pretty_name	is_phenotype
1	ENSG00000079156.16_PCGBA23	ENSG00000079156.16_PCGBA23	0
2	ENSG00000110042.7_PCGBA23	ENSG00000110042.7_PCGBA23	0
3	ENSG00000198963.10_PCGBA23	ENSG00000198963.10_PCGBA23	0
4	ENSG00000163590.13_PCGBA23	ENSG00000163590.13_PCGBA23	0
5	ENSG00000183597.15_PCGBA23	ENSG00000183597.15_PCGBA23	0
6	ENSG00000065150.18_PCGBA23	ENSG00000065150.18_PCGBA23	0
7	ENSG00000204576.11_PCGBA23	ENSG00000204576.11_PCGBA23	0
8	ENSG00000134986.13_PCGBA23	ENSG00000134986.13_PCGBA23	0
9	ENSG00000074211.13_PCGBA23	ENSG00000074211.13_PCGBA23	0
10	ENSG00000137642.12_PCGBA23	ENSG00000137642.12_PCGBA23	0
11	ENSG00000175161.13_PCGBA23	ENSG00000175161.13_PCGBA23	0
12	ENSG00000272343.1_PCGBA23	ENSG00000272343.1_PCGBA23	0
13	ENSG00000160145.15_MFBA9BA46	ENSG00000160145.15_MFBA9BA46	0
14	ENSG00000163075.12_PCGBA23	ENSG00000163075.12_PCGBA23	0
15	ENSG00000163818.16_PCGBA23	ENSG00000163818.16_PCGBA23	0
16	ENSG00000186687.15_PCGBA23	ENSG00000186687.15_PCGBA23	0
17	ENSG00000118922.17_PCGBA23	ENSG00000118922.17_PCGBA23	0
18	ENSG00000101460.12_PCGBA23	ENSG00000101460.12_PCGBA23	0
19	ENSG00000138411.10_MFBA9BA46	ENSG00000138411.10_MFBA9BA46	0
20	ENSG00000256193.5_PCGBA23	ENSG00000256193.5_PCGBA23	0
21	PHENO_motor10_demog_slope	PHENO_motor10_demog_slope	1
