node_id	raw_name	pretty_name	is_phenotype
1	ENSG00000065609.14_PCGBA23	ENSG00000065609.14_PCGBA23	0
2	ENSG00000106976.20_PCGBA23	ENSG00000106976.20_PCGBA23	0
3	ENSG00000132872.11_PCGBA23	ENSG00000132872.11_PCGBA23	0
4	ENSG00000075340.22_PCGBA23	ENSG00000075340.22_PCGBA23	0
5	ENSG00000184672.11_PCGBA23	ENSG00000184672.11_PCGBA23	0
6	ENSG00000011347.9_PCGBA23	ENSG00000011347.9_PCGBA23	0
7	ENSG00000112290.12_PCGBA23	ENSG00000112290.12_PCGBA23	0
8	ENSG00000176788.8_PCGBA23	ENSG00000176788.8_PCGBA23	0
9	ENSG00000215218.3_PCGBA23	ENSG00000215218.3_PCGBA23	0
10	ENSG00000008056.13_PCGBA23	ENSG00000008056.13_PCGBA23	0
11	ENSG00000139970.16_PCGBA23	ENSG00000139970.16_PCGBA23	0
12	ENSG00000107295.9_PCGBA23	ENSG00000107295.9_PCGBA23	0
13	ENSG00000185518.11_PCGBA23	ENSG00000185518.11_PCGBA23	0
14	ENSG00000184613.10_PCGBA23	ENSG00000184613.10_PCGBA23	0
15	ENSG00000167037.18_PCGBA23	ENSG00000167037.18_PCGBA23	0
16	ENSG00000198910.12_PCGBA23	ENSG00000198910.12_PCGBA23	0
17	ENSG00000169933.13_PCGBA23	ENSG00000169933.13_PCGBA23	0
18	ENSG00000125814.17_PCGBA23	ENSG00000125814.17_PCGBA23	0
19	ENSG00000118733.16_PCGBA23	ENSG00000118733.16_PCGBA23	0
20	ENSG00000175874.9_PCGBA23	ENSG00000175874.9_PCGBA23	0
21	PHENO_cogng_demog_slope	PHENO_cogng_demog_slope	1
