source_id	target_id	frequency	source_name	target_name	source_raw	target_raw
2	1	0.698	ENSG00000183454.16_PCGBA23	ENSG00000196876.15_PCGBA23	ENSG00000183454.16_PCGBA23	ENSG00000196876.15_PCGBA23
3	1	0.008	ENSG00000022355.16_PCGBA23	ENSG00000196876.15_PCGBA23	ENSG00000022355.16_PCGBA23	ENSG00000196876.15_PCGBA23
4	1	0.877	ENSG00000099365.10_PCGBA23	ENSG00000196876.15_PCGBA23	ENSG00000099365.10_PCGBA23	ENSG00000196876.15_PCGBA23
5	1	0.887	ENSG00000164588.6_PCGBA23	ENSG00000196876.15_PCGBA23	ENSG00000164588.6_PCGBA23	ENSG00000196876.15_PCGBA23
6	1	0.014	ENSG00000145864.12_PCGBA23	ENSG00000196876.15_PCGBA23	ENSG00000145864.12_PCGBA23	ENSG00000196876.15_PCGBA23
7	1	0.005	ENSG00000067842.17_PCGBA23	ENSG00000196876.15_PCGBA23	ENSG00000067842.17_PCGBA23	ENSG00000196876.15_PCGBA23
8	1	0.002	ENSG00000158445.9_PCGBA23	ENSG00000196876.15_PCGBA23	ENSG00000158445.9_PCGBA23	ENSG00000196876.15_PCGBA23
9	1	0.189	ENSG00000148798.10_PCGBA23	ENSG00000196876.15_PCGBA23	ENSG00000148798.10_PCGBA23	ENSG00000196876.15_PCGBA23
11	1	0.013	ENSG00000185760.15_PCGBA23	ENSG00000196876.15_PCGBA23	ENSG00000185760.15_PCGBA23	ENSG00000196876.15_PCGBA23
12	1	0.032	ENSG00000006432.15_PCGBA23	ENSG00000196876.15_PCGBA23	ENSG00000006432.15_PCGBA23	ENSG00000196876.15_PCGBA23
13	1	0.009	ENSG00000118402.5_PCGBA23	ENSG00000196876.15_PCGBA23	ENSG00000118402.5_PCGBA23	ENSG00000196876.15_PCGBA23
14	1	0.003	ENSG00000162989.4_PCGBA23	ENSG00000196876.15_PCGBA23	ENSG00000162989.4_PCGBA23	ENSG00000196876.15_PCGBA23
16	1	0.003	ENSG00000157782.9_PCGBA23	ENSG00000196876.15_PCGBA23	ENSG00000157782.9_PCGBA23	ENSG00000196876.15_PCGBA23
17	1	0.01	ENSG00000136928.6_PCGBA23	ENSG00000196876.15_PCGBA23	ENSG00000136928.6_PCGBA23	ENSG00000196876.15_PCGBA23
18	1	0.001	ENSG00000136854.19_PCGBA23	ENSG00000196876.15_PCGBA23	ENSG00000136854.19_PCGBA23	ENSG00000196876.15_PCGBA23
19	1	0.005	ENSG00000159164.9_PCGBA23	ENSG00000196876.15_PCGBA23	ENSG00000159164.9_PCGBA23	ENSG00000196876.15_PCGBA23
1	2	0.302	ENSG00000196876.15_PCGBA23	ENSG00000183454.16_PCGBA23	ENSG00000196876.15_PCGBA23	ENSG00000183454.16_PCGBA23
3	2	0.281	ENSG00000022355.16_PCGBA23	ENSG00000183454.16_PCGBA23	ENSG00000022355.16_PCGBA23	ENSG00000183454.16_PCGBA23
4	2	0.069	ENSG00000099365.10_PCGBA23	ENSG00000183454.16_PCGBA23	ENSG00000099365.10_PCGBA23	ENSG00000183454.16_PCGBA23
5	2	0.353	ENSG00000164588.6_PCGBA23	ENSG00000183454.16_PCGBA23	ENSG00000164588.6_PCGBA23	ENSG00000183454.16_PCGBA23
6	2	0.436	ENSG00000145864.12_PCGBA23	ENSG00000183454.16_PCGBA23	ENSG00000145864.12_PCGBA23	ENSG00000183454.16_PCGBA23
7	2	0.005	ENSG00000067842.17_PCGBA23	ENSG00000183454.16_PCGBA23	ENSG00000067842.17_PCGBA23	ENSG00000183454.16_PCGBA23
8	2	0.104	ENSG00000158445.9_PCGBA23	ENSG00000183454.16_PCGBA23	ENSG00000158445.9_PCGBA23	ENSG00000183454.16_PCGBA23
9	2	0.149	ENSG00000148798.10_PCGBA23	ENSG00000183454.16_PCGBA23	ENSG00000148798.10_PCGBA23	ENSG00000183454.16_PCGBA23
11	2	0.019	ENSG00000185760.15_PCGBA23	ENSG00000183454.16_PCGBA23	ENSG00000185760.15_PCGBA23	ENSG00000183454.16_PCGBA23
12	2	0.003	ENSG00000006432.15_PCGBA23	ENSG00000183454.16_PCGBA23	ENSG00000006432.15_PCGBA23	ENSG00000183454.16_PCGBA23
13	2	0.008	ENSG00000118402.5_PCGBA23	ENSG00000183454.16_PCGBA23	ENSG00000118402.5_PCGBA23	ENSG00000183454.16_PCGBA23
14	2	0.059	ENSG00000162989.4_PCGBA23	ENSG00000183454.16_PCGBA23	ENSG00000162989.4_PCGBA23	ENSG00000183454.16_PCGBA23
15	2	0.034	ENSG00000221866.9_PCGBA23	ENSG00000183454.16_PCGBA23	ENSG00000221866.9_PCGBA23	ENSG00000183454.16_PCGBA23
16	2	0.004	ENSG00000157782.9_PCGBA23	ENSG00000183454.16_PCGBA23	ENSG00000157782.9_PCGBA23	ENSG00000183454.16_PCGBA23
17	2	0.028	ENSG00000136928.6_PCGBA23	ENSG00000183454.16_PCGBA23	ENSG00000136928.6_PCGBA23	ENSG00000183454.16_PCGBA23
18	2	0.445	ENSG00000136854.19_PCGBA23	ENSG00000183454.16_PCGBA23	ENSG00000136854.19_PCGBA23	ENSG00000183454.16_PCGBA23
19	2	0.02	ENSG00000159164.9_PCGBA23	ENSG00000183454.16_PCGBA23	ENSG00000159164.9_PCGBA23	ENSG00000183454.16_PCGBA23
20	2	0.002	ENSG00000105649.9_PCGBA23	ENSG00000183454.16_PCGBA23	ENSG00000105649.9_PCGBA23	ENSG00000183454.16_PCGBA23
1	3	0.011	ENSG00000196876.15_PCGBA23	ENSG00000022355.16_PCGBA23	ENSG00000196876.15_PCGBA23	ENSG00000022355.16_PCGBA23
2	3	0.329	ENSG00000183454.16_PCGBA23	ENSG00000022355.16_PCGBA23	ENSG00000183454.16_PCGBA23	ENSG00000022355.16_PCGBA23
4	3	0.07	ENSG00000099365.10_PCGBA23	ENSG00000022355.16_PCGBA23	ENSG00000099365.10_PCGBA23	ENSG00000022355.16_PCGBA23
5	3	0.343	ENSG00000164588.6_PCGBA23	ENSG00000022355.16_PCGBA23	ENSG00000164588.6_PCGBA23	ENSG00000022355.16_PCGBA23
6	3	0.407	ENSG00000145864.12_PCGBA23	ENSG00000022355.16_PCGBA23	ENSG00000145864.12_PCGBA23	ENSG00000022355.16_PCGBA23
7	3	0.004	ENSG00000067842.17_PCGBA23	ENSG00000022355.16_PCGBA23	ENSG00000067842.17_PCGBA23	ENSG00000022355.16_PCGBA23
8	3	0.001	ENSG00000158445.9_PCGBA23	ENSG00000022355.16_PCGBA23	ENSG00000158445.9_PCGBA23	ENSG00000022355.16_PCGBA23
9	3	0.235	ENSG00000148798.10_PCGBA23	ENSG00000022355.16_PCGBA23	ENSG00000148798.10_PCGBA23	ENSG00000022355.16_PCGBA23
10	3	0.01	ENSG00000130540.13_PCGBA23	ENSG00000022355.16_PCGBA23	ENSG00000130540.13_PCGBA23	ENSG00000022355.16_PCGBA23
11	3	0.003	ENSG00000185760.15_PCGBA23	ENSG00000022355.16_PCGBA23	ENSG00000185760.15_PCGBA23	ENSG00000022355.16_PCGBA23
12	3	0.005	ENSG00000006432.15_PCGBA23	ENSG00000022355.16_PCGBA23	ENSG00000006432.15_PCGBA23	ENSG00000022355.16_PCGBA23
13	3	0.106	ENSG00000118402.5_PCGBA23	ENSG00000022355.16_PCGBA23	ENSG00000118402.5_PCGBA23	ENSG00000022355.16_PCGBA23
14	3	0.032	ENSG00000162989.4_PCGBA23	ENSG00000022355.16_PCGBA23	ENSG00000162989.4_PCGBA23	ENSG00000022355.16_PCGBA23
15	3	0.009	ENSG00000221866.9_PCGBA23	ENSG00000022355.16_PCGBA23	ENSG00000221866.9_PCGBA23	ENSG00000022355.16_PCGBA23
16	3	0.011	ENSG00000157782.9_PCGBA23	ENSG00000022355.16_PCGBA23	ENSG00000157782.9_PCGBA23	ENSG00000022355.16_PCGBA23
17	3	0.073	ENSG00000136928.6_PCGBA23	ENSG00000022355.16_PCGBA23	ENSG00000136928.6_PCGBA23	ENSG00000022355.16_PCGBA23
18	3	0.006	ENSG00000136854.19_PCGBA23	ENSG00000022355.16_PCGBA23	ENSG00000136854.19_PCGBA23	ENSG00000022355.16_PCGBA23
19	3	0.447	ENSG00000159164.9_PCGBA23	ENSG00000022355.16_PCGBA23	ENSG00000159164.9_PCGBA23	ENSG00000022355.16_PCGBA23
20	3	0.245	ENSG00000105649.9_PCGBA23	ENSG00000022355.16_PCGBA23	ENSG00000105649.9_PCGBA23	ENSG00000022355.16_PCGBA23
1	4	0.122	ENSG00000196876.15_PCGBA23	ENSG00000099365.10_PCGBA23	ENSG00000196876.15_PCGBA23	ENSG00000099365.10_PCGBA23
2	4	0.084	ENSG00000183454.16_PCGBA23	ENSG00000099365.10_PCGBA23	ENSG00000183454.16_PCGBA23	ENSG00000099365.10_PCGBA23
3	4	0.031	ENSG00000022355.16_PCGBA23	ENSG00000099365.10_PCGBA23	ENSG00000022355.16_PCGBA23	ENSG00000099365.10_PCGBA23
5	4	0.025	ENSG00000164588.6_PCGBA23	ENSG00000099365.10_PCGBA23	ENSG00000164588.6_PCGBA23	ENSG00000099365.10_PCGBA23
6	4	0.164	ENSG00000145864.12_PCGBA23	ENSG00000099365.10_PCGBA23	ENSG00000145864.12_PCGBA23	ENSG00000099365.10_PCGBA23
7	4	0.039	ENSG00000067842.17_PCGBA23	ENSG00000099365.10_PCGBA23	ENSG00000067842.17_PCGBA23	ENSG00000099365.10_PCGBA23
8	4	0.005	ENSG00000158445.9_PCGBA23	ENSG00000099365.10_PCGBA23	ENSG00000158445.9_PCGBA23	ENSG00000099365.10_PCGBA23
9	4	0.342	ENSG00000148798.10_PCGBA23	ENSG00000099365.10_PCGBA23	ENSG00000148798.10_PCGBA23	ENSG00000099365.10_PCGBA23
10	4	0.002	ENSG00000130540.13_PCGBA23	ENSG00000099365.10_PCGBA23	ENSG00000130540.13_PCGBA23	ENSG00000099365.10_PCGBA23
11	4	0.018	ENSG00000185760.15_PCGBA23	ENSG00000099365.10_PCGBA23	ENSG00000185760.15_PCGBA23	ENSG00000099365.10_PCGBA23
12	4	0.017	ENSG00000006432.15_PCGBA23	ENSG00000099365.10_PCGBA23	ENSG00000006432.15_PCGBA23	ENSG00000099365.10_PCGBA23
13	4	0.028	ENSG00000118402.5_PCGBA23	ENSG00000099365.10_PCGBA23	ENSG00000118402.5_PCGBA23	ENSG00000099365.10_PCGBA23
14	4	0.001	ENSG00000162989.4_PCGBA23	ENSG00000099365.10_PCGBA23	ENSG00000162989.4_PCGBA23	ENSG00000099365.10_PCGBA23
15	4	0.204	ENSG00000221866.9_PCGBA23	ENSG00000099365.10_PCGBA23	ENSG00000221866.9_PCGBA23	ENSG00000099365.10_PCGBA23
16	4	0.031	ENSG00000157782.9_PCGBA23	ENSG00000099365.10_PCGBA23	ENSG00000157782.9_PCGBA23	ENSG00000099365.10_PCGBA23
17	4	0.025	ENSG00000136928.6_PCGBA23	ENSG00000099365.10_PCGBA23	ENSG00000136928.6_PCGBA23	ENSG00000099365.10_PCGBA23
18	4	0.684	ENSG00000136854.19_PCGBA23	ENSG00000099365.10_PCGBA23	ENSG00000136854.19_PCGBA23	ENSG00000099365.10_PCGBA23
19	4	0.604	ENSG00000159164.9_PCGBA23	ENSG00000099365.10_PCGBA23	ENSG00000159164.9_PCGBA23	ENSG00000099365.10_PCGBA23
20	4	0.003	ENSG00000105649.9_PCGBA23	ENSG00000099365.10_PCGBA23	ENSG00000105649.9_PCGBA23	ENSG00000099365.10_PCGBA23
