node_id	raw_name	pretty_name	is_phenotype
1	ENSG00000119471.14_PCGBA23	ENSG00000119471.14_PCGBA23	0
2	ENSG00000167315.17_PCGBA23	ENSG00000167315.17_PCGBA23	0
3	ENSG00000151322.18_PCGBA23	ENSG00000151322.18_PCGBA23	0
4	ENSG00000129353.14_PCGBA23	ENSG00000129353.14_PCGBA23	0
5	ENSG00000167614.13_PCGBA23	ENSG00000167614.13_PCGBA23	0
6	ENSG00000271447.5_PCGBA23	ENSG00000271447.5_PCGBA23	0
7	ENSG00000100427.15_PCGBA23	ENSG00000100427.15_PCGBA23	0
8	ENSG00000180769.8_PCGBA23	ENSG00000180769.8_PCGBA23	0
9	ENSG00000125462.16_PCGBA23	ENSG00000125462.16_PCGBA23	0
10	ENSG00000177728.16_PCGBA23	ENSG00000177728.16_PCGBA23	0
11	ENSG00000127249.14_PCGBA23	ENSG00000127249.14_PCGBA23	0
12	ENSG00000148700.14_PCGBA23	ENSG00000148700.14_PCGBA23	0
13	ENSG00000138696.10_PCGBA23	ENSG00000138696.10_PCGBA23	0
14	ENSG00000153944.10_PCGBA23	ENSG00000153944.10_PCGBA23	0
15	ENSG00000148053.15_PCGBA23	ENSG00000148053.15_PCGBA23	0
16	ENSG00000147475.14_PCGBA23	ENSG00000147475.14_PCGBA23	0
17	ENSG00000148672.8_PCGBA23	ENSG00000148672.8_PCGBA23	0
18	ENSG00000119711.12_PCGBA23	ENSG00000119711.12_PCGBA23	0
19	ENSG00000162407.8_PCGBA23	ENSG00000162407.8_PCGBA23	0
20	ENSG00000172458.4_PCGBA23	ENSG00000172458.4_PCGBA23	0
21	PHENO_pseudotime	PHENO_pseudotime	1
