node_id	raw_name	pretty_name	is_phenotype
1	ENSG00000198830.10_AC	ENSG00000198830.10_AC	0
2	ENSG00000125520.13_AC	ENSG00000125520.13_AC	0
3	ENSG00000198830.10_MFBA9BA46	ENSG00000198830.10_MFBA9BA46	0
4	ENSG00000125534.9_AC	ENSG00000125534.9_AC	0
5	ENSG00000198830.10_PCGBA23	ENSG00000198830.10_PCGBA23	0
6	ENSG00000132475.10_AC	ENSG00000132475.10_AC	0
7	ENSG00000178035.11_AC	ENSG00000178035.11_AC	0
8	ENSG00000108424.9_AC	ENSG00000108424.9_AC	0
9	ENSG00000125534.9_PCGBA23	ENSG00000125534.9_PCGBA23	0
10	ENSG00000137285.9_PCGBA23	ENSG00000137285.9_PCGBA23	0
11	ENSG00000205352.10_AC	ENSG00000205352.10_AC	0
12	ENSG00000048828.16_AC	ENSG00000048828.16_AC	0
13	ENSG00000169189.16_AC	ENSG00000169189.16_AC	0
14	ENSG00000115758.12_AC	ENSG00000115758.12_AC	0
15	ENSG00000205352.10_PCGBA23	ENSG00000205352.10_PCGBA23	0
16	ENSG00000104812.14_PCGBA23	ENSG00000104812.14_PCGBA23	0
17	ENSG00000198342.9_AC	ENSG00000198342.9_AC	0
18	ENSG00000188643.10_AC	ENSG00000188643.10_AC	0
19	ENSG00000102119.10_AC	ENSG00000102119.10_AC	0
20	ENSG00000205352.10_MFBA9BA46	ENSG00000205352.10_MFBA9BA46	0
21	PHENO_cogn_global	PHENO_cogn_global	1
