source_id	target_id	frequency	source_name	target_name	source_raw	target_raw
2	1	0.015	ENSG00000123374.10_MFBA9BA46	ENSG00000213719.8_MFBA9BA46	ENSG00000123374.10_MFBA9BA46	ENSG00000213719.8_MFBA9BA46
3	1	0.021	ENSG00000261371.5_MFBA9BA46	ENSG00000213719.8_MFBA9BA46	ENSG00000261371.5_MFBA9BA46	ENSG00000213719.8_MFBA9BA46
4	1	0.243	ENSG00000177464.4_MFBA9BA46	ENSG00000213719.8_MFBA9BA46	ENSG00000177464.4_MFBA9BA46	ENSG00000213719.8_MFBA9BA46
5	1	0.462	ENSG00000158710.14_MFBA9BA46	ENSG00000213719.8_MFBA9BA46	ENSG00000158710.14_MFBA9BA46	ENSG00000213719.8_MFBA9BA46
6	1	0.161	ENSG00000161638.10_MFBA9BA46	ENSG00000213719.8_MFBA9BA46	ENSG00000161638.10_MFBA9BA46	ENSG00000213719.8_MFBA9BA46
7	1	0.002	ENSG00000261371.5_AC	ENSG00000213719.8_MFBA9BA46	ENSG00000261371.5_AC	ENSG00000213719.8_MFBA9BA46
8	1	0.303	ENSG00000122862.4_MFBA9BA46	ENSG00000213719.8_MFBA9BA46	ENSG00000122862.4_MFBA9BA46	ENSG00000213719.8_MFBA9BA46
9	1	0.122	ENSG00000028137.18_MFBA9BA46	ENSG00000213719.8_MFBA9BA46	ENSG00000028137.18_MFBA9BA46	ENSG00000213719.8_MFBA9BA46
10	1	0.012	ENSG00000101187.15_MFBA9BA46	ENSG00000213719.8_MFBA9BA46	ENSG00000101187.15_MFBA9BA46	ENSG00000213719.8_MFBA9BA46
12	1	0.017	ENSG00000197142.10_MFBA9BA46	ENSG00000213719.8_MFBA9BA46	ENSG00000197142.10_MFBA9BA46	ENSG00000213719.8_MFBA9BA46
13	1	0.551	ENSG00000125753.13_MFBA9BA46	ENSG00000213719.8_MFBA9BA46	ENSG00000125753.13_MFBA9BA46	ENSG00000213719.8_MFBA9BA46
14	1	0.002	ENSG00000177464.4_AC	ENSG00000213719.8_MFBA9BA46	ENSG00000177464.4_AC	ENSG00000213719.8_MFBA9BA46
