node_id	raw_name	pretty_name	is_phenotype
1	ENSG00000213719.8_MFBA9BA46	ENSG00000213719.8_MFBA9BA46	0
2	ENSG00000123374.10_MFBA9BA46	ENSG00000123374.10_MFBA9BA46	0
3	ENSG00000261371.5_MFBA9BA46	ENSG00000261371.5_MFBA9BA46	0
4	ENSG00000177464.4_MFBA9BA46	ENSG00000177464.4_MFBA9BA46	0
5	ENSG00000158710.14_MFBA9BA46	ENSG00000158710.14_MFBA9BA46	0
6	ENSG00000161638.10_MFBA9BA46	ENSG00000161638.10_MFBA9BA46	0
7	ENSG00000261371.5_AC	ENSG00000261371.5_AC	0
8	ENSG00000122862.4_MFBA9BA46	ENSG00000122862.4_MFBA9BA46	0
9	ENSG00000028137.18_MFBA9BA46	ENSG00000028137.18_MFBA9BA46	0
10	ENSG00000101187.15_MFBA9BA46	ENSG00000101187.15_MFBA9BA46	0
11	ENSG00000137507.11_MFBA9BA46	ENSG00000137507.11_MFBA9BA46	0
12	ENSG00000197142.10_MFBA9BA46	ENSG00000197142.10_MFBA9BA46	0
13	ENSG00000125753.13_MFBA9BA46	ENSG00000125753.13_MFBA9BA46	0
14	ENSG00000177464.4_AC	ENSG00000177464.4_AC	0
15	ENSG00000162618.13_MFBA9BA46	ENSG00000162618.13_MFBA9BA46	0
16	ENSG00000168994.13_MFBA9BA46	ENSG00000168994.13_MFBA9BA46	0
17	ENSG00000164181.13_AC	ENSG00000164181.13_AC	0
18	ENSG00000123374.10_PCGBA23	ENSG00000123374.10_PCGBA23	0
19	ENSG00000169908.11_MFBA9BA46	ENSG00000169908.11_MFBA9BA46	0
20	ENSG00000120889.12_MFBA9BA46	ENSG00000120889.12_MFBA9BA46	0
21	PHENO_sqrt_parksc_demog_slope	PHENO_sqrt_parksc_demog_slope	1
