gene_id	tissue	gene_tissue	kME	abs_kME	kME_pval
ENSG00000146112.11	AC	ENSG00000146112.11_AC	0.8265463989987676	0.8265463989987676	3.8885411514047704e-117
ENSG00000077150.18	AC	ENSG00000077150.18_AC	0.7931438920742443	0.7931438920742443	2.4535519845837404e-101
ENSG00000196843.15	AC	ENSG00000196843.15_AC	0.790600748560858	0.790600748560858	2.966995094908757e-100
ENSG00000161638.10	AC	ENSG00000161638.10_AC	0.7902430316420107	0.7902430316420107	4.201215319806789e-100
ENSG00000139083.10	AC	ENSG00000139083.10_AC	0.781298970782732	0.781298970782732	2.027179203396375e-96
ENSG00000198805.11	AC	ENSG00000198805.11_AC	0.7794982202018458	0.7794982202018458	1.065396578730621e-95
ENSG00000165732.12	AC	ENSG00000165732.12_AC	0.7769485775943671	0.7769485775943671	1.0870641302222052e-94
ENSG00000168884.14	AC	ENSG00000168884.14_AC	0.7720678792133805	0.7720678792133805	8.520435334400294e-93
ENSG00000125753.13	AC	ENSG00000125753.13_AC	0.7688123899149705	0.7688123899149705	1.4718567942103922e-91
ENSG00000165030.3	AC	ENSG00000165030.3_AC	0.7575686388611477	0.7575686388611477	1.948680912642974e-87
ENSG00000167553.15	AC	ENSG00000167553.15_AC	0.7554826994213547	0.7554826994213547	1.0707638232200362e-86
ENSG00000137193.13	PCGBA23	ENSG00000137193.13_PCGBA23	0.7540796641170295	0.7540796641170295	3.335908568915777e-86
ENSG00000075426.11	AC	ENSG00000075426.11_AC	0.7509048141440536	0.7509048141440536	4.2439564343419696e-85
ENSG00000064932.15	PCGBA23	ENSG00000064932.15_PCGBA23	0.7481226471537389	0.7481226471537389	3.8199830874292758e-84
ENSG00000130309.10	AC	ENSG00000130309.10_AC	0.7416700803965387	0.7416700803965387	5.594841139072055e-82
ENSG00000111817.16	AC	ENSG00000111817.16_AC	0.7372155742269612	0.7372155742269612	1.6049790064429084e-80
ENSG00000185022.11	AC	ENSG00000185022.11_AC	0.732588786611525	0.732588786611525	4.879794515303188e-79
ENSG00000197622.12	AC	ENSG00000197622.12_AC	0.7322417940581034	0.7322417940581034	6.285893630775926e-79
ENSG00000140464.19	AC	ENSG00000140464.19_AC	0.7316654288738033	0.7316654288738033	9.564076881230225e-79
ENSG00000137193.13	MFBA9BA46	ENSG00000137193.13_MFBA9BA46	0.7301291013600417	0.7301291013600417	2.912086321984248e-78
