node_id	raw_name	pretty_name	is_phenotype
1	ME_M1139	M1139	0
2	ME_M1144	M1144	0
3	ME_M1175	M1175	0
4	ME_M1180	M1180	0
5	ME_M1181	M1181	0
6	ME_M1263	M1263	0
7	ME_M1269	M1269	0
8	ME_M1312	M1312	0
9	ME_M1313	M1313	0
10	ME_M1314	M1314	0
11	ME_M1396	M1396	0
12	ME_M1403	M1403	0
13	ME_M144	M144	0
14	ME_M1464	M1464	0
15	ME_M1533	M1533	0
16	ME_M1535	M1535	0
17	ME_M1537	M1537	0
18	ME_M154	M154	0
19	ME_M1541	M1541	0
20	ME_M1547	M1547	0
21	ME_M1567	M1567	0
22	ME_M1572	M1572	0
23	ME_M1639	M1639	0
24	ME_M1643	M1643	0
25	ME_M1757	M1757	0
26	ME_M1806	M1806	0
27	ME_M1831	M1831	0
28	ME_M1918	M1918	0
29	ME_M36	M36	0
30	ME_M56	M56	0
31	ME_M584	M584	0
32	ME_M589	M589	0
33	ME_M61	M61	0
34	ME_M637	M637	0
35	ME_M65	M65	0
36	ME_M660	M660	0
37	ME_M661	M661	0
38	ME_M68	M68	0
39	ME_M91	M91	0
40	ME_M93	M93	0
41	PHENO_cogng_demog_slope	PHENO_cogng_demog_slope	1
