source_id	target_id	frequency	source_name	target_name	source_raw	target_raw
2	1	0.446	M1144	M1139	ME_M1144	ME_M1139
3	1	0.439	M1175	M1139	ME_M1175	ME_M1139
4	1	0.051	M1180	M1139	ME_M1180	ME_M1139
5	1	0.06	M1181	M1139	ME_M1181	ME_M1139
6	1	0.001	M1263	M1139	ME_M1263	ME_M1139
7	1	0.003	M1269	M1139	ME_M1269	ME_M1139
8	1	0.106	M1312	M1139	ME_M1312	ME_M1139
9	1	0.001	M1313	M1139	ME_M1313	ME_M1139
10	1	0.001	M1314	M1139	ME_M1314	ME_M1139
11	1	0.02	M1396	M1139	ME_M1396	ME_M1139
12	1	0.001	M1403	M1139	ME_M1403	ME_M1139
13	1	0.005	M144	M1139	ME_M144	ME_M1139
14	1	0.024	M1464	M1139	ME_M1464	ME_M1139
15	1	0.001	M1533	M1139	ME_M1533	ME_M1139
17	1	0.006	M1537	M1139	ME_M1537	ME_M1139
18	1	0.027	M154	M1139	ME_M154	ME_M1139
19	1	0.295	M1541	M1139	ME_M1541	ME_M1139
20	1	0.01	M1547	M1139	ME_M1547	ME_M1139
21	1	0.004	M1567	M1139	ME_M1567	ME_M1139
24	1	0.002	M1643	M1139	ME_M1643	ME_M1139
26	1	0.097	M1806	M1139	ME_M1806	ME_M1139
27	1	0.039	M1831	M1139	ME_M1831	ME_M1139
28	1	0.03	M1918	M1139	ME_M1918	ME_M1139
29	1	0.009	M36	M1139	ME_M36	ME_M1139
30	1	0.181	M56	M1139	ME_M56	ME_M1139
31	1	0.001	M584	M1139	ME_M584	ME_M1139
32	1	0.001	M589	M1139	ME_M589	ME_M1139
33	1	0.171	M61	M1139	ME_M61	ME_M1139
34	1	0.093	M637	M1139	ME_M637	ME_M1139
35	1	0.009	M65	M1139	ME_M65	ME_M1139
36	1	0.023	M660	M1139	ME_M660	ME_M1139
37	1	0.039	M661	M1139	ME_M661	ME_M1139
38	1	0.005	M68	M1139	ME_M68	ME_M1139
39	1	0.026	M91	M1139	ME_M91	ME_M1139
40	1	0.298	M93	M1139	ME_M93	ME_M1139
1	2	0.553	M1139	M1144	ME_M1139	ME_M1144
3	2	0.531	M1175	M1144	ME_M1175	ME_M1144
4	2	0.027	M1180	M1144	ME_M1180	ME_M1144
5	2	0.323	M1181	M1144	ME_M1181	ME_M1144
6	2	0.007	M1263	M1144	ME_M1263	ME_M1144
7	2	0.009	M1269	M1144	ME_M1269	ME_M1144
8	2	0.001	M1312	M1144	ME_M1312	ME_M1144
9	2	0.002	M1313	M1144	ME_M1313	ME_M1144
11	2	0.004	M1396	M1144	ME_M1396	ME_M1144
12	2	0.019	M1403	M1144	ME_M1403	ME_M1144
13	2	0.003	M144	M1144	ME_M144	ME_M1144
14	2	0.008	M1464	M1144	ME_M1464	ME_M1144
15	2	0.008	M1533	M1144	ME_M1533	ME_M1144
16	2	0.002	M1535	M1144	ME_M1535	ME_M1144
17	2	0.039	M1537	M1144	ME_M1537	ME_M1144
18	2	0.063	M154	M1144	ME_M154	ME_M1144
19	2	0.106	M1541	M1144	ME_M1541	ME_M1144
20	2	0.002	M1547	M1144	ME_M1547	ME_M1144
21	2	0.025	M1567	M1144	ME_M1567	ME_M1144
23	2	0.02	M1639	M1144	ME_M1639	ME_M1144
24	2	0.001	M1643	M1144	ME_M1643	ME_M1144
26	2	0.129	M1806	M1144	ME_M1806	ME_M1144
27	2	0.007	M1831	M1144	ME_M1831	ME_M1144
28	2	0.041	M1918	M1144	ME_M1918	ME_M1144
29	2	0.012	M36	M1144	ME_M36	ME_M1144
30	2	0.063	M56	M1144	ME_M56	ME_M1144
32	2	0.002	M589	M1144	ME_M589	ME_M1144
33	2	0.088	M61	M1144	ME_M61	ME_M1144
34	2	0.102	M637	M1144	ME_M637	ME_M1144
35	2	0.027	M65	M1144	ME_M65	ME_M1144
36	2	0.035	M660	M1144	ME_M660	ME_M1144
37	2	0.018	M661	M1144	ME_M661	ME_M1144
38	2	0.007	M68	M1144	ME_M68	ME_M1144
39	2	0.016	M91	M1144	ME_M91	ME_M1144
40	2	0.045	M93	M1144	ME_M93	ME_M1144
1	3	0.337	M1139	M1175	ME_M1139	ME_M1175
2	3	0.469	M1144	M1175	ME_M1144	ME_M1175
4	3	0.094	M1180	M1175	ME_M1180	ME_M1175
5	3	0.314	M1181	M1175	ME_M1181	ME_M1175
6	3	0.003	M1263	M1175	ME_M1263	ME_M1175
7	3	0.009	M1269	M1175	ME_M1269	ME_M1175
8	3	0.013	M1312	M1175	ME_M1312	ME_M1175
11	3	0.001	M1396	M1175	ME_M1396	ME_M1175
12	3	0.148	M1403	M1175	ME_M1403	ME_M1175
13	3	0.018	M144	M1175	ME_M144	ME_M1175
14	3	0.023	M1464	M1175	ME_M1464	ME_M1175
15	3	0.001	M1533	M1175	ME_M1533	ME_M1175
16	3	0.001	M1535	M1175	ME_M1535	ME_M1175
17	3	0.003	M1537	M1175	ME_M1537	ME_M1175
18	3	0.015	M154	M1175	ME_M154	ME_M1175
19	3	0.009	M1541	M1175	ME_M1541	ME_M1175
20	3	0.001	M1547	M1175	ME_M1547	ME_M1175
21	3	0.004	M1567	M1175	ME_M1567	ME_M1175
