phenotype	module	edge_freq
cogn_global	M1918	0.979
cogn_global	M144	0.744
cogn_global	M154	0.236
cogn_global	M1403	0.098
cogn_global	M68	0.044
cogn_global	M1181	0.042
cogn_global	M660	0.036
cogn_global	M1806	0.033
cogn_global	M1314	0.031
cogn_global	M61	0.029
cogn_global	M1263	0.029
cogn_global	M1312	0.027
cogn_global	M1180	0.025
cogn_global	M1464	0.022
cogn_global	M589	0.021
cogn_global	M1175	0.021
cogn_global	M1572	0.02
cogn_global	M1541	0.019
cogn_global	M1547	0.019
cogn_global	M1831	0.019
cogn_global	M1639	0.018
cogn_global	M65	0.017
cogn_global	M1139	0.017
cogn_global	M1313	0.017
cogn_global	M1535	0.017
cogn_global	M637	0.017
cogn_global	M56	0.016
cogn_global	M1533	0.015
cogn_global	M91	0.015
cogn_global	M1567	0.015
cogn_global	M584	0.014
cogn_global	M1269	0.014
cogn_global	M1537	0.013
cogn_global	M1144	0.012
cogn_global	M661	0.012
cogn_global	M93	0.012
cogn_global	M36	0.011
cogn_global	M1643	0.011
cogn_global	M1757	0.011
cogn_global	M1396	0.01
pseudotime	M660	0.702
pseudotime	M154	0.535
pseudotime	M144	0.349
pseudotime	M1806	0.277
pseudotime	M1464	0.06
pseudotime	M1547	0.054
pseudotime	M56	0.046
pseudotime	M1572	0.043
pseudotime	M1918	0.041
pseudotime	M68	0.041
pseudotime	M637	0.037
pseudotime	M1831	0.026
pseudotime	M1541	0.026
pseudotime	M1263	0.025
pseudotime	M1180	0.024
pseudotime	M93	0.024
pseudotime	M1396	0.024
pseudotime	M1313	0.023
pseudotime	M36	0.021
pseudotime	M1533	0.02
pseudotime	M1312	0.02
pseudotime	M1139	0.019
pseudotime	M1144	0.019
pseudotime	M1175	0.019
pseudotime	M1269	0.018
pseudotime	M1181	0.018
pseudotime	M584	0.018
pseudotime	M61	0.017
pseudotime	M1535	0.017
pseudotime	M1403	0.017
pseudotime	M1639	0.017
pseudotime	M1567	0.017
pseudotime	M589	0.017
pseudotime	M91	0.016
pseudotime	M1643	0.016
pseudotime	M1757	0.015
pseudotime	M661	0.015
pseudotime	M1314	0.014
pseudotime	M1537	0.014
pseudotime	M65	0.014
cogng_demog_slope	M1918	0.934
cogng_demog_slope	M144	0.614
cogng_demog_slope	M1403	0.185
cogng_demog_slope	M154	0.144
cogng_demog_slope	M1464	0.108
cogng_demog_slope	M660	0.095
cogng_demog_slope	M1806	0.049
cogng_demog_slope	M1312	0.046
cogng_demog_slope	M1537	0.035
cogng_demog_slope	M1175	0.033
cogng_demog_slope	M56	0.032
cogng_demog_slope	M1535	0.032
cogng_demog_slope	M36	0.03
cogng_demog_slope	M1181	0.028
cogng_demog_slope	M68	0.027
cogng_demog_slope	M1547	0.026
cogng_demog_slope	M637	0.025
cogng_demog_slope	M1139	0.024
cogng_demog_slope	M61	0.024
cogng_demog_slope	M91	0.024
cogng_demog_slope	M1643	0.02
cogng_demog_slope	M1180	0.02
cogng_demog_slope	M1144	0.019
cogng_demog_slope	M1269	0.018
cogng_demog_slope	M1572	0.018
cogng_demog_slope	M93	0.018
cogng_demog_slope	M1541	0.017
cogng_demog_slope	M589	0.017
cogng_demog_slope	M1396	0.016
cogng_demog_slope	M1567	0.013
cogng_demog_slope	M1263	0.012
cogng_demog_slope	M1533	0.012
cogng_demog_slope	M661	0.012
cogng_demog_slope	M1639	0.011
cogng_demog_slope	M65	0.01
cogng_demog_slope	M1314	0.009
cogng_demog_slope	M1313	0.009
cogng_demog_slope	M1757	0.007
cogng_demog_slope	M584	0.007
cogng_demog_slope	M1831	0.005
motor10_demog_slope	M1535	0.26
motor10_demog_slope	M1313	0.246
motor10_demog_slope	M154	0.23
motor10_demog_slope	M1537	0.122
motor10_demog_slope	M144	0.12
motor10_demog_slope	M1533	0.087
motor10_demog_slope	M1464	0.073
motor10_demog_slope	M68	0.065
motor10_demog_slope	M1806	0.062
motor10_demog_slope	M1918	0.054
motor10_demog_slope	M1547	0.053
motor10_demog_slope	M1572	0.051
motor10_demog_slope	M1269	0.049
motor10_demog_slope	M1144	0.049
motor10_demog_slope	M1175	0.047
motor10_demog_slope	M1263	0.047
motor10_demog_slope	M65	0.044
motor10_demog_slope	M1403	0.042
motor10_demog_slope	M637	0.042
motor10_demog_slope	M36	0.039
motor10_demog_slope	M1643	0.038
motor10_demog_slope	M1181	0.037
motor10_demog_slope	M61	0.036
motor10_demog_slope	M1396	0.035
motor10_demog_slope	M584	0.034
motor10_demog_slope	M1541	0.033
motor10_demog_slope	M91	0.03
motor10_demog_slope	M1312	0.029
motor10_demog_slope	M1314	0.029
motor10_demog_slope	M93	0.029
motor10_demog_slope	M56	0.028
motor10_demog_slope	M1139	0.028
motor10_demog_slope	M589	0.027
motor10_demog_slope	M1567	0.027
motor10_demog_slope	M1831	0.027
motor10_demog_slope	M1180	0.025
motor10_demog_slope	M660	0.025
motor10_demog_slope	M1757	0.022
motor10_demog_slope	M1639	0.019
motor10_demog_slope	M661	0.019
sqrt_parksc_demog_slope	M65	0.241
sqrt_parksc_demog_slope	M68	0.177
sqrt_parksc_demog_slope	M660	0.137
sqrt_parksc_demog_slope	M1918	0.123
sqrt_parksc_demog_slope	M1533	0.11
sqrt_parksc_demog_slope	M144	0.09
sqrt_parksc_demog_slope	M1180	0.088
sqrt_parksc_demog_slope	M661	0.081
sqrt_parksc_demog_slope	M637	0.078
sqrt_parksc_demog_slope	M1175	0.075
sqrt_parksc_demog_slope	M154	0.072
sqrt_parksc_demog_slope	M1403	0.065
sqrt_parksc_demog_slope	M91	0.064
sqrt_parksc_demog_slope	M1547	0.061
sqrt_parksc_demog_slope	M589	0.059
sqrt_parksc_demog_slope	M1806	0.054
sqrt_parksc_demog_slope	M1464	0.052
sqrt_parksc_demog_slope	M1396	0.052
sqrt_parksc_demog_slope	M93	0.051
sqrt_parksc_demog_slope	M1139	0.051
sqrt_parksc_demog_slope	M1643	0.045
sqrt_parksc_demog_slope	M61	0.04
sqrt_parksc_demog_slope	M1537	0.038
sqrt_parksc_demog_slope	M36	0.037
sqrt_parksc_demog_slope	M1535	0.035
sqrt_parksc_demog_slope	M1572	0.035
sqrt_parksc_demog_slope	M56	0.034
sqrt_parksc_demog_slope	M1639	0.034
sqrt_parksc_demog_slope	M1181	0.033
sqrt_parksc_demog_slope	M1541	0.033
sqrt_parksc_demog_slope	M1313	0.031
sqrt_parksc_demog_slope	M1757	0.031
sqrt_parksc_demog_slope	M584	0.03
sqrt_parksc_demog_slope	M1144	0.03
sqrt_parksc_demog_slope	M1263	0.029
sqrt_parksc_demog_slope	M1312	0.029
sqrt_parksc_demog_slope	M1831	0.028
sqrt_parksc_demog_slope	M1567	0.025
sqrt_parksc_demog_slope	M1314	0.025
sqrt_parksc_demog_slope	M1269	0.018
