gene_symbol	ensembl_id	ensembl_gene_id_base	tissue	source_module	phenotype	edge_frequency	run_type	hgnc_symbol	hgnc_name	protein_name	target_categories	therapeutic_target_score	open_targets_ad_score	open_targets_ad_datasources	is_kinase	is_gPCR	is_ion_channel	is_nuclear_receptor	is_transporter	is_enzyme	is_receptor	is_transcription_factor	is_known_drug_target	has_ad_evidence
SZRD1	ENSG00000055070.16	ENSG00000055070	PCGBA23	cross_cogn_global	cogn_global	0.544	cross_module	SZRD1	SUZ RNA binding domain containing 1		Alzheimer_evidence	1	0.0018478992734235	europepmc:0.015198269940290528	False	False	False	False	False	False	False	False	False	True
PPDPF	ENSG00000125534.9	ENSG00000125534	AC	cross_cogn_global	cogn_global	0.442	cross_module	PPDPF	pancreatic progenitor cell differentiation and proliferation factor		Alzheimer_evidence	1	0.0136938075331148	europepmc:0.09558023095782708;expression_atlas:0.06818454774255388	False	False	False	False	False	False	False	False	False	True
HMGN2	ENSG00000198830.10	ENSG00000198830	AC	cross_cogn_global	cogn_global	0.308	cross_module	HMGN2	high mobility group nucleosomal binding domain 2		Alzheimer_evidence	1	0.003695798546847	europepmc:0.030396539880581056	False	False	False	False	False	False	False	False	False	True
NOTCH2	ENSG00000134250.19	ENSG00000134250	PCGBA23	cross_cogn_global	cogn_global	0.171	cross_module	NOTCH2	notch receptor 2		receptor;known_drug_target;Alzheimer_evidence	3	0.057702727393584	europepmc:0.45124675519542184;expression_atlas:0.0933450795258092	False	False	False	False	False	False	True	False	True	True
HMGN2	ENSG00000198830.10	ENSG00000198830	MFBA9BA46	cross_cogn_global	cogn_global	0.17	cross_module	HMGN2	high mobility group nucleosomal binding domain 2		Alzheimer_evidence	1	0.003695798546847	europepmc:0.030396539880581056	False	False	False	False	False	False	False	False	False	True
ZPR1	ENSG00000109917.10	ENSG00000109917	PCGBA23	cross_cogn_global	cogn_global	0.152	cross_module	ZPR1	ZPR1 zinc finger		transcription_factor;Alzheimer_evidence	2	0.0040653784015317	europepmc:0.03343619386863916	False	False	False	False	False	False	False	True	False	True
QKI	ENSG00000112531.16	ENSG00000112531	PCGBA23	cross_cogn_global	cogn_global	0.142	cross_module	QKI	QKI, KH domain containing RNA binding		Alzheimer_evidence	1	0.2195012162057847	gwas_credible_sets:0.33436205463998914;europepmc:0.517989100868866;expression_atlas:0.03605956051037887	False	False	False	False	False	False	False	False	False	True
EFCAB14	ENSG00000159658.10	ENSG00000159658	PCGBA23	cross_cogn_global	cogn_global	0.117	cross_module	EFCAB14	EF-hand calcium binding domain 14		Alzheimer_evidence	1	0.0035633222886317	expression_atlas:0.029306972953426547	False	False	False	False	False	False	False	False	False	True
GJA1	ENSG00000152661.7	ENSG00000152661	PCGBA23	cross_cogn_global	cogn_global	0.068	cross_module	GJA1	gap junction protein alpha 1		known_drug_target;Alzheimer_evidence	2	0.1086773604390652	europepmc:0.8763745130923083;expression_atlas:0.06982206189463229	False	False	False	False	False	False	False	False	True	True
CTBP1	ENSG00000159692.15	ENSG00000159692	MFBA9BA46	cross_cogn_global	cogn_global	0.065	cross_module	CTBP1	C-terminal binding protein 1		Alzheimer_evidence	1	0.036287684314292	europepmc:0.29845242630292435	False	False	False	False	False	False	False	False	False	True
HMGN2	ENSG00000198830.10	ENSG00000198830	PCGBA23	cross_cogn_global	cogn_global	0.063	cross_module	HMGN2	high mobility group nucleosomal binding domain 2		Alzheimer_evidence	1	0.003695798546847	europepmc:0.030396539880581056	False	False	False	False	False	False	False	False	False	True
SLC2A4RG	ENSG00000125520.13	ENSG00000125520	AC	cross_cogn_global	cogn_global	0.061	cross_module	SLC2A4RG	SLC2A4 regulator		transporter;transcription_factor;Alzheimer_evidence	3	0.0197010716919042	europepmc:0.16203383484850495	False	False	False	False	True	False	False	True	False	True
TOMM40	ENSG00000130204.12	ENSG00000130204	PCGBA23	cross_cogn_global	cogn_global	0.057	cross_module	TOMM40	translocase of outer mitochondrial membrane 40		Alzheimer_evidence	1	0.3096105223526799	gwas_credible_sets:0.4684572416485545;europepmc:0.8165711586860972	False	False	False	False	False	False	False	False	False	True
PAK2	ENSG00000180370.10	ENSG00000180370	PCGBA23	cross_cogn_global	cogn_global	0.054	cross_module	PAK2	p21 (RAC1) activated kinase 2		kinase;enzyme;known_drug_target;Alzheimer_evidence	4	0.0403031337921292	europepmc:0.32597664166015106;expression_atlas:0.022005328281258483	True	False	False	False	False	True	False	False	True	True
MMEL1	ENSG00000142606.15	ENSG00000142606	AC	cross_cogn_global	cogn_global	0.042	cross_module	MMEL1	membrane metalloendopeptidase like 1		enzyme;Alzheimer_evidence	2	0.0255248982120642	europepmc:0.20993259687076196	False	False	False	False	False	True	False	False	False	True
VGF	ENSG00000128564.6	ENSG00000128564	PCGBA23	cross_cogn_global	cogn_global	0.04	cross_module	VGF	VGF nerve growth factor inducible		known_drug_target;Alzheimer_evidence	2	0.1001245012630463	europepmc:0.8234860090688415	False	False	False	False	False	False	False	False	True	True
NEBL	ENSG00000078114.18	ENSG00000078114	PCGBA23	cross_cogn_global	cogn_global	0.039	cross_module	NEBL	nebulette		Alzheimer_evidence	1	0.0240226905545056	europepmc:0.19757750922377684	False	False	False	False	False	False	False	False	False	True
PTS	ENSG00000150787.7	ENSG00000150787	MFBA9BA46	cross_cogn_global	cogn_global	0.03	cross_module	PTS	6-pyruvoyltetrahydropterin synthase		enzyme;Alzheimer_evidence	2	0.0151306974575791	europepmc:0.11493776077177711;expression_atlas:0.03802592485145133	False	False	False	False	False	True	False	False	False	True
CPNE3	ENSG00000085719.12	ENSG00000085719	PCGBA23	cross_cogn_global	cogn_global	0.03	cross_module	CPNE3	copine 3		Alzheimer_evidence	1	0.0041388186942027	expression_atlas:0.03100055840505386;europepmc:0.012158615952232422	False	False	False	False	False	False	False	False	False	True
TMBIM6	ENSG00000139644.12	ENSG00000139644	PCGBA23	cross_cogn_global	cogn_global	0.029	cross_module	TMBIM6	transmembrane BAX inhibitor motif containing 6		Alzheimer_evidence	1	0.0053457914151977	europepmc:0.04160610830987533;expression_atlas:0.00944398587003528	False	False	False	False	False	False	False	False	False	True
PTAR1	ENSG00000188647.12	ENSG00000188647	PCGBA23	cross_cogn_global	cogn_global	0.026	cross_module	PTAR1	protein prenyltransferase alpha subunit repeat containing 1			0	0.0		False	False	False	False	False	False	False	False	False	False
FERMT2	ENSG00000073712.14	ENSG00000073712	PCGBA23	cross_cogn_global	cogn_global	0.025	cross_module	FERMT2	FERM domain containing kindlin 2		Alzheimer_evidence	1	0.4616617934842458	gwas_credible_sets:0.7306196322487121;europepmc:0.5633911542580086;expression_atlas:0.027423220861334467	False	False	False	False	False	False	False	False	False	True
RHOBTB3	ENSG00000164292.12	ENSG00000164292	PCGBA23	cross_cogn_global	cogn_global	0.022	cross_module	RHOBTB3	Rho related BTB domain containing 3		Alzheimer_evidence	1	0.0145159417095672	europepmc:0.10241945243095782;expression_atlas:0.06787462771135325	False	False	False	False	False	False	False	False	False	True
SLC2A4RG	ENSG00000125520.13	ENSG00000125520	AC	cross_cogng_demog_slope	cogng_demog_slope	0.405	cross_module	SLC2A4RG	SLC2A4 regulator		transporter;transcription_factor;Alzheimer_evidence	3	0.0197010716919042	europepmc:0.16203383484850495	False	False	False	False	True	False	False	True	False	True
SZRD1	ENSG00000055070.16	ENSG00000055070	PCGBA23	cross_cogng_demog_slope	cogng_demog_slope	0.322	cross_module	SZRD1	SUZ RNA binding domain containing 1		Alzheimer_evidence	1	0.0018478992734235	europepmc:0.015198269940290528	False	False	False	False	False	False	False	False	False	True
TOMM40	ENSG00000130204.12	ENSG00000130204	PCGBA23	cross_cogng_demog_slope	cogng_demog_slope	0.182	cross_module	TOMM40	translocase of outer mitochondrial membrane 40		Alzheimer_evidence	1	0.3096105223526799	gwas_credible_sets:0.4684572416485545;europepmc:0.8165711586860972	False	False	False	False	False	False	False	False	False	True
HMGN2	ENSG00000198830.10	ENSG00000198830	AC	cross_cogng_demog_slope	cogng_demog_slope	0.181	cross_module	HMGN2	high mobility group nucleosomal binding domain 2		Alzheimer_evidence	1	0.003695798546847	europepmc:0.030396539880581056	False	False	False	False	False	False	False	False	False	True
LRRFIP2	ENSG00000093167.17	ENSG00000093167	AC	cross_cogng_demog_slope	cogng_demog_slope	0.181	cross_module	LRRFIP2	LRR binding FLII interacting protein 2		Alzheimer_evidence	1	0.0055436978202705	europepmc:0.045594809820871586	False	False	False	False	False	False	False	False	False	True
MMEL1	ENSG00000142606.15	ENSG00000142606	AC	cross_cogng_demog_slope	cogng_demog_slope	0.151	cross_module	MMEL1	membrane metalloendopeptidase like 1		enzyme;Alzheimer_evidence	2	0.0255248982120642	europepmc:0.20993259687076196	False	False	False	False	False	True	False	False	False	True
QKI	ENSG00000112531.16	ENSG00000112531	PCGBA23	cross_cogng_demog_slope	cogng_demog_slope	0.151	cross_module	QKI	QKI, KH domain containing RNA binding		Alzheimer_evidence	1	0.2195012162057847	gwas_credible_sets:0.33436205463998914;europepmc:0.517989100868866;expression_atlas:0.03605956051037887	False	False	False	False	False	False	False	False	False	True
PTS	ENSG00000150787.7	ENSG00000150787	MFBA9BA46	cross_cogng_demog_slope	cogng_demog_slope	0.139	cross_module	PTS	6-pyruvoyltetrahydropterin synthase		enzyme;Alzheimer_evidence	2	0.0151306974575791	europepmc:0.11493776077177711;expression_atlas:0.03802592485145133	False	False	False	False	False	True	False	False	False	True
