Gene	r_cogn_global	p_cogn_global	r_pseudotime	p_pseudotime	r_cogng_demog_slope	p_cogng_demog_slope	r_motor10_demog_slope	p_motor10_demog_slope	r_sqrt_parksc_demog_slope	p_sqrt_parksc_demog_slope	max_abs_r	module_id	module_type	selection_rank	selected_by	cluster_id	therapeutic_selection_score	target_category_score	n_any_therapeutic_category	n_Alzheimer_evidence	n_known_drug_target	n_kinase	n_GPCR	n_ion_channel	representative_target_genes	representative_ad_genes
ME_M36	-0.024520239572879698	0.6911216209689791	0.0015242555376621329	0.9802976059782496	0.06520619048819257	0.29024335240558863	0.018270497284562773	0.7671988678512185	0.07110748684848414	0.24869095391829557	0.07110748684848414	36	CT	1	therapeutic_targets	36	2646.6166328600407	823	446	419	160	21	4	7	CD33(known_drug_target;Alzheimer_evidence);GRN(Alzheimer_evidence);TREM2(receptor;known_drug_target;Alzheimer_evidence);BIN1(Alzheimer_evidence);MS4A6A(Alzheimer_evidence);CTSB(enzyme;known_drug_target;Alzheimer_evidence);TGFBR2(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);INPP5D(enzyme;known_drug_target;Alzheimer_evidence);TGFBR1(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);PILRA(receptor;Alzheimer_evidence);ABI3(Alzheimer_evidence);ATP8B4(enzyme;known_drug_target;Alzheimer_evidence);BTF3(transcription_factor;Alzheimer_evidence);SPI1(transcription_factor;Alzheimer_evidence);CSF1R(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);TSPO(known_drug_target;Alzheimer_evidence);SCIMP(Alzheimer_evidence);LILRB2(receptor;Alzheimer_evidence);PTGS1(enzyme;known_drug_target;Alzheimer_evidence);LRRC25(Alzheimer_evidence);MGAT1(enzyme;Alzheimer_evidence);RIN3(Alzheimer_evidence);HAVCR2(receptor;known_drug_target;Alzheimer_evidence);IL6R(receptor;known_drug_target;Alzheimer_evidence);LIPG(known_drug_target;Alzheimer_evidence)	CD33(known_drug_target;Alzheimer_evidence);GRN(Alzheimer_evidence);TREM2(receptor;known_drug_target;Alzheimer_evidence);BIN1(Alzheimer_evidence);MS4A6A(Alzheimer_evidence);CTSB(enzyme;known_drug_target;Alzheimer_evidence);TGFBR2(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);INPP5D(enzyme;known_drug_target;Alzheimer_evidence);TGFBR1(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);PILRA(receptor;Alzheimer_evidence);ABI3(Alzheimer_evidence);ATP8B4(enzyme;known_drug_target;Alzheimer_evidence);BTF3(transcription_factor;Alzheimer_evidence);SPI1(transcription_factor;Alzheimer_evidence);CSF1R(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);TSPO(known_drug_target;Alzheimer_evidence);SCIMP(Alzheimer_evidence);LILRB2(receptor;Alzheimer_evidence);PTGS1(enzyme;known_drug_target;Alzheimer_evidence);LRRC25(Alzheimer_evidence)
ME_M56	-0.08610683250716822	0.16220659914675564	0.12507745341372725	0.04190277965433959	-0.007734040238444436	0.9002799078640443	-0.04902064603716236	0.4267857808127988	0.055400869023872694	0.3690322488407046	0.12507745341372725	56	CT	2	therapeutic_targets	56	1830.5295629820048	575	335	316	80	20	1	2	CDKN2B(kinase;enzyme;Alzheimer_evidence);CDK1(kinase;enzyme;known_drug_target;Alzheimer_evidence);RAB7A(Alzheimer_evidence);PTPN1(enzyme;receptor;known_drug_target;Alzheimer_evidence);COPB1(Alzheimer_evidence);ZNF207(transcription_factor;Alzheimer_evidence);COPB2(Alzheimer_evidence);SEC13(Alzheimer_evidence);RIPK1(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);NECTIN2(Alzheimer_evidence);BTF3(transcription_factor;Alzheimer_evidence);PDE4B(known_drug_target;Alzheimer_evidence);RELA(transcription_factor;known_drug_target;Alzheimer_evidence);GLIS3(transcription_factor;Alzheimer_evidence);LMNA(Alzheimer_evidence);FLNA(Alzheimer_evidence);CAST(Alzheimer_evidence);CAPN1(enzyme;known_drug_target;Alzheimer_evidence);ABCC9(transporter;known_drug_target;Alzheimer_evidence);SPPL2A(enzyme;Alzheimer_evidence);PPP1CB(enzyme;Alzheimer_evidence);ARNT(receptor;Alzheimer_evidence);SHMT1(enzyme;Alzheimer_evidence);MVP(Alzheimer_evidence);ITGB4(known_drug_target;Alzheimer_evidence)	CDKN2B(kinase;enzyme;Alzheimer_evidence);CDK1(kinase;enzyme;known_drug_target;Alzheimer_evidence);RAB7A(Alzheimer_evidence);PTPN1(enzyme;receptor;known_drug_target;Alzheimer_evidence);COPB1(Alzheimer_evidence);ZNF207(transcription_factor;Alzheimer_evidence);COPB2(Alzheimer_evidence);SEC13(Alzheimer_evidence);RIPK1(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);NECTIN2(Alzheimer_evidence);BTF3(transcription_factor;Alzheimer_evidence);PDE4B(known_drug_target;Alzheimer_evidence);RELA(transcription_factor;known_drug_target;Alzheimer_evidence);GLIS3(transcription_factor;Alzheimer_evidence);LMNA(Alzheimer_evidence);FLNA(Alzheimer_evidence);CAST(Alzheimer_evidence);CAPN1(enzyme;known_drug_target;Alzheimer_evidence);ABCC9(transporter;known_drug_target;Alzheimer_evidence);SPPL2A(enzyme;Alzheimer_evidence)
ME_M61	0.07573412985774257	0.21914688860581458	0.0014397074980930322	0.9813902637091723	0.0928084786650689	0.13182994923786545	0.013562093553148882	0.8260726095571927	-0.01728123590134073	0.7794704541837397	0.0928084786650689	61	CT	3	therapeutic_targets	61	1679.1438848920864	532	336	309	58	9	1	3	NR1H2(nuclear_receptor;receptor;known_drug_target;Alzheimer_evidence);CSNK1A1(kinase;enzyme;known_drug_target;Alzheimer_evidence);ZNF207(transcription_factor;Alzheimer_evidence);HEATR1(Alzheimer_evidence);COPB2(Alzheimer_evidence);CALR(Alzheimer_evidence);GLIS3(transcription_factor;Alzheimer_evidence);FOXK1(transcription_factor;Alzheimer_evidence);NFKB2(transcription_factor;known_drug_target;Alzheimer_evidence);SPPL2A(enzyme;Alzheimer_evidence);CANX(Alzheimer_evidence);HES4(transcription_factor;Alzheimer_evidence);TANK(transcription_factor;Alzheimer_evidence);PANK3(kinase;enzyme;Alzheimer_evidence);PRRX1(transcription_factor;Alzheimer_evidence);NUP88(Alzheimer_evidence);CALU(Alzheimer_evidence);STK3(kinase;enzyme;known_drug_target;Alzheimer_evidence);SEC24C(Alzheimer_evidence);EPRS1(enzyme;Alzheimer_evidence);GATAD2A(transcription_factor;Alzheimer_evidence);EGFLAM(Alzheimer_evidence);FGFR1(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);CASZ1(transcription_factor;Alzheimer_evidence);CPNE8(Alzheimer_evidence)	NR1H2(nuclear_receptor;receptor;known_drug_target;Alzheimer_evidence);CSNK1A1(kinase;enzyme;known_drug_target;Alzheimer_evidence);ZNF207(transcription_factor;Alzheimer_evidence);HEATR1(Alzheimer_evidence);COPB2(Alzheimer_evidence);CALR(Alzheimer_evidence);GLIS3(transcription_factor;Alzheimer_evidence);FOXK1(transcription_factor;Alzheimer_evidence);NFKB2(transcription_factor;known_drug_target;Alzheimer_evidence);SPPL2A(enzyme;Alzheimer_evidence);CANX(Alzheimer_evidence);HES4(transcription_factor;Alzheimer_evidence);TANK(transcription_factor;Alzheimer_evidence);PANK3(kinase;enzyme;Alzheimer_evidence);PRRX1(transcription_factor;Alzheimer_evidence);NUP88(Alzheimer_evidence);CALU(Alzheimer_evidence);STK3(kinase;enzyme;known_drug_target;Alzheimer_evidence);SEC24C(Alzheimer_evidence);EPRS1(enzyme;Alzheimer_evidence)
ME_M65	-0.09788822064070081	0.11188165807978484	0.11940289734908599	0.05219753608189421	-0.09855908017191664	0.10943435868574136	-0.059253830513922356	0.33661895143426573	0.14682292454527673	0.016766824765922186	0.14682292454527673	65	CT	4	therapeutic_targets	65	1769.8320413436693	565	307	279	98	19	4	4	CR1(receptor;Alzheimer_evidence);SCARB1(receptor;Alzheimer_evidence);CD2AP(Alzheimer_evidence);NUP205(Alzheimer_evidence);PTPN12(enzyme;receptor;Alzheimer_evidence);NECTIN2(Alzheimer_evidence);TSPAN14(Alzheimer_evidence);MMP25(enzyme;known_drug_target;Alzheimer_evidence);ELOVL7(Alzheimer_evidence);RELA(transcription_factor;known_drug_target;Alzheimer_evidence);PECAM1(Alzheimer_evidence);NOX4(enzyme;known_drug_target;Alzheimer_evidence);B4GALT1(enzyme;Alzheimer_evidence);FOXK1(transcription_factor;Alzheimer_evidence);ATOH8(transcription_factor;Alzheimer_evidence);CDK2(kinase;enzyme;known_drug_target;Alzheimer_evidence);MGAT1(enzyme;Alzheimer_evidence);VEGFC(known_drug_target;Alzheimer_evidence);CDC42EP5(Alzheimer_evidence);CEP170(Alzheimer_evidence);TFPI(enzyme;known_drug_target;Alzheimer_evidence);CCRL2(receptor;known_drug_target;Alzheimer_evidence);SLC52A3(transporter;known_drug_target;Alzheimer_evidence);ERG(transcription_factor;Alzheimer_evidence);CREM(Alzheimer_evidence)	CR1(receptor;Alzheimer_evidence);SCARB1(receptor;Alzheimer_evidence);CD2AP(Alzheimer_evidence);NUP205(Alzheimer_evidence);PTPN12(enzyme;receptor;Alzheimer_evidence);NECTIN2(Alzheimer_evidence);TSPAN14(Alzheimer_evidence);MMP25(enzyme;known_drug_target;Alzheimer_evidence);ELOVL7(Alzheimer_evidence);RELA(transcription_factor;known_drug_target;Alzheimer_evidence);PECAM1(Alzheimer_evidence);NOX4(enzyme;known_drug_target;Alzheimer_evidence);B4GALT1(enzyme;Alzheimer_evidence);FOXK1(transcription_factor;Alzheimer_evidence);ATOH8(transcription_factor;Alzheimer_evidence);CDK2(kinase;enzyme;known_drug_target;Alzheimer_evidence);MGAT1(enzyme;Alzheimer_evidence);VEGFC(known_drug_target;Alzheimer_evidence);CDC42EP5(Alzheimer_evidence);CEP170(Alzheimer_evidence)
ME_M68	-0.12521925534977046	0.041669161824795936	0.1657596282045191	0.006843842047778437	-0.12398053699995144	0.04374744620548261	-0.06295033436824174	0.30728958513544125	0.1410947133894818	0.02159009374750381	0.1657596282045191	68	CT	5	therapeutic_targets	68	1650.815340909091	529	279	258	90	23	3	3	SEC13(Alzheimer_evidence);NUP205(Alzheimer_evidence);NECTIN2(Alzheimer_evidence);PIP5K1A(kinase;enzyme;known_drug_target;Alzheimer_evidence);PTGS2(enzyme;known_drug_target;Alzheimer_evidence);BRD2(known_drug_target;Alzheimer_evidence);JUN(transcription_factor;Alzheimer_evidence);FOSL1(transcription_factor;Alzheimer_evidence);LMNB1(Alzheimer_evidence);NFKB2(transcription_factor;known_drug_target;Alzheimer_evidence);PNO1(Alzheimer_evidence);PIM1(kinase;enzyme;known_drug_target;Alzheimer_evidence);CNOT12(Alzheimer_evidence);CCRL2(receptor;known_drug_target;Alzheimer_evidence);MAP3K11(kinase;enzyme;known_drug_target;Alzheimer_evidence);CREM(Alzheimer_evidence);TNIP1(Alzheimer_evidence);STK3(kinase;enzyme;known_drug_target;Alzheimer_evidence);PLK3(kinase;enzyme;known_drug_target;Alzheimer_evidence);SEMA3F(Alzheimer_evidence);FAM20C(kinase;enzyme;Alzheimer_evidence);SPRY4(Alzheimer_evidence);GATAD2A(transcription_factor;Alzheimer_evidence);LDLR(receptor;Alzheimer_evidence);PPARD(receptor;known_drug_target;Alzheimer_evidence)	SEC13(Alzheimer_evidence);NUP205(Alzheimer_evidence);NECTIN2(Alzheimer_evidence);PIP5K1A(kinase;enzyme;known_drug_target;Alzheimer_evidence);PTGS2(enzyme;known_drug_target;Alzheimer_evidence);BRD2(known_drug_target;Alzheimer_evidence);JUN(transcription_factor;Alzheimer_evidence);FOSL1(transcription_factor;Alzheimer_evidence);LMNB1(Alzheimer_evidence);NFKB2(transcription_factor;known_drug_target;Alzheimer_evidence);PNO1(Alzheimer_evidence);PIM1(kinase;enzyme;known_drug_target;Alzheimer_evidence);CNOT12(Alzheimer_evidence);CCRL2(receptor;known_drug_target;Alzheimer_evidence);MAP3K11(kinase;enzyme;known_drug_target;Alzheimer_evidence);CREM(Alzheimer_evidence);TNIP1(Alzheimer_evidence);STK3(kinase;enzyme;known_drug_target;Alzheimer_evidence);PLK3(kinase;enzyme;known_drug_target;Alzheimer_evidence);SEMA3F(Alzheimer_evidence)
ME_M91	0.11693491813932845	0.0572901101721124	-0.06684367323175704	0.27827377728847613	0.0351348008949158	0.5690676172164657	0.049593151417457446	0.4213990071864391	0.02577568036702023	0.6761785069527858	0.11693491813932845	91	CT	6	therapeutic_targets	91	1508.0648148148148	483	273	241	75	24	2	2	CDK4(kinase;enzyme;known_drug_target;Alzheimer_evidence);MTMR3(enzyme;transcription_factor;Alzheimer_evidence);BMP2K(kinase;enzyme;known_drug_target;Alzheimer_evidence);ABCA1(transporter;enzyme;Alzheimer_evidence);MINDY2(Alzheimer_evidence);PRDX1(Alzheimer_evidence);CAPN2(enzyme;known_drug_target;Alzheimer_evidence);GTF2I(transcription_factor;Alzheimer_evidence);PDGFRB(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);USP3(enzyme;Alzheimer_evidence);KMT2C(enzyme;known_drug_target;Alzheimer_evidence);TEAD1(transcription_factor;known_drug_target;Alzheimer_evidence);PTPN21(enzyme;receptor;Alzheimer_evidence);ITPKB(kinase;enzyme;known_drug_target;Alzheimer_evidence);ABL1(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);DDR2(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);SEC14L1(Alzheimer_evidence);WBP1L(Alzheimer_evidence);ATP10D(enzyme;known_drug_target;Alzheimer_evidence);NFIA(Alzheimer_evidence);FOXO1(transcription_factor;Alzheimer_evidence);IRF2(transcription_factor;Alzheimer_evidence);ZBTB37(transcription_factor;Alzheimer_evidence);MACF1(Alzheimer_evidence);DOCK1(Alzheimer_evidence)	CDK4(kinase;enzyme;known_drug_target;Alzheimer_evidence);MTMR3(enzyme;transcription_factor;Alzheimer_evidence);BMP2K(kinase;enzyme;known_drug_target;Alzheimer_evidence);ABCA1(transporter;enzyme;Alzheimer_evidence);MINDY2(Alzheimer_evidence);PRDX1(Alzheimer_evidence);CAPN2(enzyme;known_drug_target;Alzheimer_evidence);GTF2I(transcription_factor;Alzheimer_evidence);PDGFRB(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);USP3(enzyme;Alzheimer_evidence);KMT2C(enzyme;known_drug_target;Alzheimer_evidence);TEAD1(transcription_factor;known_drug_target;Alzheimer_evidence);PTPN21(enzyme;receptor;Alzheimer_evidence);ITPKB(kinase;enzyme;known_drug_target;Alzheimer_evidence);ABL1(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);DDR2(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);SEC14L1(Alzheimer_evidence);WBP1L(Alzheimer_evidence);ATP10D(enzyme;known_drug_target;Alzheimer_evidence);NFIA(Alzheimer_evidence)
ME_M93	-0.2143826869098622	0.00044083577658252755	0.10579339753992176	0.08563670782135294	-0.10983916852876124	0.07426063873821111	-0.06362379879606075	0.3021329711356403	-0.028236597717643152	0.6472564840647561	0.2143826869098622	93	CT	7	therapeutic_targets	93	1580.330601092896	517	283	262	72	12	2	7	PSAP(receptor;known_drug_target;Alzheimer_evidence);RXRG(receptor;known_drug_target;Alzheimer_evidence);EGFR(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);ADRA1A(known_drug_target;Alzheimer_evidence);ACP5(enzyme;Alzheimer_evidence);NFIB(Alzheimer_evidence);ADGRA3(GPCR;receptor;known_drug_target;Alzheimer_evidence);WWOX(enzyme;Alzheimer_evidence);SH3BGRL(Alzheimer_evidence);ZNF680(transcription_factor;Alzheimer_evidence);AKT1(kinase;enzyme;known_drug_target;Alzheimer_evidence);SLC39A11(transporter;known_drug_target;Alzheimer_evidence);TTC28(Alzheimer_evidence);CTNNA2(Alzheimer_evidence);THSD1(Alzheimer_evidence);KPNA3(Alzheimer_evidence);AHCYL2(Alzheimer_evidence);BCAR3(Alzheimer_evidence);BRINP3(Alzheimer_evidence);NR2E1(nuclear_receptor;receptor;known_drug_target;Alzheimer_evidence);EMX2(transcription_factor;Alzheimer_evidence);OSBPL2(Alzheimer_evidence);RARG(receptor;known_drug_target;Alzheimer_evidence);FER(kinase;enzyme;known_drug_target;Alzheimer_evidence);ZIC5(transcription_factor;Alzheimer_evidence)	PSAP(receptor;known_drug_target;Alzheimer_evidence);RXRG(receptor;known_drug_target;Alzheimer_evidence);EGFR(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);ADRA1A(known_drug_target;Alzheimer_evidence);ACP5(enzyme;Alzheimer_evidence);NFIB(Alzheimer_evidence);ADGRA3(GPCR;receptor;known_drug_target;Alzheimer_evidence);WWOX(enzyme;Alzheimer_evidence);SH3BGRL(Alzheimer_evidence);ZNF680(transcription_factor;Alzheimer_evidence);AKT1(kinase;enzyme;known_drug_target;Alzheimer_evidence);SLC39A11(transporter;known_drug_target;Alzheimer_evidence);TTC28(Alzheimer_evidence);CTNNA2(Alzheimer_evidence);THSD1(Alzheimer_evidence);KPNA3(Alzheimer_evidence);AHCYL2(Alzheimer_evidence);BCAR3(Alzheimer_evidence);BRINP3(Alzheimer_evidence);NR2E1(nuclear_receptor;receptor;known_drug_target;Alzheimer_evidence)
ME_M144	0.2428498234365359	6.480850747677929e-05	-0.196013891791375	0.0013414693372162812	0.18193585433002224	0.0029533864342451855	0.13177159848653158	0.032008481516896344	-0.0999135596923447	0.10462160097401502	0.2428498234365359	144	TS	8	therapeutic_targets	144	1598.172619047619	503	298	276	67	20	0	2	CDK4(kinase;enzyme;known_drug_target;Alzheimer_evidence);MTMR3(enzyme;transcription_factor;Alzheimer_evidence);BMP2K(kinase;enzyme;known_drug_target;Alzheimer_evidence);COPB1(Alzheimer_evidence);ABCA1(transporter;enzyme;Alzheimer_evidence);NUP160(Alzheimer_evidence);CAPN2(enzyme;known_drug_target;Alzheimer_evidence);FLNA(Alzheimer_evidence);GTF2I(transcription_factor;Alzheimer_evidence);CTDSP1(enzyme;Alzheimer_evidence);RBCK1(transcription_factor;Alzheimer_evidence);AASS(enzyme;Alzheimer_evidence);KMT2C(enzyme;known_drug_target;Alzheimer_evidence);TJP2(Alzheimer_evidence);ITPKB(kinase;enzyme;known_drug_target;Alzheimer_evidence);ABL1(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);TP53INP1(Alzheimer_evidence);SERPINB6(enzyme;Alzheimer_evidence);WBP1L(Alzheimer_evidence);NECAP2(Alzheimer_evidence);ATP10D(enzyme;known_drug_target;Alzheimer_evidence);PKN1(kinase;enzyme;known_drug_target;Alzheimer_evidence);SFT2D2(Alzheimer_evidence);SLC12A4(transporter;known_drug_target;Alzheimer_evidence);IRF2(transcription_factor;Alzheimer_evidence)	CDK4(kinase;enzyme;known_drug_target;Alzheimer_evidence);MTMR3(enzyme;transcription_factor;Alzheimer_evidence);BMP2K(kinase;enzyme;known_drug_target;Alzheimer_evidence);COPB1(Alzheimer_evidence);ABCA1(transporter;enzyme;Alzheimer_evidence);NUP160(Alzheimer_evidence);CAPN2(enzyme;known_drug_target;Alzheimer_evidence);FLNA(Alzheimer_evidence);GTF2I(transcription_factor;Alzheimer_evidence);CTDSP1(enzyme;Alzheimer_evidence);RBCK1(transcription_factor;Alzheimer_evidence);AASS(enzyme;Alzheimer_evidence);KMT2C(enzyme;known_drug_target;Alzheimer_evidence);TJP2(Alzheimer_evidence);ITPKB(kinase;enzyme;known_drug_target;Alzheimer_evidence);ABL1(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);TP53INP1(Alzheimer_evidence);SERPINB6(enzyme;Alzheimer_evidence);WBP1L(Alzheimer_evidence);NECAP2(Alzheimer_evidence)
ME_M154	0.24294892387778425	6.435034350148662e-05	-0.19288016143828032	0.0016066667559072217	0.17524235903998256	0.004217360338290082	0.15647822824085425	0.010742271884272651	-0.08137473450742289	0.18663018959756422	0.24294892387778425	154	CT	9	therapeutic_targets	154	1600.25	522	289	260	75	13	8	5	RXRG(receptor;known_drug_target;Alzheimer_evidence);MTMR10(Alzheimer_evidence);EGFR(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);MINDY2(Alzheimer_evidence);PRDX1(Alzheimer_evidence);NFIB(Alzheimer_evidence);USP3(enzyme;Alzheimer_evidence);TEAD1(transcription_factor;known_drug_target;Alzheimer_evidence);ADGRA3(GPCR;receptor;known_drug_target;Alzheimer_evidence);DIAPH3(Alzheimer_evidence);FOXO1(transcription_factor;Alzheimer_evidence);RAB31(Alzheimer_evidence);ZNF680(transcription_factor;Alzheimer_evidence);ZBTB37(transcription_factor;Alzheimer_evidence);SLC39A11(transporter;known_drug_target;Alzheimer_evidence);TFDP1(transcription_factor;Alzheimer_evidence);THSD1(Alzheimer_evidence);SOX9(transcription_factor;Alzheimer_evidence);ACBD5(Alzheimer_evidence);NEO1(Alzheimer_evidence);AHCYL2(Alzheimer_evidence);BCAR3(Alzheimer_evidence);ADGRL3(GPCR;enzyme;receptor;known_drug_target;Alzheimer_evidence);PDLIM5(Alzheimer_evidence);NR2E1(nuclear_receptor;receptor;known_drug_target;Alzheimer_evidence)	RXRG(receptor;known_drug_target;Alzheimer_evidence);MTMR10(Alzheimer_evidence);EGFR(kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence);MINDY2(Alzheimer_evidence);PRDX1(Alzheimer_evidence);NFIB(Alzheimer_evidence);USP3(enzyme;Alzheimer_evidence);TEAD1(transcription_factor;known_drug_target;Alzheimer_evidence);ADGRA3(GPCR;receptor;known_drug_target;Alzheimer_evidence);DIAPH3(Alzheimer_evidence);FOXO1(transcription_factor;Alzheimer_evidence);RAB31(Alzheimer_evidence);ZNF680(transcription_factor;Alzheimer_evidence);ZBTB37(transcription_factor;Alzheimer_evidence);SLC39A11(transporter;known_drug_target;Alzheimer_evidence);TFDP1(transcription_factor;Alzheimer_evidence);THSD1(Alzheimer_evidence);SOX9(transcription_factor;Alzheimer_evidence);ACBD5(Alzheimer_evidence);NEO1(Alzheimer_evidence)
ME_M584	0.006011156752669732	0.9224144313833005	0.008429539293467016	0.8913653971273434	0.0009412998633386015	0.9878320794272072	0.05002381838085815	0.4173730753286161	-0.037078425368731946	0.5478756931825602	0.05002381838085815	584	CT	10	therapeutic_targets	584	2610.688061617458	869	520	442	103	37	2	6	CDC25B(enzyme;Alzheimer_evidence);PLK1(kinase;enzyme;known_drug_target;Alzheimer_evidence);RIOK2(kinase;enzyme;known_drug_target;Alzheimer_evidence);CDK12(kinase;enzyme;known_drug_target;Alzheimer_evidence);PI4KB(kinase;enzyme;known_drug_target;Alzheimer_evidence);NEU1(enzyme;known_drug_target;Alzheimer_evidence);XPO1(known_drug_target;Alzheimer_evidence);SNX3(Alzheimer_evidence);TNPO3(Alzheimer_evidence);PPP1R15B(enzyme;Alzheimer_evidence);RSL24D1(Alzheimer_evidence);PTPN12(enzyme;receptor;Alzheimer_evidence);IPO7(Alzheimer_evidence);TRAPPC5(Alzheimer_evidence);PAPOLA(enzyme;Alzheimer_evidence);TSPAN14(Alzheimer_evidence);NGLY1(enzyme;Alzheimer_evidence);CLINT1(Alzheimer_evidence);TIMM44(Alzheimer_evidence);PVR(known_drug_target;Alzheimer_evidence);MAPK14(kinase;enzyme;known_drug_target;Alzheimer_evidence);TPST2(enzyme;Alzheimer_evidence);ADORA2B(receptor;known_drug_target;Alzheimer_evidence);SPEN(Alzheimer_evidence);AKAP8L(kinase;enzyme;Alzheimer_evidence)	CDC25B(enzyme;Alzheimer_evidence);PLK1(kinase;enzyme;known_drug_target;Alzheimer_evidence);RIOK2(kinase;enzyme;known_drug_target;Alzheimer_evidence);CDK12(kinase;enzyme;known_drug_target;Alzheimer_evidence);PI4KB(kinase;enzyme;known_drug_target;Alzheimer_evidence);NEU1(enzyme;known_drug_target;Alzheimer_evidence);XPO1(known_drug_target;Alzheimer_evidence);SNX3(Alzheimer_evidence);TNPO3(Alzheimer_evidence);PPP1R15B(enzyme;Alzheimer_evidence);RSL24D1(Alzheimer_evidence);PTPN12(enzyme;receptor;Alzheimer_evidence);IPO7(Alzheimer_evidence);TRAPPC5(Alzheimer_evidence);PAPOLA(enzyme;Alzheimer_evidence);TSPAN14(Alzheimer_evidence);NGLY1(enzyme;Alzheimer_evidence);CLINT1(Alzheimer_evidence);TIMM44(Alzheimer_evidence);PVR(known_drug_target;Alzheimer_evidence)
