ensembl_gene_id_base	hgnc_symbol	hgnc_name	open_targets_ad_score	open_targets_ad_datasources	is_kinase	is_gPCR	is_ion_channel	is_nuclear_receptor	is_transporter	is_enzyme	is_receptor	is_transcription_factor	is_known_drug_target	has_ad_evidence	target_categories	therapeutic_target_score
ENSG00000142192	APP	amyloid beta precursor protein	0.8696695516607333	clinical_precedence:0.9728005513909271;uniprot_variants:0.9580964074361958;eva:0.9316603833246658;gwas_credible_sets:0.7736137575222262;orphanet:0.607930797611621;uniprot_literature:0.607930797611621;genomics_england:0.607930797611621;reactome:0.607930797611621;europepmc:0.9946238915416176;impc:0.39065633054522775	False	False	False	False	False	True	True	False	True	True	enzyme;receptor;known_drug_target;Alzheimer_evidence	4
ENSG00000080815	PSEN1	presenilin 1	0.8663337248746705	uniprot_variants:0.9953830536655334;genomics_england:0.9549947196932794;eva:0.9444664297638227;clinical_precedence:0.6224689064784766;orphanet:0.607930797611621;uniprot_literature:0.607930797611621;europepmc:0.9712479440116228;impc:0.5711362082603426;expression_atlas:0.04988096311450684	False	False	False	False	False	True	False	False	True	True	enzyme;known_drug_target;Alzheimer_evidence	3
ENSG00000143801	PSEN2	presenilin 2	0.8165198525554955	uniprot_variants:0.9471757543886921;eva:0.8908006546040942;genomics_england:0.8126852676405352;clinical_precedence:0.6224689064784766;orphanet:0.607930797611621;uniprot_literature:0.607930797611621;europepmc:0.6934407230492223	False	False	False	False	False	True	False	False	True	True	enzyme;known_drug_target;Alzheimer_evidence	3
ENSG00000130203	APOE	apolipoprotein E	0.7749432033461633	gwas_credible_sets:0.9533703527874416;eva:0.7937221161179503;uniprot_variants:0.607930797611621;uniprot_literature:0.607930797611621;crispr_screen:0.2670020417823128;europepmc:0.9985595575618875;impc:0.2687054125443365;expression_atlas:0.017251532679053088	False	False	False	False	False	False	False	False	False	True	Alzheimer_evidence	1
ENSG00000176884	GRIN1	glutamate ionotropic receptor NMDA type subunit 1	0.7000358051327009	clinical_precedence:0.98731997197959;crispr_screen:0.5815977506239859;europepmc:0.845385026295666	False	False	True	False	False	False	True	False	True	True	ion_channel;receptor;known_drug_target;Alzheimer_evidence	4
ENSG00000137642	SORL1	sortilin related receptor 1	0.6887135105146187	gwas_credible_sets:0.8749085305895158;orphanet:0.607930797611621;uniprot_variants:0.44488713508550437;gene_burden:0.39314961120901953;eva:0.31612401475804297;uniprot_literature:0.3039653988058105;genomics_england:0.3039653988058105;europepmc:0.9718962832472118;impc:0.6326456669186236;expression_atlas:0.04768036208430157	False	False	False	False	False	False	True	False	False	True	receptor;Alzheimer_evidence	2
ENSG00000137845	ADAM10	ADAM metallopeptidase domain 10	0.6816636553816533	uniprot_variants:0.8274613634158176;gwas_credible_sets:0.7799392178316392;uniprot_literature:0.607930797611621;eva:0.381307705835289;europepmc:0.9182294621580723;expression_atlas:0.02040312242200407	False	False	False	False	False	True	False	False	True	True	enzyme;known_drug_target;Alzheimer_evidence	3
ENSG00000164885	CDK5	cyclin dependent kinase 5	0.6800338890220147	reactome:0.9513974960387728;crispr_screen:0.5815971262173243;europepmc:0.930828798741009;expression_atlas:0.08977986793197987	True	False	False	False	False	True	False	False	True	True	kinase;enzyme;known_drug_target;Alzheimer_evidence	4
ENSG00000159640	ACE	angiotensin I converting enzyme	0.6341919427542662	gwas_credible_sets:0.8627041643684601;genomics_england:0.607930797611621;europepmc:0.9410215917570464;clinical_precedence:0.12158615952232422	False	False	False	False	False	True	False	False	True	True	enzyme;known_drug_target;Alzheimer_evidence	3
ENSG00000087085	ACHE	acetylcholinesterase (Yt blood group)	0.6286789001536538	clinical_precedence:0.9958196835543532;europepmc:0.7661873931901815	False	False	False	False	False	True	False	False	True	True	enzyme;known_drug_target;Alzheimer_evidence	3
ENSG00000273079	GRIN2B	glutamate ionotropic receptor NMDA type subunit 2B	0.6274063661175356	clinical_precedence:0.98731997197959;europepmc:0.8797421235159577;expression_atlas:0.03279389384323798	False	False	True	False	False	False	True	False	True	True	ion_channel;receptor;known_drug_target;Alzheimer_evidence	4
ENSG00000114200	BCHE	butyrylcholinesterase	0.6272161725827728	clinical_precedence:0.9857849108966708;europepmc:0.9187613306506756	False	False	False	False	False	True	False	False	True	True	enzyme;known_drug_target;Alzheimer_evidence	3
ENSG00000183454	GRIN2A	glutamate ionotropic receptor NMDA type subunit 2A	0.6151782725819345	clinical_precedence:0.9873578650612647;europepmc:0.48266045640476046;expression_atlas:0.01937961546337943	False	False	True	False	False	False	True	False	True	True	ion_channel;receptor;known_drug_target;Alzheimer_evidence	4
ENSG00000105464	GRIN2D	glutamate ionotropic receptor NMDA type subunit 2D	0.6136111345949934	clinical_precedence:0.98731997197959;europepmc:0.44047502064902494	False	False	True	False	False	False	True	False	True	True	ion_channel;receptor;known_drug_target;Alzheimer_evidence	4
ENSG00000198785	GRIN3A	glutamate ionotropic receptor NMDA type subunit 3A	0.6101241550231941	clinical_precedence:0.98731997197959;europepmc:0.3257586882803209	False	False	True	False	False	False	True	False	True	True	ion_channel;receptor;known_drug_target;Alzheimer_evidence	4
ENSG00000138613	APH1B	aph-1B gamma-secretase subunit	0.6090250464013078	gwas_credible_sets:0.8373290004469826;clinical_precedence:0.6224689064784766;europepmc:0.39841780962277046	False	False	False	False	False	False	False	False	False	True	Alzheimer_evidence	1
ENSG00000161509	GRIN2C	glutamate ionotropic receptor NMDA type subunit 2C	0.6083962283415625	clinical_precedence:0.98731997197959;europepmc:0.2536942298530118;expression_atlas:0.03424116316113702	False	False	True	False	False	False	True	False	True	True	ion_channel;receptor;known_drug_target;Alzheimer_evidence	4
